L N d seed D_(MIS-1) D_MIS MIS
31 769 0.8 0 1.0063180854600527e+20 1.41243316752384e+16 230
31 769 0.8 1 1.6655539090580478e+23 1.030979401053633e+20 231
31 769 0.8 2 3.3394789399288484e+24 2.2659604917860793e+21 229
31 769 0.8 3 6.999662506609506e+20 7.458973937871437e+17 233
31 769 0.8 4 6.597217778747969e+19 1.1039309020588032e+16 232
31 769 0.8 5 6.428010380312064e+23 6.288515746301952e+17 229
31 769 0.8 6 5.021297098688513e+22 5.565367462316979e+19 231
31 769 0.8 7 6.621061782906538e+23 4.392456522937685e+19 230
31 769 0.8 8 1.4205080144726848e+20 4.418095641251789e+16 231
31 769 0.8 9 6.958725789299126e+20 5.866935423859446e+17 233
31 769 0.8 10 7.837658914589085e+23 1.567316919812486e+20 228
31 769 0.8 11 5.952242341753909e+22 1.7622228647280476e+19 229
31 769 0.8 12 3.965071440033801e+24 2.1526597587612664e+21 228
31 769 0.8 13 5.570523939873403e+19 1.660614944980992e+16 231
31 769 0.8 14 4.5160120747367633e+21 3.728253425917401e+18 232
31 769 0.8 15 1.9411020619662927e+20 9.555665611987354e+16 230
31 769 0.8 16 4.0120146531056615e+22 3.7083214913074315e+19 232
31 769 0.8 17 2.2372422641807697e+24 1.8062838953338809e+21 230
31 769 0.8 18 2.8261631380317526e+21 4887210277555200.0 231
31 769 0.8 19 1.8538861255524096e+16 163105873920.0 231
31 769 0.8 20 7.951918118194701e+24 8.915861257510941e+20 229
31 769 0.8 21 1.957273913922014e+23 4.065571462494118e+18 230
31 769 0.8 22 2.5810953371926734e+20 4.920230385526176e+16 229
31 769 0.8 23 6.499559374499446e+16 19373787879424.0 232
31 769 0.8 24 4046858834813280.0 269249163264.0 234
31 769 0.8 25 2.236295821767576e+20 9.327686153066496e+16 232
31 769 0.8 26 2.4450086990131914e+21 6291960398438400.0 231
31 769 0.8 27 5.692366939690284e+21 3.322037483260462e+18 231
31 769 0.8 28 4.2832246668860677e+18 11325658982400.0 230
31 769 0.8 29 3.4290746695261364e+19 91529576570880.0 231
31 769 0.8 30 9.182848762049987e+19 3.775067110084608e+16 229
31 769 0.8 31 3.286860875086306e+20 6.25533652670976e+16 232
31 769 0.8 32 8.081827633040256e+16 9995166720000.0 231
31 769 0.8 33 5.0629086133460645e+22 3.9108145952924344e+18 228
31 769 0.8 34 1.4559833473817852e+25 6.24894471497623e+21 227
31 769 0.8 35 1.1993358550817587e+17 71504385638400.0 234
31 769 0.8 36 8.263104917701536e+16 8435706073344.0 234
31 769 0.8 37 2.536965514070176e+22 1.3591363566328455e+19 228
