L N d seed D_(MIS-1) D_MIS MIS
33 871 0.8 0 2.967249872178897e+24 2.6461723686233558e+20 260
33 871 0.8 1 2.33273625109042e+23 1.50077325736678e+20 261
33 871 0.8 2 9.751768455138869e+26 1.8258395632024412e+18 258
33 871 0.8 3 3.9346311169230424e+27 3.542974502824546e+24 258
33 871 0.8 4 4.5649173354526414e+21 5.2040960466048e+17 262
33 871 0.8 5 2.234843473256876e+22 1.752305728126464e+16 263
33 871 0.8 6 4.661352860059355e+23 1.0178821520009675e+20 262
33 871 0.8 7 4.3740563264555577e+24 1.9379677844630657e+21 258
33 871 0.8 8 2.913608621648542e+19 2.0730993164961536e+16 262
33 871 0.8 9 1.8465291158709364e+24 1.432359818248169e+21 263
33 871 0.8 10 7.016700737818588e+26 5.631191206980197e+23 260
33 871 0.8 11 1.4009476804102153e+26 7.700406960688322e+22 260
33 871 0.8 12 8.521369832372338e+17 56195501544000.0 262
33 871 0.8 13 1.7073303545428718e+31 1.8047436911929903e+28 257
33 871 0.8 14 1.1358348628060302e+26 1.5312434554043684e+22 259
33 871 0.8 15 4.7930927039134723e+24 1.9536722809329625e+20 259
33 871 0.8 16 3.5071708407549945e+20 3677764157337600.0 258
33 871 0.8 17 1.1915107700604149e+23 4927957983936000.0 261
33 871 0.8 18 3.3316075028175787e+22 6.016376751614768e+18 258
33 871 0.8 19 4.956833500429147e+25 3.481168040908695e+21 258
33 871 0.8 20 2.8286686378457826e+25 1.4371148574477795e+21 261
33 871 0.8 21 1.2962725411669963e+22 3.9270523471323146e+18 260
33 871 0.8 22 1.3327321674142933e+23 5.248959722145291e+19 259
33 871 0.8 23 5.798713604544581e+24 3.113365611877382e+21 258
33 871 0.8 24 7.485079605422697e+22 4.446747019582621e+19 262
33 871 0.8 25 9.152132062477056e+19 1.81344471238656e+16 264
33 871 0.8 26 5.867735265507161e+23 1.0868974549417171e+20 262
33 871 0.8 27 2.750651678643641e+23 3.805130386197504e+19 263
33 871 0.8 28 9.067563548363499e+22 4.409786792340357e+19 261
33 871 0.8 29 9.160798730810171e+20 5.26098453049344e+16 263
33 871 0.8 30 1.662688863106498e+23 1.456799641742615e+19 261
33 871 0.8 31 1.461342037243869e+18 327298762506240.0 261
33 871 0.8 32 1.2888561003697364e+26 6.118601811745761e+22 261
33 871 0.8 33 2.3495947323717045e+26 2.0249101981190183e+23 260
33 871 0.8 34 1.4342998189970172e+23 6.741737799164928e+17 261
33 871 0.8 35 6.835723151473866e+22 2.3389830661400986e+19 262
33 871 0.8 36 2.2362556707786966e+21 5.846135091126106e+17 262
33 871 0.8 37 1.9898454976528533e+23 3.2358043575973427e+18 263
33 871 0.8 38 5.156141554712252e+21 8.691261715332956e+17 260
33 871 0.8 39 1.2054026738476912e+20 3341157841421568.0 264
33 871 0.8 40 8.27439859274055e+26 3.9321588540151765e+23 258
33 871 0.8 41 3.428465564668324e+23 2.1139102164712735e+19 260
33 871 0.8 42 5.255788108320151e+23 1.3677985987702528e+20 255
33 871 0.8 43 1.7590561777022432e+22 1.1182046082723785e+19 263
33 871 0.8 44 1.8682353954334852e+24 9.219426081726073e+20 260
33 871 0.8 45 5.443325374941544e+21 3.541489225755465e+18 264
33 871 0.8 46 4.991481836612113e+22 6.39535711542313e+16 256
33 871 0.8 47 7.140103353704225e+25 2.7370388173880635e+22 260
33 871 0.8 48 2.891082711930158e+18 70413235200.0 262
33 871 0.8 49 1.0485751299497295e+22 6.75597119855063e+17 261
33 871 0.8 50 9.640461562063659e+19 549282780057600.0 260
33 871 0.8 51 1.3056033308087404e+22 7.548738628538016e+18 263
33 871 0.8 52 5.528517350356665e+24 1.9504069139253402e+21 261
33 871 0.8 53 1.9780475165294746e+17 14021212907520.0 262
33 871 0.8 54 1.864481188025721e+26 1.3381318951767493e+22 261
33 871 0.8 55 1.2171041751552798e+21 7.96134087190103e+17 260
33 871 0.8 56 3.289116611240397e+24 1.7228369961018778e+21 258
33 871 0.8 57 6.127751576856891e+22 350774878519296.0 258
33 871 0.8 58 2.3889762981859174e+22 3.18538163971008e+17 261
33 871 0.8 59 5.161491313301058e+18 397241730662400.0 261
33 871 0.8 60 1.878259798118304e+24 3.1819710451837796e+20 259
33 871 0.8 61 5.136521909032167e+18 78964584652800.0 264
33 871 0.8 62 1.1502502765147464e+26 9.302935114074403e+21 258
33 871 0.8 63 1.7068657991976586e+26 4.841926751345175e+22 258
33 871 0.8 64 2.567314088124794e+24 1.660515115935217e+21 259
33 871 0.8 65 1.1781153104261056e+21 2296715918902272.0 262
33 871 0.8 66 3.5747478401527163e+22 4.008708693626757e+17 257
33 871 0.8 67 7.922425342656473e+24 4.867259002909568e+21 263
33 871 0.8 68 1.2948760309111275e+25 2.1164404110764114e+18 263
33 871 0.8 69 3.1469094195614175e+25 1.9479462713703043e+21 259
33 871 0.8 70 3.62124398454341e+27 2.5910412907616016e+24 259
33 871 0.8 71 1.2204199288949466e+22 9.018553457362084e+17 261
33 871 0.8 72 4.5524406657402914e+23 1.2713406371842035e+20 263
33 871 0.8 73 6.682367944212823e+18 986165798575104.0 261
33 871 0.8 74 6.931379509326211e+18 2983989196800.0 260
33 871 0.8 75 4.5145437544525935e+24 8.306633117796501e+20 261
33 871 0.8 76 5.798818652182868e+20 5.41148138433792e+16 261
33 871 0.8 77 5.127631720234245e+21 1480067201433600.0 263
33 871 0.8 78 3.597270582629206e+26 2.7410940935447066e+22 257
33 871 0.8 79 1.3037075761905909e+23 1.991486416256064e+18 260
33 871 0.8 80 4.726801056861016e+20 1.415700354278304e+17 264
33 871 0.8 81 1.459576367765618e+24 1.0307701421840794e+18 261
33 871 0.8 82 1.6084551951730168e+25 9.755243639755543e+21 260
33 871 0.8 83 1.8967885360632043e+22 6.229287656323117e+18 261
33 871 0.8 84 3.2055932561227115e+27 2.704456732063416e+24 260
33 871 0.8 85 3.8097365859611915e+22 1.4439445270147215e+18 260
33 871 0.8 86 1.3674765553186326e+21 3.451574193147072e+16 263
33 871 0.8 87 1.0432585369156584e+25 8.769348547191489e+19 257
33 871 0.8 88 8.80335653082642e+24 4.993949040484718e+21 261
