L N d seed D_(MIS-1) D_MIS MIS
21 353 0.8 0 539707989623720 1676963616565 108
21 353 0.8 1 289454823992 753307008 109
21 353 0.8 2 79382733020828 182580955248 107
21 353 0.8 3 50696010915584 66201753600 106
21 353 0.8 4 1851018016832 1100580864 107
21 353 0.8 5 75056456912 143782560 109
21 353 0.8 6 973704504598 2606094776 109
21 353 0.8 7 827545400664 586268208 106
21 353 0.8 8 190413093759024 317971657280 104
21 353 0.8 9 11730882884151464 31598233558848 106
21 353 0.8 10 269356667294564 960748327200 107
21 353 0.8 11 211078543134840 469517790144 105
21 353 0.8 12 422188160 983808 113
21 353 0.8 13 11419654775616 233822160 106
21 353 0.8 14 513374176558 892072320 107
21 353 0.8 15 3697541070080 8615974272 107
21 353 0.8 16 3135908311999816 3939310809408 105
21 353 0.8 17 3100516858620 7470232128 108
21 353 0.8 18 72419664496 142875648 109
21 353 0.8 19 105264622263952 226152637440 106
21 353 0.8 20 15674945602784 1500049152 107
21 353 0.8 21 39041940340542456 104921434580457 105
21 353 0.8 22 787879378768658688 1615055821130742 105
21 353 0.8 23 193524626231312 473678009856 107
21 353 0.8 24 2044894273408 5471192064 107
21 353 0.8 25 87587811360 148490496 108
21 353 0.8 26 476072155684 488238296 106
21 353 0.8 27 46482529836 125144784 109
21 353 0.8 28 121833234590 365846349 110
21 353 0.8 29 1310734322299872 3842230487040 108
21 353 0.8 30 88079021016329 245080991708 107
21 353 0.8 31 4266078089544 9969725952 107
21 353 0.8 32 29179045984220 50704746000 108
21 353 0.8 33 5640890640 3832290 108
21 353 0.8 34 2552346509412744 6334038309168 107
21 353 0.8 35 153271711872 348292224 109
21 353 0.8 36 474491785896 390230784 109
21 353 0.8 37 40993171989632 54073585728 107
21 353 0.8 38 180803116145742 159957344520 107
21 353 0.8 39 1905178200 780480 108
21 353 0.8 40 213605956539 352004400 108
21 353 0.8 41 2056927483972 2190559264 107
21 353 0.8 42 606160531464 698845536 107
21 353 0.8 43 3548681344 5717760 110
21 353 0.8 44 4984594943904 13625826816 107
21 353 0.8 45 5952195744 2073600 110
21 353 0.8 46 161486335344 427795776 108
21 353 0.8 47 729058097323484 2223314873100 106
