L N d seed D_(MIS-1) D_MIS MIS
19 289 0.8 0 20956104664 42580928 89
19 289 0.8 1 6861839568 2499840 86
19 289 0.8 2 165372363648 479506176 88
19 289 0.8 3 429304353120 1333055232 88
19 289 0.8 4 329999856204 1212166564 89
19 289 0.8 5 1842392448678 8140319128 90
19 289 0.8 6 38453898060 90849600 87
19 289 0.8 7 2759669604 2105472 88
19 289 0.8 8 372692064 134912 91
19 289 0.8 9 23906724270520 41193804000 87
19 289 0.8 10 10750509152 36377056 89
19 289 0.8 11 17005226864 55787184 90
19 289 0.8 12 4413246657508584 13128960804576 85
19 289 0.8 13 12916045950230 47216730044 87
19 289 0.8 14 14407599318 57345840 91
19 289 0.8 15 270219554860 84395336 85
19 289 0.8 16 1722193976 1700352 90
19 289 0.8 17 561059951812 715834680 88
19 289 0.8 18 65841327432 208147440 89
19 289 0.8 19 2271915996656 4924128384 86
19 289 0.8 20 702086776864 1605702368 87
19 289 0.8 21 106150948488 410102784 89
19 289 0.8 22 3259320 6240 91
19 289 0.8 23 765371016 2172096 90
19 289 0.8 24 265208104414 1045615974 89
19 289 0.8 25 515903554800 1687665888 88
19 289 0.8 26 232154743728 646801280 89
19 289 0.8 27 19604329152 5598720 89
19 289 0.8 28 41384160 82816 89
19 289 0.8 29 274199048872 515776032 90
19 289 0.8 30 80041994262304 355323857304 86
19 289 0.8 31 127165830758 470956992 89
19 289 0.8 32 74231946864 191489184 90
19 289 0.8 33 720765720 1851250 90
19 289 0.8 34 1150370384 3072376 90
19 289 0.8 35 38915460 76560 90
19 289 0.8 36 278401816824 460409472 87
19 289 0.8 37 137130550464 411330816 89
19 289 0.8 38 73779820640 116526464 88
19 289 0.8 39 295530312 422400 89
19 289 0.8 40 276377017694 638545200 89
19 289 0.8 41 367404456 42480 87
19 289 0.8 42 8066087928 15722208 90
19 289 0.8 43 1485632330486 4517155676 88
19 289 0.8 44 19538300 18288 90
19 289 0.8 45 91275736 120960 89
19 289 0.8 46 9155198508 15037392 90
19 289 0.8 47 110499552 15552 90
19 289 0.8 48 42689281524 74360568 89
19 289 0.8 49 88793802880 285145920 90
19 289 0.8 50 3059261608168 2629712400 87
19 289 0.8 51 150050784 391680 91
19 289 0.8 52 34871817050 107756724 89
19 289 0.8 53 38343840408 126643328 90
19 289 0.8 54 1051645836384 2902976288 87
19 289 0.8 55 574393339 1440768 91
19 289 0.8 56 45630045024 66065712 89
19 289 0.8 57 887925888 2280960 91
19 289 0.8 58 86247742464 25739520 88
19 289 0.8 59 9070903132 27998000 90
