L N d seed D_(MIS-1) D_MIS MIS
27 583 0.8 0 8.90629796454505e+16 23498585616384.0 175
27 583 0.8 1 1.3630637230176704e+16 693040298240.0 177
27 583 0.8 2 1.3930749257351124e+16 11411820452952.0 177
27 583 0.8 3 1.2229888774775227e+18 772818403230720.0 174
27 583 0.8 4 1.2436016181650235e+20 2.7906831234432e+16 175
27 583 0.8 5 1.5656346222540102e+20 1.997427176964553e+17 175
27 583 0.8 6 1.337563721407294e+17 23192385315840.0 175
27 583 0.8 7 3.742194741604502e+16 14998070263680.0 176
27 583 0.8 8 6.799752190661987e+16 746944942080.0 175
27 583 0.8 9 1.4796467799279704e+19 1.2251758935830208e+16 175
27 583 0.8 10 2.729452580573184e+17 37771159507200.0 174
27 583 0.8 11 2.0130499361374502e+18 946457484281856.0 174
27 583 0.8 12 2.1545116998128796e+18 3309462380448096.0 176
27 583 0.8 13 2.58103358656196e+17 137548358720640.0 176
27 583 0.8 14 2.3921009476341472e+17 125178085071360.0 174
27 583 0.8 15 1.0571106634013162e+18 737079566952960.0 176
27 583 0.8 16 1.5202656439744448e+16 13832771430400.0 179
27 583 0.8 17 4.5293853018075346e+18 1172666556512064.0 177
27 583 0.8 18 3.5252457805380395e+19 8289770532986880.0 173
27 583 0.8 19 5.7231615735435805e+19 6.13094785020544e+16 172
27 583 0.8 20 5.011562688866238e+16 2486542464000.0 175
27 583 0.8 21 7503914238126080.0 6540923338752.0 176
27 583 0.8 22 6.316687199705713e+19 1.0398021197219328e+17 176
27 583 0.8 23 3.276095273904481e+17 315435542381568.0 175
27 583 0.8 24 526754011824.0 440316000.0 180
27 583 0.8 25 2.016217099623501e+16 13767477407648.0 177
27 583 0.8 26 15356780793472.0 413475840.0 176
27 583 0.8 27 1.0279301011707149e+17 87295571656704.0 176
27 583 0.8 28 2.8596271666285824e+16 13750235136000.0 176
27 583 0.8 29 1.3583223936225833e+19 2.07245029336128e+16 175
27 583 0.8 30 1.3306976161513714e+17 190200084921984.0 177
27 583 0.8 31 1.166777767873184e+17 75344657861760.0 176
27 583 0.8 32 4.0577248873216777e+20 1.581020108186327e+17 174
27 583 0.8 33 2248596785357004.0 2277851984496.0 177
27 583 0.8 34 6.159905559807311e+17 85736786503680.0 175
27 583 0.8 35 1.5436094711992924e+21 2.3496436836919265e+18 174
27 583 0.8 36 767450301652864.0 277483358208.0 179
27 583 0.8 37 2.4981243976448947e+18 2870553896289120.0 176
27 583 0.8 38 1424611758308016.0 904857047040.0 179
27 583 0.8 39 1.5738607050666624e+16 23178179206656.0 179
27 583 0.8 40 2.866987404431994e+17 6002185077792.0 174
27 583 0.8 41 2.666683067515282e+18 3781579780813824.0 175
27 583 0.8 42 2.927367115391138e+19 4.805291102626465e+16 177
27 583 0.8 43 2.111316490008042e+22 3.188889913060634e+19 173
27 583 0.8 44 4284987321466080.0 3705077376.0 177
27 583 0.8 45 2.1347421751080246e+18 3043158230698920.0 176
27 583 0.8 46 2.0858115069434458e+18 1274887839927744.0 176
27 583 0.8 47 8.407732716765751e+18 1.1156766770166528e+16 176
27 583 0.8 48 9.388927549798748e+18 9411429703934336.0 175
