L N d seed D_(MIS-1) D_MIS MIS
29 673 0.8 0 153955866722112.0 1864304640.0 205
29 673 0.8 1 1.8614697772918333e+18 23363660611584.0 202
29 673 0.8 2 9.124584524644469e+18 976623694977888.0 202
29 673 0.8 3 56170180733472.0 37527235200.0 207
29 673 0.8 4 3.816972782208129e+18 33915186708480.0 203
29 673 0.8 5 5.489758463807729e+18 7427734566912000.0 207
29 673 0.8 6 2.5458270250772224e+18 2667826485490176.0 202
29 673 0.8 7 4.84555499268276e+23 5.31361989736733e+20 200
29 673 0.8 8 3.69842651961393e+17 134358375617508.0 203
29 673 0.8 9 8.311419745034533e+17 209168024060160.0 203
29 673 0.8 10 4.705673253807217e+22 5.4077651962456285e+19 200
29 673 0.8 11 6.414283799695665e+20 2.4246080523025293e+17 202
29 673 0.8 12 3.319691397609718e+17 92646105713280.0 202
29 673 0.8 13 1.1579564153868703e+20 7643974039357440.0 200
29 673 0.8 14 2.787587011403264e+16 1063939276800.0 203
29 673 0.8 15 3.457100770733561e+20 1.5790038802903757e+17 200
29 673 0.8 16 1.004530383931437e+21 6.846896268572933e+17 200
29 673 0.8 17 4.9246563830905104e+20 1.1066048362388275e+17 203
29 673 0.8 18 1.1369894996054876e+19 1010496878346240.0 204
29 673 0.8 19 3.866078796205844e+20 4.034001127112141e+17 203
29 673 0.8 20 3.075440952530699e+20 1900777663872000.0 201
29 673 0.8 21 1.10256584480066e+17 1102527936000.0 201
29 673 0.8 22 5.849262371783675e+22 2.1095815939258245e+19 201
29 673 0.8 23 1.193275166085328e+19 469395989461504.0 199
29 673 0.8 24 4.970612814813043e+16 3410225183232.0 204
29 673 0.8 25 3.379936871799376e+21 2.0387889283910193e+18 200
29 673 0.8 26 4.682302218322894e+23 1.2824031546755019e+19 200
29 673 0.8 27 2.2971559347537877e+20 2.1829930839553216e+17 205
29 673 0.8 28 2273674933224000.0 60814540800.0 204
29 673 0.8 29 1.3453391818654697e+18 1679412691394208.0 206
29 673 0.8 30 1.472224878519162e+19 7415320078589952.0 203
29 673 0.8 31 5.293576545669846e+21 4.074024265460086e+18 202
29 673 0.8 32 8.301402164808239e+21 2.1267312956820544e+18 199
29 673 0.8 33 2.2446968648756733e+17 9075020460696.0 202
29 673 0.8 34 2.3706573103108895e+18 1865384343220320.0 202
29 673 0.8 35 4.761167765001332e+18 963015491155968.0 202
29 673 0.8 36 5.402656182519204e+17 734715310314048.0 205
29 673 0.8 37 1.300413264879283e+18 197475709924224.0 201
29 673 0.8 38 4.228934877122169e+19 6085938615217920.0 200
29 673 0.8 39 1.0372892014545023e+22 1.1993924703923528e+18 201
29 673 0.8 40 1.4636750563759831e+19 1.951324302501907e+16 204
29 673 0.8 41 1.5184290173119488e+16 10640570646528.0 205
29 673 0.8 42 6.673910661125402e+16 5373636120576.0 202
29 673 0.8 43 7.688312984280433e+21 6.78324170338085e+18 201
29 673 0.8 44 2.6221847430579885e+17 73825426985472.0 204
29 673 0.8 45 1.154706197222104e+22 1.7731139213414892e+18 200
29 673 0.8 46 1756492255117440.0 697021977600.0 201
29 673 0.8 47 2.5394920580724883e+19 2.24405231044608e+16 203
29 673 0.8 48 1.7667473036881185e+21 1.9915531002077786e+18 202
29 673 0.8 49 1.7931685291132948e+18 358176339414400.0 202
29 673 0.8 50 3.719961774753673e+19 2.686480499478528e+16 201
29 673 0.8 51 3.40556770702051e+17 125770661305344.0 202
29 673 0.8 52 1.1177330095513915e+20 2.50262039494656e+16 202
29 673 0.8 53 2.0362911774274696e+20 2.463114592219202e+17 204
29 673 0.8 54 2.863795776977667e+16 7998510627072.0 202
29 673 0.8 55 1.0697691974931879e+22 2.9507731651986596e+18 202
29 673 0.8 56 4.178616959816449e+21 1.7076122960106022e+18 204
29 673 0.8 57 1.2376641106351014e+18 1251232222933440.0 207
29 673 0.8 58 5.896449760699714e+18 1789419103911936.0 200
29 673 0.8 59 1.811663193869963e+20 2519803771004160.0 202
29 673 0.8 60 7.726761226242606e+21 1.8046325262820782e+18 200
29 673 0.8 61 4.319568074150419e+18 135206112892032.0 201
29 673 0.8 62 9372096022125312.0 5142110238720.0 200
29 673 0.8 63 2.684835005581377e+20 5018225265345600.0 199
29 673 0.8 64 2.726276259076871e+21 4.70505884248512e+17 203
29 673 0.8 65 1.2444394937115931e+20 581879200016640.0 203
29 673 0.8 66 4.00942619066338e+18 265570594458624.0 205
29 673 0.8 67 4.477799934801134e+20 1.841466116609856e+16 202
29 673 0.8 68 2.2200032484327427e+17 44352717935616.0 202
29 673 0.8 69 5.399581842632163e+16 287694965376.0 201
