L N d seed D_(MIS-1) D_MIS MIS
7 39 0.8 0 123 2 14
7 39 0.8 1 573 21 13
7 39 0.8 2 650 24 14
7 39 0.8 3 44 1 15
7 39 0.8 4 980 36 13
7 39 0.8 5 160 3 14
7 39 0.8 6 406 8 13
7 39 0.8 7 480 16 14
7 39 0.8 8 14150 984 12
7 39 0.8 9 3091 164 13
7 39 0.8 10 2723 126 13
7 39 0.8 11 48 1 15
7 39 0.8 12 79 2 15
7 39 0.8 13 445 7 14
7 39 0.8 14 369 9 14
7 39 0.8 15 291 7 14
7 39 0.8 16 173 5 15
7 39 0.8 17 160 4 14
7 39 0.8 18 279 8 14
7 39 0.8 19 247 9 14
7 39 0.8 20 70 2 15
7 39 0.8 21 1512 52 13
7 39 0.8 22 2155 85 13
7 39 0.8 23 2608 117 13
7 39 0.8 24 394 4 13
7 39 0.8 25 8787 485 12
7 39 0.8 26 105 3 15
7 39 0.8 27 127 4 14
7 39 0.8 28 412 7 14
7 39 0.8 29 598 20 14
7 39 0.8 30 15409 1160 12
7 39 0.8 31 72 2 15
7 39 0.8 32 55 1 15
7 39 0.8 33 266 8 14
7 39 0.8 34 591 18 14
7 39 0.8 35 2987 48 12
7 39 0.8 36 5951 355 13
7 39 0.8 37 2075 89 13
7 39 0.8 38 308 12 14
7 39 0.8 39 42 1 15
7 39 0.8 40 402 12 14
7 39 0.8 41 10132 594 12
7 39 0.8 42 3538 168 13
7 39 0.8 43 138 4 14
7 39 0.8 44 378 12 14
7 39 0.8 45 457 18 14
7 39 0.8 46 117 3 14
7 39 0.8 47 1656 66 13
7 39 0.8 48 1660 72 13
7 39 0.8 49 3414 171 13
7 39 0.8 50 2924 134 13
7 39 0.8 51 514 6 13
7 39 0.8 52 2105 66 12
7 39 0.8 53 199 6 14
7 39 0.8 54 440 16 14
7 39 0.8 55 828 32 14
7 39 0.8 56 4225 175 13
7 39 0.8 57 2096 96 13
7 39 0.8 58 373 11 14
7 39 0.8 59 498 18 14
