L N d seed D_(MIS-1) D_MIS MIS
17 231 0.8 0 172933781976 744580512 69
17 231 0.8 1 611287168 1449984 71
17 231 0.8 2 67825110 291600 74
17 231 0.8 3 12439583152 7782016 70
17 231 0.8 4 43914038525 183586516 70
17 231 0.8 5 98100576 235872 73
17 231 0.8 6 401887782302 883474320 70
17 231 0.8 7 149742168 736320 74
17 231 0.8 8 38393786552 215298160 73
17 231 0.8 9 223200596 1123104 73
17 231 0.8 10 57058265790 361024720 72
17 231 0.8 11 465822311880 392655760 67
17 231 0.8 12 142689168 26400 72
17 231 0.8 13 2893145760 10984896 71
17 231 0.8 14 300994320 1415412 73
17 231 0.8 15 2558253588 12660992 73
17 231 0.8 16 845363814 4130808 73
17 231 0.8 17 46252416 119808 71
17 231 0.8 18 809174912 3706248 71
17 231 0.8 19 6853496 4752 73
17 231 0.8 20 3355393104 16095072 72
17 231 0.8 21 369112052 1047232 71
17 231 0.8 22 85822424356 281105024 70
17 231 0.8 23 4655016 21600 75
17 231 0.8 24 352807271 1592608 72
17 231 0.8 25 101583504 313344 71
17 231 0.8 26 1495987290 6453072 71
17 231 0.8 27 766566048 693504 71
17 231 0.8 28 407468190 1873980 73
17 231 0.8 29 71183026 319620 75
17 231 0.8 30 131802323542 362909672 70
17 231 0.8 31 449612975 1632552 72
17 231 0.8 32 2613234484 6939872 72
17 231 0.8 33 97028676 25920 72
17 231 0.8 34 8898953200 36458880 70
17 231 0.8 35 1931974690 7571552 72
17 231 0.8 36 45737160 5280 71
17 231 0.8 37 144530206334 735561444 70
17 231 0.8 38 9688419664 37214070 72
17 231 0.8 39 184080 288 74
17 231 0.8 40 208377478 722400 72
17 231 0.8 41 511691238544 2965261660 71
17 231 0.8 42 50938640 29856 71
17 231 0.8 43 19185204 46032 73
17 231 0.8 44 1638999924 7311056 71
17 231 0.8 45 122142512 165120 72
17 231 0.8 46 1877962730 19760 71
17 231 0.8 47 1324094016 5987520 72
17 231 0.8 48 272434144 1069600 74
17 231 0.8 49 1379837004 6308928 72
17 231 0.8 50 157100380 560320 72
17 231 0.8 51 26298982264 132470016 70
17 231 0.8 52 451057390 1061568 70
17 231 0.8 53 282807728 1010240 71
17 231 0.8 54 1588331657 5824530 71
17 231 0.8 55 68349252970 380624700 71
17 231 0.8 56 116851980 45360 74
17 231 0.8 57 45861074 216556 74
17 231 0.8 58 2066752 6080 74
17 231 0.8 59 66950158 260190 73
17 231 0.8 60 6472169242 17128800 71
17 231 0.8 61 621352744 2052480 72
17 231 0.8 62 1829624784 6102144 71
17 231 0.8 63 12456464 43744 73
17 231 0.8 64 459907277396 1965001968 70
17 231 0.8 65 7327258238 26475410 70
17 231 0.8 66 2358367332 5061582 70
17 231 0.8 67 10594052 29524 76
17 231 0.8 68 16712614600 77882944 71
17 231 0.8 69 229286472 280944 72
17 231 0.8 70 175774799392 877147328 70
17 231 0.8 71 476336 960 73
17 231 0.8 72 3448818 9108 74
17 231 0.8 73 25452768 102528 73
17 231 0.8 74 4812978108 9124560 71
17 231 0.8 75 58660536 211680 71
17 231 0.8 76 564708616 275352 71
17 231 0.8 77 4528026816 21772800 72
17 231 0.8 78 318375 1260 74
17 231 0.8 79 228955298796 1334639664 71
17 231 0.8 80 31010066156 128079936 71
17 231 0.8 81 64366461 138240 73
17 231 0.8 82 8105028336 32488992 71
17 231 0.8 83 13520151818 18378336 70
17 231 0.8 84 6670226435 18237690 70
17 231 0.8 85 3459620 6024 72
17 231 0.8 86 1255832976 5641920 72
17 231 0.8 87 496917720 2125136 73
17 231 0.8 88 10198326084 50570280 72
17 231 0.8 89 1109412032 1891840 71
17 231 0.8 90 138752300624 680133888 70
17 231 0.8 91 106488663 477648 72
17 231 0.8 92 2421302738 11573500 72
17 231 0.8 93 21462460 61984 72
17 231 0.8 94 161272000 498336 72
17 231 0.8 95 419230584 778752 71
17 231 0.8 96 41813275232 203327316 70
17 231 0.8 97 1587347892 3851232 71
17 231 0.8 98 8781135056 9211488 72
17 231 0.8 99 640913164 2160780 72
17 231 0.8 100 1848449408 7838208 71
17 231 0.8 101 19624336032 98416300 71
17 231 0.8 102 2207997031 7919028 71
17 231 0.8 103 71802200204 389707200 71
17 231 0.8 104 5050318166 16490246 70
17 231 0.8 105 47212029240 217556544 71
17 231 0.8 106 415451074 1288600 71
17 231 0.8 107 504028584 3060 72
17 231 0.8 108 69408568 15872 72
17 231 0.8 109 216551440 1076736 74
17 231 0.8 110 4354604 14680 74
17 231 0.8 111 76977288 241056 73
17 231 0.8 112 691915398861 3643446528 69
17 231 0.8 113 58078348 38016 72
17 231 0.8 114 389825216 1399488 71
17 231 0.8 115 1521594227 2820832 71
17 231 0.8 116 35284236 102408 74
17 231 0.8 117 1856166912 5810304 71
17 231 0.8 118 1651106364 6947616 72
17 231 0.8 119 13146938330 50361048 72
17 231 0.8 120 5495600084 2336580 70
17 231 0.8 121 2434386725 11542485 71
17 231 0.8 122 832670616 230256 69
17 231 0.8 123 187997956 287280 72
17 231 0.8 124 113079174856 306814272 69
17 231 0.8 125 13455588084 48513014 70
17 231 0.8 126 7296480760 37474456 72
17 231 0.8 127 50210734 185548 73
17 231 0.8 128 324333398 1185368 72
17 231 0.8 129 3302448 13632 74
17 231 0.8 130 40629936 152320 74
17 231 0.8 131 95771448 185850 73
17 231 0.8 132 72285876 139344 71
17 231 0.8 133 837446312 305456 71
17 231 0.8 134 1187374836 1592784 71
17 231 0.8 135 10761767920 42963492 71
17 231 0.8 136 47378194984 268527072 71
17 231 0.8 137 462775648 1809800 73
17 231 0.8 138 1461125328 5323648 71
17 231 0.8 139 1755219504 7050240 72
17 231 0.8 140 1345510284096 8506281312 70
17 231 0.8 141 21685432 86240 74
17 231 0.8 142 5842812280 19215936 70
17 231 0.8 143 199816461 479520 72
17 231 0.8 144 19063388764 82941664 71
17 231 0.8 145 109880464 60160 70
17 231 0.8 146 1307660676 5920368 73
17 231 0.8 147 1187004 2960 73
17 231 0.8 148 2275159426 6144600 72
17 231 0.8 149 911713610 4048220 73
17 231 0.8 150 58807458 258128 74
17 231 0.8 151 1029889884 4391584 71
17 231 0.8 152 269690888 1134048 73
17 231 0.8 153 111542196 437616 73
17 231 0.8 154 20063012 73488 72
17 231 0.8 155 77224556 346440 74
17 231 0.8 156 4739088778 25536060 72
17 231 0.8 157 72077700564 320018688 71
17 231 0.8 158 482354170912 2122882520 70
17 231 0.8 159 3679836978 13475673 70
17 231 0.8 160 1788356608 6219921 71
17 231 0.8 161 23116028074 134700720 72
17 231 0.8 162 472327991217 1161716760 71
17 231 0.8 163 938926384 4354112 71
17 231 0.8 164 120347507892 442561664 70
17 231 0.8 165 338095085 1328832 71
17 231 0.8 166 433222619 1128372 71
17 231 0.8 167 266765030 285588 72
17 231 0.8 168 15746067274 84744732 72
17 231 0.8 169 333306508 1129920 72
17 231 0.8 170 24381299538 37813464 72
17 231 0.8 171 817293 1980 74
17 231 0.8 172 65828324188 274116112 71
17 231 0.8 173 752369662044 4193806860 70
17 231 0.8 174 159065208 607968 72
17 231 0.8 175 4373604 16506 74
17 231 0.8 176 3903436730 17264104 71
17 231 0.8 177 2726847616 10201344 71
17 231 0.8 178 75920608 308004 72
17 231 0.8 179 1551448 3648 73
17 231 0.8 180 1072225586 3355020 73
17 231 0.8 181 11429535357 22407130 70
17 231 0.8 182 376000992 934080 71
17 231 0.8 183 757958076 2025600 71
17 231 0.8 184 3358219918 11887812 70
17 231 0.8 185 388097924 1319808 72
17 231 0.8 186 16940146 51552 73
17 231 0.8 187 107447334 465660 72
17 231 0.8 188 865157274 3164922 72
17 231 0.8 189 25065663390 127508904 70
17 231 0.8 190 46518931152 248585436 71
17 231 0.8 191 51977389 173833 73
17 231 0.8 192 18730368 14112 69
17 231 0.8 193 20986460352 91387392 70
17 231 0.8 194 18065061510 79138692 71
17 231 0.8 195 1540772992 960000 71
17 231 0.8 196 100367408 427680 72
17 231 0.8 197 189889156374 924677424 70
17 231 0.8 198 5326246832 22517648 72
17 231 0.8 199 466416582 1665216 72
17 231 0.8 200 1956884128 9015168 71
17 231 0.8 201 1312356126 5811540 73
17 231 0.8 202 228165604 419712 70
17 231 0.8 203 943483664 3827840 71
17 231 0.8 204 82894312 16384 72
17 231 0.8 205 11644052 11808 73
17 231 0.8 206 2242534392 5305824 70
17 231 0.8 207 14472944178 47280192 71
17 231 0.8 208 122930496 298080 71
17 231 0.8 209 10986335236 60588000 72
17 231 0.8 210 19088513110 39362788 69
