L N d seed D_(MIS-1) D_MIS MIS
35 980 0.8 0 7.108962403091811e+28 2.705499671301783e+25 289
35 980 0.8 1 3.887785423270651e+25 8.087550931902276e+21 291
35 980 0.8 2 1.32049508668957e+26 7.413362526396865e+22 292
35 980 0.8 3 1.1355859939698012e+28 5.968246746675431e+23 291
35 980 0.8 4 1.3335509930194344e+26 1.2009421562063345e+22 291
35 980 0.8 5 1.4107717691151088e+24 1.0943449844257475e+19 288
35 980 0.8 6 3.684757390933685e+27 1.409138546258624e+24 291
35 980 0.8 7 1.3946801722823572e+22 1.9828589049642885e+18 296
35 980 0.8 8 8.166159870179095e+24 4.501893507935862e+21 293
35 980 0.8 9 2.1331105810153272e+24 3.5214067204690136e+20 295
35 980 0.8 10 9.689377522088473e+24 6.531260868659287e+21 295
35 980 0.8 11 1.1495199234017969e+30 2.2589804776815285e+26 292
35 980 0.8 12 1.2416366578611701e+24 4.6858896379730775e+20 292
35 980 0.8 13 7.487459175616886e+26 1.4457267871649418e+23 294
35 980 0.8 14 3.4226950202556815e+28 1.5390179199564783e+25 291
35 980 0.8 15 2.1811741203359537e+25 7.872740720869999e+21 291
35 980 0.8 16 7.075209298764555e+21 4.668682714151178e+17 293
35 980 0.8 17 1.757170170873886e+26 1.759230233782456e+20 292
35 980 0.8 18 1.4073365301795115e+28 2.954732248369619e+24 289
35 980 0.8 19 1.6173408530590397e+25 1.2672344451850428e+22 294
35 980 0.8 20 1.712488299247322e+26 5.394604959819454e+18 291
35 980 0.8 21 1.7575851222385237e+27 1.310354963141433e+21 294
35 980 0.8 22 4.1062451707503754e+27 2.3723138377252515e+24 290
35 980 0.8 23 6.780979471587926e+20 805693952286720.0 293
35 980 0.8 24 1.0404643922544965e+25 3.044643248013312e+19 295
35 980 0.8 25 1.6916363338618416e+24 1.8196208633139167e+20 291
35 980 0.8 26 2.615374528273732e+25 1.09618775061093e+22 295
35 980 0.8 27 2.037089153156015e+21 3.16130129538048e+16 293
35 980 0.8 28 8.275319473481722e+23 1.1480465416037212e+20 292
35 980 0.8 29 2.937746855497701e+24 1.4956181592815554e+20 294
35 980 0.8 30 3.601267196206232e+21 1.4569504851492864e+18 295
35 980 0.8 31 1.1726076370680605e+29 2.7769312775588322e+25 292
35 980 0.8 32 5.66445900456085e+27 2.567870711806897e+24 289
35 980 0.8 33 1.8382068536202612e+20 705684033805824.0 292
35 980 0.8 34 1.2727151011453282e+29 5.06481710712902e+23 292
35 980 0.8 35 7.073933581892704e+25 1.047696463333482e+22 292
35 980 0.8 36 3.5311302611886563e+24 7.27734937090461e+20 295
35 980 0.8 37 5.655973338589972e+28 2.0842279976255307e+22 292
35 980 0.8 38 6.898580533325193e+25 5.872749957637844e+22 295
35 980 0.8 39 2.420642567003929e+22 3.503122450690867e+16 295
35 980 0.8 40 1.2882690145853877e+24 2.443075288771461e+20 292
35 980 0.8 41 1.0086463225962171e+21 2.739359431112786e+17 296
35 980 0.8 42 9.531889363516156e+22 4.073206842114048e+18 294
35 980 0.8 43 8.34695987009784e+20 2395689031120896.0 292
35 980 0.8 44 2.3503017633841776e+21 4.408880938576773e+17 295
