L N d seed D_(MIS-1) D_MIS MIS
11 97 0.8 179 43326 480 32
11 97 0.8 180 3380951 46559 30
11 97 0.8 181 64218 112 32
11 97 0.8 182 104842 1361 31
11 97 0.8 183 203486 1744 30
11 97 0.8 184 931 5 33
11 97 0.8 185 18817 158 32
11 97 0.8 186 11879468 183424 30
11 97 0.8 187 296628 3904 31
11 97 0.8 188 311700 4208 31
11 97 0.8 189 665384 8755 31
11 97 0.8 190 5713 60 33
11 97 0.8 191 26058 224 32
11 97 0.8 192 38246 96 31
11 97 0.8 193 2890 4 32
11 97 0.8 194 2059936 36748 30
11 97 0.8 195 27986 175 31
11 97 0.8 196 116072 216 31
11 97 0.8 197 56263 497 31
11 97 0.8 198 335668 3168 30
11 97 0.8 199 109275 1320 31
11 97 0.8 200 10160 104 32
11 97 0.8 201 387364 1998 30
11 97 0.8 202 495548 5876 31
11 97 0.8 203 2261642 37364 30
11 97 0.8 204 320600 4104 30
11 97 0.8 205 215221 1596 31
11 97 0.8 206 439808 4890 31
11 97 0.8 207 75812 516 31
11 97 0.8 208 9076 96 32
11 97 0.8 209 71895 923 32
11 97 0.8 210 123283 864 31
11 97 0.8 211 12708 168 33
11 97 0.8 212 920868 12708 30
11 97 0.8 213 325343 4804 31
11 97 0.8 214 154369 1920 31
11 97 0.8 215 223032 2632 30
11 97 0.8 216 2162677 30978 30
11 97 0.8 217 329756 5392 31
11 97 0.8 218 54292724 950113 29
11 97 0.8 219 259918 3856 31
11 97 0.8 220 34984 208 33
11 97 0.8 221 6448 48 33
11 97 0.8 222 20380 216 32
11 97 0.8 223 20377 175 32
11 97 0.8 224 181996 2034 30
11 97 0.8 225 142968 1176 32
11 97 0.8 226 65564 588 31
11 97 0.8 227 35404 480 32
11 97 0.8 228 32480 256 32
11 97 0.8 229 164797 1924 31
11 97 0.8 230 410858 6120 31
11 97 0.8 231 110661 498 32
11 97 0.8 232 2255168 25704 30
11 97 0.8 233 9955 92 32
11 97 0.8 234 53169 728 32
11 97 0.8 235 1124355 15939 31
11 97 0.8 236 1389408 26910 31
11 97 0.8 237 23400282 382248 29
11 97 0.8 238 1268544 18160 31
11 97 0.8 239 16432 141 32
11 97 0.8 240 5004701 78070 30
11 97 0.8 241 171420 1743 31
11 97 0.8 242 193679 1980 31
11 97 0.8 243 12146 98 33
11 97 0.8 244 19300 222 31
11 97 0.8 245 1252547 16650 30
11 97 0.8 246 52428 364 31
11 97 0.8 247 1821 18 33
11 97 0.8 248 202486 2348 32
11 97 0.8 249 3552 18 32
11 97 0.8 250 140870 1173 31
11 97 0.8 251 9057 108 33
11 97 0.8 252 766780 10368 31
11 97 0.8 253 1839 15 33
11 97 0.8 254 309292 3056 31
11 97 0.8 255 70851 660 32
11 97 0.8 256 185616 2226 31
11 97 0.8 257 2481 29 34
11 97 0.8 258 16069 195 33
11 97 0.8 259 1476 13 33
11 97 0.8 260 5685 55 34
11 97 0.8 261 55038 594 32
11 97 0.8 262 5984410 121732 30
11 97 0.8 263 101716 1176 31
11 97 0.8 264 8422 72 32
11 97 0.8 265 22213 231 33
11 97 0.8 266 115260 1692 30
11 97 0.8 267 1501456 16880 30
11 97 0.8 268 68530 820 32
11 97 0.8 269 247991 2498 31
11 97 0.8 270 174867 2156 31
11 97 0.8 271 3940 44 33
11 97 0.8 272 2629020 42440 30
11 97 0.8 273 869359 12060 31
11 97 0.8 274 331873 3684 32
11 97 0.8 275 988 8 32
11 97 0.8 276 616 4 34
11 97 0.8 277 479264 5580 30
11 97 0.8 278 145993 1821 32
11 97 0.8 279 77140 914 32
11 97 0.8 280 75410 920 31
11 97 0.8 281 19587215 387424 29
11 97 0.8 282 2877932 45792 31
11 97 0.8 283 4528 48 32
11 97 0.8 284 23395 228 32
11 97 0.8 285 3681183 62427 30
11 97 0.8 286 50621 570 32
11 97 0.8 287 1215365 18133 30
11 97 0.8 288 525266 7011 30
11 97 0.8 289 10052 117 32
11 97 0.8 290 175374 2052 31
11 97 0.8 291 401088 3328 30
11 97 0.8 292 350255 4713 31
11 97 0.8 293 57734 764 32
11 97 0.8 294 1236 9 33
11 97 0.8 295 183294 2776 31
11 97 0.8 296 1568321 22725 31
11 97 0.8 297 14418 78 31
11 97 0.8 298 22434 252 32
11 97 0.8 299 3080 34 34
11 97 0.8 300 185461 2756 32
11 97 0.8 301 12780 176 32
11 97 0.8 302 69380 892 32
11 97 0.8 303 1822730 32514 31
11 97 0.8 304 5625 27 33
11 97 0.8 305 103547 1008 31
11 97 0.8 306 2101364 20568 30
11 97 0.8 307 6871002 116332 30
11 97 0.8 308 52240 640 32
11 97 0.8 309 57664 690 31
11 97 0.8 310 48800 528 32
11 97 0.8 311 7750 72 33
11 97 0.8 312 1630411 22308 30
11 97 0.8 313 48664 604 33
11 97 0.8 314 7135 72 33
11 97 0.8 315 4296 48 34
11 97 0.8 316 1156182 14112 30
11 97 0.8 317 400818 4860 31
11 97 0.8 318 1512503 23970 31
11 97 0.8 319 989416 17228 30
11 97 0.8 320 93032 792 32
11 97 0.8 321 298450 3976 32
11 97 0.8 322 19109 112 32
11 97 0.8 323 5203 60 33
11 97 0.8 324 893 8 33
11 97 0.8 325 45386 496 32
11 97 0.8 326 515312 6048 30
11 97 0.8 327 41820 368 31
11 97 0.8 328 2110366 31113 30
11 97 0.8 329 52808 596 32
11 97 0.8 330 95962 1200 32
11 97 0.8 331 1797318 13900 29
11 97 0.8 332 15366 202 32
11 97 0.8 333 935559 13340 31
11 97 0.8 334 543512 9600 31
11 97 0.8 335 5629 60 32
11 97 0.8 336 627895 8190 32
11 97 0.8 337 13360 50 31
11 97 0.8 338 319908 3888 31
11 97 0.8 339 527481 7872 32
11 97 0.8 340 42654 288 31
11 97 0.8 341 59532 548 31
11 97 0.8 342 318816 1572 30
11 97 0.8 343 2776 12 32
11 97 0.8 344 5141924 75936 30
11 97 0.8 345 1209 6 32
11 97 0.8 346 23443885 267982 28
11 97 0.8 347 409738 5000 31
11 97 0.8 348 195430 2616 31
11 97 0.8 349 50386 580 32
11 97 0.8 350 9040 80 32
11 97 0.8 351 22808356 359164 29
11 97 0.8 352 2658117 28046 29
11 97 0.8 353 192998 3218 31
11 97 0.8 354 3789543 64774 29
11 97 0.8 355 805340 9216 31
11 97 0.8 356 51098167 1130100 30
11 97 0.8 357 2312 27 33
11 97 0.8 358 1956 16 32
11 97 0.8 359 1937086 32876 31
11 97 0.8 360 76248 360 31
11 97 0.8 361 17381 176 32
11 97 0.8 362 89469 1064 32
11 97 0.8 363 351 3 35
11 97 0.8 364 2437 24 33
11 97 0.8 365 650945 8970 30
11 97 0.8 366 1247202 21522 31
11 97 0.8 367 97932 252 31
11 97 0.8 368 221556 2392 32
11 97 0.8 369 570091 7884 31
11 97 0.8 370 199244 2736 31
11 97 0.8 371 13451 146 31
11 97 0.8 372 11442 106 31
11 97 0.8 373 1736 18 32
11 97 0.8 374 655993 10045 31
11 97 0.8 375 43976 558 32
11 97 0.8 376 16824 48 31
11 97 0.8 377 1226765 16224 30
11 97 0.8 378 213406 3216 31
11 97 0.8 379 456028 4272 31
11 97 0.8 380 66513 688 32
11 97 0.8 381 5340 36 31
11 97 0.8 382 327998 1468 31
11 97 0.8 383 474681 3476 30
11 97 0.8 384 22408 280 32
11 97 0.8 385 11566379 188994 30
11 97 0.8 386 38958 432 32
11 97 0.8 387 3636 36 34
11 97 0.8 388 66548 688 32
11 97 0.8 389 1526299 14490 29
11 97 0.8 390 1370736 17640 31
11 97 0.8 391 252108 1330 30
11 97 0.8 392 5072 60 33
11 97 0.8 393 3650700 56536 29
11 97 0.8 394 952 9 34
11 97 0.8 395 50058 384 32
11 97 0.8 396 139731 1602 32
11 97 0.8 397 5060 46 32
11 97 0.8 398 1195 9 33
11 97 0.8 399 113312 1024 31
11 97 0.8 400 19756 216 32
11 97 0.8 401 1276132 13152 30
11 97 0.8 402 287990 3479 31
11 97 0.8 403 3864 37 33
11 97 0.8 404 302638 2932 31
11 97 0.8 405 124745 1647 32
11 97 0.8 406 10868 76 32
11 97 0.8 407 37533 466 32
11 97 0.8 408 1164760 17472 30
11 97 0.8 409 3061049 21663 29
11 97 0.8 410 2463 22 33
11 97 0.8 411 2064662 26712 30
11 97 0.8 412 121567 1530 32
11 97 0.8 413 1389062 17760 30
11 97 0.8 414 50552 486 32
11 97 0.8 415 44043 408 32
11 97 0.8 416 11663 129 32
11 97 0.8 417 702606 8610 31
11 97 0.8 418 240750 3568 31
11 97 0.8 419 73562 684 31
11 97 0.8 420 5716275 93246 30
11 97 0.8 421 348621 5078 32
11 97 0.8 422 23467 280 32
11 97 0.8 423 3545648 49950 30
11 97 0.8 424 109902 1020 30
11 97 0.8 425 5608566 96732 30
11 97 0.8 426 125772 1216 31
11 97 0.8 427 61994 40 32
11 97 0.8 428 22088 224 31
11 97 0.8 429 1639701 29538 30
11 97 0.8 430 95029 173 31
11 97 0.8 431 29740 232 32
11 97 0.8 432 32288 448 31
