L N d seed D_(MIS-1) D_MIS MIS
13 135 0.8 0 8861079 56851 42
13 135 0.8 1 45549222 443875 41
13 135 0.8 2 153222 528 43
13 135 0.8 3 1665522 12936 44
13 135 0.8 4 17191 105 45
13 135 0.8 5 3679126 26188 43
13 135 0.8 6 3166650 29684 43
13 135 0.8 7 7539787 72219 42
13 135 0.8 8 454954614 5406306 42
13 135 0.8 9 176330 98 44
13 135 0.8 10 74360 300 43
13 135 0.8 11 4140210 14688 43
13 135 0.8 12 1267752 4472 43
13 135 0.8 13 286032 2142 44
13 135 0.8 14 1079046 9628 42
13 135 0.8 15 51441627 437616 42
13 135 0.8 16 125916 384 44
13 135 0.8 17 17285 123 45
13 135 0.8 18 1044554 5580 43
13 135 0.8 19 450016 640 43
13 135 0.8 20 144383 930 44
13 135 0.8 21 8658120 42532 41
13 135 0.8 22 10823574 85618 42
13 135 0.8 23 78126520 782176 42
13 135 0.8 24 13044864 110180 41
13 135 0.8 25 222022 1878 43
13 135 0.8 26 355584 2880 45
13 135 0.8 27 667224 4320 44
13 135 0.8 28 4050018 36048 43
13 135 0.8 29 987643 6689 43
13 135 0.8 30 6737000 61764 42
13 135 0.8 31 9275148 82080 43
13 135 0.8 32 304630 2342 44
13 135 0.8 33 542 2 44
13 135 0.8 34 438076 2820 43
13 135 0.8 35 112996738 1073084 41
13 135 0.8 36 13147 54 45
13 135 0.8 37 2125327 16770 44
13 135 0.8 38 5151 36 46
13 135 0.8 39 350494680 4652568 41
13 135 0.8 40 9319118 101792 42
13 135 0.8 41 74310908 650928 42
13 135 0.8 42 4699324 41688 43
13 135 0.8 43 77992 528 45
13 135 0.8 44 1396992 6264 42
13 135 0.8 45 645532 4800 43
13 135 0.8 46 19772146 146952 42
13 135 0.8 47 1000736 7448 44
13 135 0.8 48 78106 640 45
13 135 0.8 49 908124 7456 43
13 135 0.8 50 483024 1267 43
13 135 0.8 51 70197 540 45
13 135 0.8 52 95161968 829328 42
13 135 0.8 53 81042646 818514 41
13 135 0.8 54 5632176 29244 42
13 135 0.8 55 1121187 5328 42
13 135 0.8 56 77370 432 44
13 135 0.8 57 285409020 2851696 41
13 135 0.8 58 8698806 48540 42
13 135 0.8 59 11902937 109554 42
13 135 0.8 60 22588 156 45
13 135 0.8 61 343654 1260 43
13 135 0.8 62 2013969 11202 43
13 135 0.8 63 638447 2790 43
13 135 0.8 64 18777578 162780 43
13 135 0.8 65 16871515 139276 43
13 135 0.8 66 141672 1071 44
13 135 0.8 67 12152 96 44
13 135 0.8 68 2398061 19942 43
13 135 0.8 69 176711 1350 43
13 135 0.8 70 217050 1384 43
13 135 0.8 71 18192748 161118 42
13 135 0.8 72 1083794 6912 43
13 135 0.8 73 1788064 13160 43
13 135 0.8 74 410445 945 43
13 135 0.8 75 2266462 13944 43
13 135 0.8 76 260140 1536 42
13 135 0.8 77 2624472 23436 44
13 135 0.8 78 17944112 191584 42
13 135 0.8 79 7482 54 45
13 135 0.8 80 2709126 15516 42
13 135 0.8 81 10661404 107160 42
13 135 0.8 82 772378 5448 42
13 135 0.8 83 249457 1350 43
13 135 0.8 84 11765304 70860 42
13 135 0.8 85 2600984 20640 42
13 135 0.8 86 36024 144 44
13 135 0.8 87 227187 1791 45
13 135 0.8 88 6668 44 45
13 135 0.8 89 1202568 6624 42
13 135 0.8 90 17546912 155496 42
13 135 0.8 91 8114211 71978 42
13 135 0.8 92 2261606 12450 43
13 135 0.8 93 1514911 15660 44
13 135 0.8 94 36424684 345768 42
13 135 0.8 95 1872642 14832 42
13 135 0.8 96 17006665 163116 42
13 135 0.8 97 351132 2439 44
13 135 0.8 98 366562 2448 44
13 135 0.8 99 310124 1974 44
13 135 0.8 100 274904 2464 45
13 135 0.8 101 668704 3840 43
13 135 0.8 102 20246 18 43
13 135 0.8 103 2419608 15808 42
13 135 0.8 104 1696929 9522 44
13 135 0.8 105 301080 2656 44
13 135 0.8 106 5712282 30400 42
13 135 0.8 107 2519274 19080 42
13 135 0.8 108 30304 192 44
13 135 0.8 109 974767 7628 44
13 135 0.8 110 392054 2278 44
13 135 0.8 111 523920 3996 43
13 135 0.8 112 14726072 143630 43
13 135 0.8 113 1794909 18315 44
13 135 0.8 114 17154512 74908 41
13 135 0.8 115 850392 7695 43
13 135 0.8 116 284017 2210 44
13 135 0.8 117 16908 36 44
13 135 0.8 118 1291020 11232 43
13 135 0.8 119 18002 90 44
13 135 0.8 120 6437694 17472 41
13 135 0.8 121 3341265 31115 44
13 135 0.8 122 32608 230 45
13 135 0.8 123 190836744 1995440 41
13 135 0.8 124 567900 336 43
13 135 0.8 125 35436326 182925 41
13 135 0.8 126 4783600 25308 41
13 135 0.8 127 4052128 25616 42
13 135 0.8 128 38566 156 44
13 135 0.8 129 116595824 1242378 42
13 135 0.8 130 552038 1564 43
13 135 0.8 131 1405404 2056 42
13 135 0.8 132 42230223 434850 42
13 135 0.8 133 1938028 14032 43
13 135 0.8 134 2369510 880 43
13 135 0.8 135 300668 1660 43
13 135 0.8 136 158000 368 43
13 135 0.8 137 78488 240 43
13 135 0.8 138 118454 1008 44
13 135 0.8 139 13358946 126792 43
13 135 0.8 140 14949967 130824 42
13 135 0.8 141 2293588878 23127180 40
13 135 0.8 142 28776 160 44
13 135 0.8 143 44495 264 44
13 135 0.8 144 70096 512 44
13 135 0.8 145 279994 2208 44
13 135 0.8 146 590721 2340 43
13 135 0.8 147 410704 2996 43
13 135 0.8 148 1684166 9616 44
13 135 0.8 149 62478694 617728 42
13 135 0.8 150 17827884 96840 42
13 135 0.8 151 28053990 303984 41
13 135 0.8 152 430566 3858 45
13 135 0.8 153 4817784 35104 42
13 135 0.8 154 22315532 156576 42
13 135 0.8 155 1445250 11835 43
13 135 0.8 156 19934 84 44
13 135 0.8 157 255035 2160 44
13 135 0.8 158 801632 7280 43
13 135 0.8 159 1247166 6396 42
13 135 0.8 160 916472 6960 43
13 135 0.8 161 884619 7581 44
13 135 0.8 162 6540788 67032 43
13 135 0.8 163 827520 6660 44
13 135 0.8 164 3326002 13548 42
13 135 0.8 165 132392 792 44
13 135 0.8 166 1099443 10746 44
13 135 0.8 167 744093 6642 44
13 135 0.8 168 3324788 24960 42
13 135 0.8 169 19736 144 44
13 135 0.8 170 4708076 25596 42
13 135 0.8 171 873066 7128 44
13 135 0.8 172 6070948 37380 42
13 135 0.8 173 14196997 97408 41
13 135 0.8 174 7622572 44232 42
13 135 0.8 175 232895573 2063312 41
13 135 0.8 176 607596 2304 43
13 135 0.8 177 32968 272 44
13 135 0.8 178 114705 819 45
13 135 0.8 179 6286424 72870 43
13 135 0.8 180 1282640 12416 43
13 135 0.8 181 2721909 1944 42
13 135 0.8 182 7335 36 44
13 135 0.8 183 15828468 97236 42
13 135 0.8 184 8191175 69606 44
13 135 0.8 185 65940 432 45
13 135 0.8 186 3995765 38785 43
13 135 0.8 187 2744082 16780 43
13 135 0.8 188 33572361 248760 42
13 135 0.8 189 47552 250 44
13 135 0.8 190 6201904 22620 42
13 135 0.8 191 178681279 2163948 42
13 135 0.8 192 24672444 209664 41
13 135 0.8 193 32373841 342108 42
13 135 0.8 194 37392 224 43
13 135 0.8 195 20602952 168084 41
13 135 0.8 196 192721 592 42
13 135 0.8 197 107535 792 45
13 135 0.8 198 20102 144 44
13 135 0.8 199 35225992 360896 42
13 135 0.8 200 192305376 1871040 41
13 135 0.8 201 2159161 6496 42
13 135 0.8 202 6900835 62046 43
13 135 0.8 203 3767358 30888 43
13 135 0.8 204 134420 240 42
13 135 0.8 205 2675008 13440 43
13 135 0.8 206 555067 3870 44
13 135 0.8 207 363832 3240 45
13 135 0.8 208 2099786 7141 43
13 135 0.8 209 1594351 14760 43
13 135 0.8 210 77267682 797444 42
13 135 0.8 211 43764628 205620 41
13 135 0.8 212 17625041 147490 42
13 135 0.8 213 429359 3640 44
13 135 0.8 214 572933884 6871136 42
13 135 0.8 215 248376 328 43
13 135 0.8 216 544605924 5816120 41
13 135 0.8 217 301644 2280 43
13 135 0.8 218 2916143 27070 43
13 135 0.8 219 9477342 75986 42
13 135 0.8 220 2068216 17010 43
13 135 0.8 221 1172564 7940 43
13 135 0.8 222 2829015 22807 42
13 135 0.8 223 1158074 3904 41
13 135 0.8 224 699796 6336 43
13 135 0.8 225 70358 504 45
13 135 0.8 226 1310966 9840 43
13 135 0.8 227 3451104 23328 42
13 135 0.8 228 74912285 708369 42
13 135 0.8 229 767944 4352 43
13 135 0.8 230 383288 1920 43
13 135 0.8 231 461512 3400 44
13 135 0.8 232 5458588 38288 43
13 135 0.8 233 149946518 1524045 41
13 135 0.8 234 205528 1248 45
13 135 0.8 235 11001526 108845 42
13 135 0.8 236 914605 5062 42
13 135 0.8 237 290156 2758 44
13 135 0.8 238 1792024 16632 44
13 135 0.8 239 1094016 7500 42
13 135 0.8 240 21072 96 44
13 135 0.8 241 2277084 5040 42
13 135 0.8 242 7259141 56475 42
13 135 0.8 243 146770533 1644948 42
13 135 0.8 244 1445842 7716 43
13 135 0.8 245 166034 1080 43
13 135 0.8 246 12108 96 46
13 135 0.8 247 20921628 200304 42
13 135 0.8 248 213566 2184 44
13 135 0.8 249 46331 195 43
13 135 0.8 250 7047662 65940 42
13 135 0.8 251 101626 260 44
13 135 0.8 252 1275036 8985 43
13 135 0.8 253 2471192 23564 44
13 135 0.8 254 38166770 384372 42
13 135 0.8 255 317220 2052 43
13 135 0.8 256 1680781 12420 43
13 135 0.8 257 329718 1880 44
13 135 0.8 258 1511480 10576 42
13 135 0.8 259 288410 1480 43
13 135 0.8 260 687716 5184 43
13 135 0.8 261 1513916 6144 42
13 135 0.8 262 344272 2560 44
13 135 0.8 263 4726452 25376 41
13 135 0.8 264 754860 4800 43
13 135 0.8 265 6621616 66032 43
13 135 0.8 266 1587320 14304 43
13 135 0.8 267 759316 3920 44
13 135 0.8 268 64709008 514974 42
13 135 0.8 269 4470236 21680 42
13 135 0.8 270 8818461 66346 41
13 135 0.8 271 51208125 598482 42
13 135 0.8 272 632016 4970 42
13 135 0.8 273 647262 2020 42
13 135 0.8 274 29739203 282778 42
13 135 0.8 275 188262 1836 44
13 135 0.8 276 1755742 15216 43
13 135 0.8 277 654610 5124 44
13 135 0.8 278 1412752 10112 43
13 135 0.8 279 17343912 177120 42
13 135 0.8 280 4030354 46596 43
13 135 0.8 281 2719896624 28460400 40
13 135 0.8 282 684739 3760 42
13 135 0.8 283 25576 196 45
13 135 0.8 284 458639047 1671365 40
13 135 0.8 285 25426838 242488 43
13 135 0.8 286 2112488 14634 43
13 135 0.8 287 13618774 135612 44
13 135 0.8 288 30801303 281386 42
13 135 0.8 289 2315743 20560 45
13 135 0.8 290 22586058 250290 42
13 135 0.8 291 135632 1184 44
13 135 0.8 292 1758 6 45
13 135 0.8 293 86638 504 44
13 135 0.8 294 66392 408 44
13 135 0.8 295 986034 6640 43
13 135 0.8 296 62514 456 46
13 135 0.8 297 3379 20 45
13 135 0.8 298 1664616 2982 43
13 135 0.8 299 497496582 5264848 41
13 135 0.8 300 305050013 3268868 41
13 135 0.8 301 365821 2004 42
13 135 0.8 302 397328 3186 45
13 135 0.8 303 8488398 49704 42
13 135 0.8 304 15372 108 45
13 135 0.8 305 226134 1088 42
13 135 0.8 306 35914 282 44
13 135 0.8 307 44215717 401151 41
13 135 0.8 308 1429295 1316 43
13 135 0.8 309 1249764 6976 43
13 135 0.8 310 6556786 52380 42
13 135 0.8 311 6723404 63120 43
13 135 0.8 312 4605532 25584 43
13 135 0.8 313 676548 5616 43
13 135 0.8 314 212453306 1339824 41
13 135 0.8 315 842156 2352 43
13 135 0.8 316 324905 2380 43
13 135 0.8 317 1246770 5408 43
13 135 0.8 318 732944 1444 43
13 135 0.8 319 337 2 45
13 135 0.8 320 842453 7644 44
13 135 0.8 321 131148 792 44
13 135 0.8 322 23873536 230354 42
13 135 0.8 323 5460961 9946 42
13 135 0.8 324 111768 144 43
13 135 0.8 325 223274 1730 44
13 135 0.8 326 585928 4347 44
13 135 0.8 327 2727002 18024 42
13 135 0.8 328 1262176 5364 42
13 135 0.8 329 176742 756 43
13 135 0.8 330 4270840 37248 42
13 135 0.8 331 2261156 11760 42
13 135 0.8 332 31995172 322560 42
13 135 0.8 333 434992 308 42
13 135 0.8 334 4058162 32631 43
13 135 0.8 335 3813791 28146 43
13 135 0.8 336 1531360 11968 43
13 135 0.8 337 7081882 69814 42
13 135 0.8 338 257730760 1673800 41
13 135 0.8 339 49898245 557591 42
13 135 0.8 340 2218836 16352 43
13 135 0.8 341 10641016 117712 42
13 135 0.8 342 3701694 25260 43
13 135 0.8 343 2813760 29728 43
13 135 0.8 344 9569384 96924 43
13 135 0.8 345 8741493 83974 42
13 135 0.8 346 6061272 57456 42
13 135 0.8 347 19337327 205554 42
13 135 0.8 348 6185216 44064 42
13 135 0.8 349 69020 336 44
13 135 0.8 350 20654254 186628 42
13 135 0.8 351 144262 1096 44
13 135 0.8 352 711756 6536 44
13 135 0.8 353 23614470 158504 41
13 135 0.8 354 32160736 365340 43
13 135 0.8 355 3098580 30223 43
13 135 0.8 356 2760672 21888 43
13 135 0.8 357 39833864 405360 42
13 135 0.8 358 80358 588 45
13 135 0.8 359 336000 2320 44
13 135 0.8 360 5921952 60480 44
13 135 0.8 361 732685 2106 43
13 135 0.8 362 566676 5572 46
13 135 0.8 363 3031273 14280 41
13 135 0.8 364 59865 375 45
13 135 0.8 365 8989648 74880 42
13 135 0.8 366 496364 1784 42
13 135 0.8 367 1500420 6600 43
13 135 0.8 368 5396828 34672 43
13 135 0.8 369 1527148 10408 42
13 135 0.8 370 10664564 92740 43
13 135 0.8 371 13503004 126996 43
13 135 0.8 372 693234 5184 44
13 135 0.8 373 12330384 55808 42
13 135 0.8 374 9081 54 45
13 135 0.8 375 610258 1902 43
13 135 0.8 376 234902 2424 45
13 135 0.8 377 49723866 543312 43
13 135 0.8 378 297524 2142 44
13 135 0.8 379 687222 3324 43
13 135 0.8 380 91630238 1234800 42
13 135 0.8 381 14549101 111900 42
13 135 0.8 382 21195478 116944 41
13 135 0.8 383 12236282 26112 42
13 135 0.8 384 3131961 21809 42
13 135 0.8 385 7028 20 43
13 135 0.8 386 24592650 235276 42
13 135 0.8 387 6385950 60768 42
13 135 0.8 388 2137344 10308 42
13 135 0.8 389 16966 86 44
13 135 0.8 390 13075876 121908 42
13 135 0.8 391 4716720 32640 42
13 135 0.8 392 2504694 16320 43
13 135 0.8 393 9810144 88572 43
13 135 0.8 394 20968972 90804 42
13 135 0.8 395 371934 3393 44
13 135 0.8 396 505792 4486 45
13 135 0.8 397 3661438 31456 43
13 135 0.8 398 11840 32 44
13 135 0.8 399 22462824 179280 42
13 135 0.8 400 3131200 27156 43
13 135 0.8 401 71304 520 44
13 135 0.8 402 14744784 125280 43
13 135 0.8 403 1053529224 12931392 40
13 135 0.8 404 3883212 25452 43
13 135 0.8 405 27164080 215661 42
13 135 0.8 406 421797 3132 44
13 135 0.8 407 72741747 424320 42
13 135 0.8 408 493494 4412 44
13 135 0.8 409 36838 252 44
13 135 0.8 410 13293673 133201 43
13 135 0.8 411 36896 160 44
13 135 0.8 412 160030 60 43
13 135 0.8 413 8088 24 43
13 135 0.8 414 24668 96 44
13 135 0.8 415 34117636 159888 42
13 135 0.8 416 60939106 515100 42
13 135 0.8 417 2064204 14918 42
13 135 0.8 418 17715674 187064 43
13 135 0.8 419 62336114 675090 42
13 135 0.8 420 328940 2160 44
13 135 0.8 421 18044395 157461 42
13 135 0.8 422 1291008 8448 43
13 135 0.8 423 9665680 66480 42
13 135 0.8 424 7294582 81268 43
13 135 0.8 425 1476616 8456 44
13 135 0.8 426 387802 3108 44
13 135 0.8 427 129425 844 44
13 135 0.8 428 1044556 6480 43
13 135 0.8 429 9141906 83480 42
13 135 0.8 430 24025375 222567 42
13 135 0.8 431 299526 2024 44
13 135 0.8 432 17611402 177264 42
13 135 0.8 433 118558 832 43
13 135 0.8 434 154051532 1471375 41
13 135 0.8 435 4561765 32796 43
13 135 0.8 436 189282 1386 44
13 135 0.8 437 5198108 41056 42
13 135 0.8 438 6423 45 45
13 135 0.8 439 17984658 174548 43
13 135 0.8 440 147744 864 44
13 135 0.8 441 1049680 7808 43
13 135 0.8 442 11985350 119532 42
13 135 0.8 443 668274 3360 43
13 135 0.8 444 105443959 1117149 42
13 135 0.8 445 8954368 88816 43
13 135 0.8 446 25273954 251824 42
13 135 0.8 447 158673648 1458900 41
13 135 0.8 448 1598490 12900 44
13 135 0.8 449 23414864 198752 42
13 135 0.8 450 1331 6 45
13 135 0.8 451 596563888 6542116 40
13 135 0.8 452 1805084 15504 43
13 135 0.8 453 294609 120 43
13 135 0.8 454 12564 96 44
13 135 0.8 455 1189751 5280 44
13 135 0.8 456 863781 6262 42
13 135 0.8 457 1777767 12516 42
13 135 0.8 458 16770284 170478 43
13 135 0.8 459 5282484 30240 42
13 135 0.8 460 2970060 23600 42
13 135 0.8 461 402916 3072 43
13 135 0.8 462 1987596 16232 44
13 135 0.8 463 22321949 158064 41
13 135 0.8 464 325810 1200 43
13 135 0.8 465 919348 480 42
13 135 0.8 466 1033996 9036 43
13 135 0.8 467 492320 2448 43
13 135 0.8 468 121232 752 45
13 135 0.8 469 592656 3780 44
13 135 0.8 470 1785217 14820 43
13 135 0.8 471 8947 30 45
13 135 0.8 472 388140 3600 45
13 135 0.8 473 11958 72 44
13 135 0.8 474 493122 2568 43
13 135 0.8 475 239181364 2994389 42
13 135 0.8 476 66757898 620928 41
13 135 0.8 477 2061904 16134 43
13 135 0.8 478 3049204 25056 43
13 135 0.8 479 6064088 52400 42
13 135 0.8 480 11154632 107510 43
13 135 0.8 481 5931704 17106 42
13 135 0.8 482 127204 828 44
13 135 0.8 483 1417388 10320 43
13 135 0.8 484 13783140 122760 43
13 135 0.8 485 444828 2136 44
13 135 0.8 486 194044 720 43
13 135 0.8 487 6443878 61560 43
13 135 0.8 488 68909 462 44
13 135 0.8 489 22034 104 45
13 135 0.8 490 443109 3204 43
13 135 0.8 491 15184185 138726 43
13 135 0.8 492 14018 60 44
13 135 0.8 493 44124 144 43
13 135 0.8 494 68310497 677841 42
13 135 0.8 495 1173309 5394 42
13 135 0.8 496 9046760 40264 42
13 135 0.8 497 128820 144 44
13 135 0.8 498 24752146 132728 41
13 135 0.8 499 45212977 311568 41
13 135 0.8 500 652752 5280 43
13 135 0.8 501 7.5760288e7 699144.0 42
13 135 0.8 502 2.468002e6 15096.0 43
13 135 0.8 503 573736.0 1872.0 42
13 135 0.8 504 437670.0 1620.0 43
13 135 0.8 505 1.79440139e8 2.00832e6 42
13 135 0.8 506 526592.0 2144.0 43
13 135 0.8 507 3.5461061e7 403704.0 42
13 135 0.8 508 403260.0 3528.0 45
13 135 0.8 509 246460.0 1104.0 44
13 135 0.8 510 561250.0 4080.0 43
13 135 0.8 511 3.322486e6 28448.0 43
13 135 0.8 512 1.44733e6 13104.0 43
13 135 0.8 513 1.9358296e7 167328.0 42
13 135 0.8 514 2.208296e6 5112.0 42
13 135 0.8 515 3.192436e6 24192.0 42
13 135 0.8 516 8.8885838e7 878760.0 41
13 135 0.8 517 1.6031806e7 124920.0 42
13 135 0.8 518 2.068678e6 16302.0 44
13 135 0.8 519 800163.0 6558.0 44
13 135 0.8 520 2.2314027e7 225484.0 43
13 135 0.8 521 103153.0 632.0 45
13 135 0.8 522 39496.0 192.0 45
13 135 0.8 523 62324.0 376.0 44
13 135 0.8 524 2.573784e6 18389.0 43
