L N d seed D_(MIS-1) D_MIS MIS
23 423 0.8 0 148728397015019.0 551030400.0 128
23 423 0.8 1 2535957874380.0 328478976.0 131
23 423 0.8 2 181719662482424.0 187474780304.0 127
23 423 0.8 3 3962205072210.0 3663289368.0 130
23 423 0.8 4 4974662577287552.0 7441372449280.0 127
23 423 0.8 5 132379564996416.0 238379143968.0 127
23 423 0.8 6 3969252058154964.0 8380994510624.0 127
23 423 0.8 7 15271118492872.0 19465411392.0 129
23 423 0.8 8 1369642059072.0 2331555840.0 130
23 423 0.8 9 3.5506112750178044e+16 63909630700608.0 127
23 423 0.8 10 10402582458368.0 4350855168.0 128
23 423 0.8 11 177095474681804.0 276542202640.0 128
23 423 0.8 12 547324340352.0 89222400.0 129
23 423 0.8 13 62116372784.0 74012400.0 131
23 423 0.8 14 2.421424394247425e+16 21279545227224.0 127
23 423 0.8 15 528856164906.0 190772064.0 129
23 423 0.8 16 731761026608568.0 1040258721024.0 128
23 423 0.8 17 792243714791056.0 986204528640.0 129
23 423 0.8 18 21785574001032.0 32347432080.0 128
23 423 0.8 19 491028454272.0 623149056.0 129
23 423 0.8 20 69142056728304.0 146343073536.0 129
23 423 0.8 21 93675155072.0 20685984.0 130
23 423 0.8 22 20576343864.0 1938816.0 130
23 423 0.8 23 137702443429216.0 46611808320.0 128
23 423 0.8 24 3.493114569747272e+16 45005708231670.0 127
23 423 0.8 25 64846955789120.0 126626338432.0 129
23 423 0.8 26 4434825106062256.0 5813821378112.0 127
23 423 0.8 27 149964115054464.0 168569856000.0 127
23 423 0.8 28 72219755301864.0 120224093184.0 130
23 423 0.8 29 1.0130323351252926e+21 2.774757793424203e+18 125
23 423 0.8 30 40596255376416.0 1120863744.0 128
23 423 0.8 31 1195354226364845.0 1746142559272.0 129
23 423 0.8 32 1.3399257488661504e+16 26575875272952.0 127
23 423 0.8 33 1236493575187650.0 454037519784.0 127
23 423 0.8 34 34988114177576.0 61368891024.0 129
23 423 0.8 35 139479920760.0 12195072.0 131
23 423 0.8 36 3.370445465522024e+16 35266230022656.0 126
23 423 0.8 37 219365403600.0 136331328.0 129
23 423 0.8 38 1387767312.0 585792.0 131
23 423 0.8 39 1990001912980384.0 1889260306944.0 128
23 423 0.8 40 52703396592.0 2706048.0 129
23 423 0.8 41 252324500460864.0 401357283264.0 126
23 423 0.8 42 71812633801203.0 102874832562.0 129
23 423 0.8 43 147189105714588.0 755643600.0 128
23 423 0.8 44 3.2889749182591204e+16 42581470630836.0 125
23 423 0.8 45 1.9603028272276176e+16 32686364634624.0 126
23 423 0.8 46 68689323119232.0 124014811536.0 128
23 423 0.8 47 266369830065581.0 199877216742.0 126
23 423 0.8 48 20981763414983.0 13279794696.0 129
23 423 0.8 49 615918978360.0 1093108500.0 131
23 423 0.8 50 535193720652.0 895685040.0 129
23 423 0.8 51 21048545388480.0 47453626368.0 129
