L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
26,0.8,5,3.0,1727.045286,6822.855331,1727.05225,136.451978,572.467773,136.456086,66
26,0.8,6,3.0,367.231199,1665.502076,367.235542,11.764475,48.261442,11.770774,67
26,0.8,7,3.0,414.69519,1895.665673,414.69945,1256.616204,6016.206013,1256.620289,67
26,0.8,8,3.0,1945.277326,9624.703218,1945.281526,38.368398,173.018893,38.374722,66
26,0.8,9,3.0,1172.250044,6039.421005,1172.258039,10.130618,48.713919,10.134723,66
26,0.8,10,3.0,1720.2834,9030.430696,1720.291438,125.908877,642.952099,125.912736,66
26,0.8,11,3.0,1092.281781,7085.341987,1092.285719,36.947207,231.336861,36.951135,66
26,0.8,12,3.0,812.830282,5495.472527,812.834243,68.709596,450.258397,68.713453,66
26,0.8,13,3.0,291.298222,1963.2561,291.302026,80.427701,522.499716,80.431781,66
26,0.8,14,3.0,562.69504,3764.081448,562.698786,292.623574,1872.935243,292.627377,67
26,0.8,15,3.0,443.852203,2219.658744,443.85639,103.25163,402.035042,103.258599,67
26,0.8,16,3.0,2342.337479,10291.477469,2342.34163,114.447665,487.104743,114.45462,66
26,0.8,17,3.0,180.637593,811.167022,180.644242,197.366196,865.276643,197.37281,68
26,0.8,18,3.0,967.069855,4293.615296,967.076449,701.70066,3398.399739,701.707783,67
26,0.8,19,3.0,933.012409,3707.318737,933.019617,481.301391,1874.899747,481.308426,66
26,0.8,20,3.0,755.259982,3027.516142,755.264213,188.11049,704.396245,188.117484,67
26,0.8,21,3.0,2768.539279,11162.150314,2768.546215,2793.184808,11167.93858,2793.192184,67
26,0.8,22,3.0,477.415894,1867.859123,477.422812,14.580104,52.354766,14.587137,67
26,0.8,23,3.0,1734.502438,6933.538515,1734.517171,1639.665257,6495.488896,1639.672467,66
26,0.8,24,3.0,2102.440392,8403.328243,2102.447607,40.967787,183.805509,40.974904,66
26,0.8,25,3.0,1616.099799,6349.636504,1616.104,480.022134,1841.604328,480.029325,66
26,0.8,26,3.0,1286.131915,5131.380003,1286.139061,145.473965,544.819282,145.481217,66
26,0.8,27,3.0,355.507395,1433.796533,355.526831,136.77044,523.843411,136.777345,67
26,0.8,28,3.0,2491.316773,9955.696912,2491.323575,1558.910415,6121.946732,1558.916905,66
26,0.8,29,3.0,555.064333,2124.652889,555.068456,785.035195,3059.452291,785.04189,67
26,0.8,30,3.0,794.971633,3135.709307,794.978359,11.202059,41.489853,11.209028,66
26,0.8,31,3.0,1123.801314,4527.216671,1123.808362,614.730631,2376.055933,614.737613,67
26,0.8,32,3.0,1588.976077,6344.943472,1588.982994,1365.838766,5320.959339,1365.845955,67
26,0.8,33,3.0,1563.920212,6220.656818,1563.92679,1034.286647,4074.275847,1034.29338,66
26,0.8,34,3.0,1399.202584,5613.707882,1399.206675,183.787607,698.04806,183.794372,66
26,0.8,35,3.0,1677.445665,6634.953082,1677.452586,1092.043737,4187.244028,1092.050795,67
26,0.8,36,3.0,1370.205994,5390.21485,1370.229581,1128.43868,4336.483518,1128.445658,67
26,0.8,37,3.0,1807.244957,7165.131152,1807.252183,1293.906004,4997.526249,1293.913004,67
26,0.8,38,3.0,926.291641,3662.278877,926.298393,77.707125,280.541507,77.714342,67
26,0.8,39,3.0,1400.53016,5513.873105,1400.537136,187.496912,692.834657,187.504205,66
26,0.8,40,3.0,2489.444055,9795.469318,2489.451636,14.930339,51.594062,14.937114,66
26,0.8,0,3.163,3.099802,8.966442,3.108305,2.143915,6.709423,2.151919,58
26,0.8,1,3.163,4.246881,12.390832,4.255239,4.631166,13.587129,4.639361,58
26,0.8,2,3.163,2.14478,5.895489,2.153085,2.146971,5.885809,2.155145,59
26,0.8,3,3.163,4.542699,13.340365,4.550758,4.284628,13.060611,4.292924,58
26,0.8,4,3.163,2.612352,7.129572,2.620829,2.315588,6.356336,2.324076,58
26,0.8,5,3.163,1.937627,4.796822,1.946201,1.519594,4.597918,1.524333,58
26,0.8,6,3.163,3.412563,9.589972,3.42116,1.313375,2.985822,1.321608,58
26,0.8,7,3.163,7.242439,22.276748,7.250498,2.016882,6.136441,2.024913,57
26,0.8,8,3.163,6.939938,21.818318,6.948223,5.216647,16.736801,5.225003,57
