L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,1,0,1,0.022777,0.032868,0.0246,0.022524,0.033705,0.024261,221
21,1,1,1,0.019805,0.029981,0.022547,0.024487,0.033973,0.026215,221
21,1,2,1,0.020986,0.032751,0.023049,0.025832,0.035453,0.027848,221
21,1,3,1,0.03153,0.037155,0.033685,0.048773,0.035951,0.051637,221
21,1,4,1,0.023683,0.033647,0.025831,0.040149,0.042746,0.042869,221
21,1,5,1,0.030209,0.042216,0.032098,0.0681,0.047478,0.076,221
21,1,6,1,0.024097,0.030214,0.025935,0.020571,0.0325,0.022498,221
21,1,7,1,0.019921,0.032319,0.022126,0.018243,0.029352,0.019975,221
21,1,8,1,0.025576,0.037915,0.0287,0.021333,0.035448,0.023113,221
21,1,9,1,0.026965,0.033942,0.02999,0.01992,0.031289,0.021806,221
21,1,10,1,0.027892,0.036434,0.029933,0.036763,0.04558,0.0391,221
21,1,11,1,0.029817,0.040196,0.031714,0.037943,0.052112,0.040027,221
21,1,12,1,0.03915,0.040221,0.041413,0.040071,0.033327,0.042454,221
21,1,13,1,0.035951,0.041348,0.037909,0.03848,0.034125,0.040301,221
21,1,14,1,0.021975,0.032784,0.024651,0.040036,0.040537,0.042281,221
21,1,15,1,0.108908,0.117976,0.112353,0.036422,0.037782,0.042663,221
21,1,16,1,0.02566,0.031536,0.027576,0.017437,0.029047,0.019294,221
21,1,17,1,0.036037,0.041929,0.037943,0.028144,0.03419,0.03048,221
21,1,18,1,0.024809,0.034266,0.027465,0.017294,0.030678,0.01906,221
21,1,19,1,0.037554,0.039644,0.042272,0.036296,0.032459,0.038392,221
21,1,20,1,0.029881,0.03207,0.032105,0.046506,0.037898,0.050705,221
21,1,21,1,0.029194,0.033971,0.03109,0.027152,0.031497,0.028886,221
21,1,22,1,0.037601,0.036612,0.039466,0.054315,0.046768,0.056914,221
21,1,23,1,0.023527,0.032175,0.025538,0.063862,0.03834,0.065707,221
21,1,24,1,0.033804,0.041403,0.036119,0.025487,0.032422,0.027558,221
21,1,25,1,0.041051,0.04059,0.043331,0.024032,0.037296,0.02624,221
21,1,26,1,0.051706,0.050175,0.05637,0.04425,0.046289,0.046082,221
21,1,27,1,0.036148,0.036712,0.038967,0.033049,0.032685,0.034942,221
21,1,28,1,0.040473,0.039275,0.04324,0.037215,0.046376,0.043713,221
21,1,29,1,0.037484,0.04097,0.044102,0.057571,0.052117,0.06248,221
21,1,30,1,0.031968,0.033476,0.033897,0.030987,0.037476,0.03884,221
21,1,31,1,0.021364,0.032121,0.023735,0.030168,0.035091,0.032718,221
21,1,32,1,0.031594,0.036983,0.03366,0.027385,0.040747,0.030214,221
21,1,33,1,0.04227,0.04889,0.046787,0.058133,0.06071,0.060346,221
21,1,34,1,0.034397,0.040431,0.037953,0.035694,0.04345,0.037932,221
21,1,35,1,0.040583,0.039792,0.04408,0.025563,0.036623,0.028009,221
21,1,36,1,0.02264,0.035026,0.024901,0.02643,0.036259,0.028875,221
21,1,37,1,0.019903,0.030309,0.02185,0.026295,0.029805,0.028011,221
21,1,38,1,0.021435,0.031106,0.023468,0.022155,0.031508,0.023906,221
21,1,39,1,0.022998,0.031742,0.0251,0.023489,0.031922,0.025421,221
21,1,40,1,0.027388,0.03549,0.032279,0.026251,0.032142,0.028084,221
21,1,0,1.415,0.045422,0.056974,0.047604,0.03458,0.042521,0.036666,121
21,1,1,1.415,0.041035,0.04581,0.043241,0.042174,0.04682,0.044549,121
21,1,2,1.415,0.055231,0.052753,0.057824,0.084773,0.057056,0.088079,121
21,1,3,1.415,0.047914,0.05249,0.050501,0.052429,0.050382,0.05515,121
21,1,4,1.415,0.037161,0.049785,0.039407,0.033224,0.040957,0.035475,121
21,1,5,1.415,0.08182,0.055131,0.093208,0.054028,0.052417,0.058165,121
21,1,6,1.415,0.036809,0.042464,0.039098,0.026562,0.035021,0.028654,121
21,1,7,1.415,0.043201,0.046928,0.045697,0.043631,0.043733,0.045675,121
21,1,8,1.415,0.084609,0.061907,0.095554,0.050702,0.045796,0.052801,121
21,1,9,1.415,0.033865,0.044681,0.036294,0.040347,0.045977,0.042739,121
21,1,10,1.415,0.036053,0.05263,0.038318,0.036822,0.039768,0.03898,121
21,1,11,1.415,0.05785,0.049952,0.062033,0.055998,0.048724,0.060379,121
21,1,12,1.415,0.035635,0.044608,0.038683,0.036507,0.042705,0.038978,121
21,1,13,1.415,0.102016,0.098212,0.107248,0.04871,0.045978,0.05366,121
21,1,14,1.415,0.052428,0.070809,0.054889,0.106293,0.057895,0.112011,121
21,1,15,1.415,0.035209,0.044043,0.037416,0.035441,0.043656,0.037658,121
21,1,16,1.415,0.055046,0.054374,0.05883,0.051052,0.046709,0.054948,121
21,1,17,1.415,0.028783,0.039911,0.031065,0.030763,0.041708,0.033246,121
21,1,18,1.415,0.032381,0.047975,0.034627,0.033992,0.04145,0.036293,121
21,1,19,1.415,0.090834,0.053981,0.098394,0.032446,0.040081,0.035698,121
21,1,20,1.415,0.043565,0.052684,0.045807,0.033898,0.043704,0.036096,121
21,1,21,1.415,0.046098,0.052276,0.048811,0.072837,0.072879,0.075923,121
21,1,22,1.415,0.032894,0.042737,0.035293,0.041568,0.050566,0.043615,121
21,1,23,1.415,0.056299,0.052944,0.059756,0.044624,0.049569,0.047463,121
21,1,24,1.415,0.052691,0.050875,0.060055,0.034607,0.040892,0.037848,121
21,1,25,1.415,0.047701,0.047607,0.050012,0.039638,0.039391,0.041703,121
21,1,26,1.415,0.03078,0.041896,0.032927,0.047106,0.049265,0.049364,121
21,1,27,1.415,0.038121,0.041929,0.040767,0.038297,0.043899,0.042065,121
21,1,28,1.415,0.038749,0.047658,0.040983,0.031555,0.041117,0.03368,121
21,1,29,1.415,0.035315,0.043011,0.037668,0.050072,0.047007,0.05333,121
21,1,30,1.415,0.045841,0.052195,0.048342,0.041963,0.050501,0.044258,121
21,1,31,1.415,0.094598,0.063748,0.097531,0.065295,0.045042,0.067348,121
21,1,32,1.415,0.056776,0.052347,0.059901,0.037667,0.045842,0.04004,121
21,1,33,1.415,0.036372,0.042047,0.038607,0.030621,0.041111,0.0328,121
21,1,34,1.415,0.032884,0.042979,0.03546,0.031065,0.042004,0.033362,121
21,1,35,1.415,0.05367,0.048202,0.05667,0.050182,0.048604,0.055645,121
21,1,36,1.415,0.047404,0.055637,0.049556,0.037509,0.045578,0.039755,121
21,1,37,1.415,0.035101,0.045577,0.037501,0.03753,0.039477,0.03956,121
21,1,38,1.415,0.032199,0.043657,0.034412,0.038724,0.046441,0.040925,121
21,1,39,1.415,0.041827,0.046033,0.044734,0.065464,0.04594,0.067564,121
21,1,40,1.415,0.038959,0.044761,0.041454,0.040297,0.045052,0.04276,121
21,1,0,2,27.423802,162.64091,27.426581,25.244578,157.622913,25.247074,89
21,1,1,2,26.309555,163.961558,26.312519,24.901967,159.086036,24.904289,89
21,1,2,2,25.893218,163.773462,25.896,23.421933,157.539721,23.424511,89
21,1,3,2,25.125436,162.065723,25.131287,25.47489,160.389955,25.477318,89
