L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,6.0,0,23996522.0,43237.0,16,8.44
21,353,0.8,6.0,1,11259596.0,9242.0,16,7.51
21,353,0.8,6.0,2,15062996.0,21342.0,16,7.52
21,353,0.8,6.0,3,22973314.0,32286.0,16,7.94
21,353,0.8,6.0,4,36505491.0,56564.0,16,8.27
21,353,0.8,6.0,5,22814504.0,32930.0,16,7.55
21,353,0.8,6.0,6,5112528.0,986.0,16,7.49
21,353,0.8,6.0,7,11301445.0,7555.0,16,7.83
21,353,0.8,6.0,8,17495531.0,30111.0,16,8.11
21,353,0.8,6.0,9,38573058.0,55202.0,16,8.13
21,353,0.8,6.0,10,13721851.0,14700.0,16,9.3
21,353,0.8,6.0,11,25351991.0,53834.0,16,7.23
21,353,0.8,6.0,12,15234093.0,26825.0,16,8.24
21,353,0.8,6.0,13,16080050.0,12958.0,16,6.7
21,353,0.8,6.0,14,13437728.0,13165.0,16,7.38
21,353,0.8,6.0,15,27816678.0,57749.0,16,8.59
21,353,0.8,6.0,16,31467284.0,38944.0,16,8.01
21,353,0.8,6.0,17,52536918.0,70232.0,16,7.96
21,353,0.8,6.0,18,3179591.0,2070.0,16,7.93
21,353,0.8,6.0,19,42421585.0,56362.0,16,9.17
21,353,0.8,6.0,20,26060356.0,51779.0,16,7.39
21,353,0.8,6.0,21,12597005.0,14672.0,16,7.78
21,353,0.8,6.0,22,58031485.0,96206.0,16,7.47
21,353,0.8,6.0,23,17111538.0,18812.0,16,7.74
21,353,0.8,6.0,24,19446923.0,26787.0,16,7.2
21,353,0.8,6.0,25,34479145.0,77700.0,16,7.49
21,353,0.8,6.0,26,38594633.0,55966.0,16,8.2
21,353,0.8,6.0,27,25557701.0,42627.0,16,7.39
21,353,0.8,6.0,28,50937577.0,105713.0,16,7.79
21,353,0.8,6.0,29,14554249.0,6513.0,16,8.15
21,353,0.8,6.0,30,46654428.0,77380.0,16,7.1
21,353,0.8,6.0,31,11734044.0,13076.0,16,7.49
21,353,0.8,6.0,32,27295846.0,31580.0,16,6.99
21,353,0.8,6.0,33,42437199.0,145082.0,16,7.86
21,353,0.8,6.0,34,14822825.0,14357.0,16,7.92
21,353,0.8,6.0,35,23900596.0,36243.0,16,7.53
21,353,0.8,6.0,36,19901211.0,24033.0,16,8.2
21,353,0.8,6.0,37,53739684.0,89371.0,16,8.0
21,353,0.8,6.0,38,22140743.0,21432.0,16,7.29
21,353,0.8,6.0,39,33277059.0,69271.0,16,8.13
21,353,0.8,6.0,40,9128153.0,5413.0,16,8.1
21,353,0.8,6.0,41,23512899.0,26083.0,16,8.01
21,353,0.8,6.0,42,19660266.0,18323.0,16,7.88
21,353,0.8,6.0,43,14658221.0,25294.0,16,7.93
21,353,0.8,6.0,44,41200422.0,73616.0,16,7.88
21,353,0.8,6.0,45,10829331.0,5123.0,16,8.01
21,353,0.8,6.0,46,9727595.0,11168.0,16,7.28
21,353,0.8,6.0,47,8720313.0,4005.0,16,7.5
21,353,0.8,6.0,48,33026791.0,19777.0,16,7.57
21,353,0.8,6.0,49,16086988.0,15474.0,16,7.49
21,353,0.8,6.0,50,23614302.0,26345.0,16,7.71
21,353,0.8,6.0,51,15057666.0,12686.0,16,7.87
21,353,0.8,6.0,52,19487923.0,26197.0,16,9.04
21,353,0.8,6.0,53,12036861.0,12439.0,16,7.66
21,353,0.8,6.0,54,5417859.0,2684.0,16,7.74
21,353,0.8,6.0,55,17972479.0,30672.0,16,7.64
21,353,0.8,6.0,56,21557813.0,30763.0,16,7.78
21,353,0.8,6.0,57,38183146.0,82938.0,16,8.02
21,353,0.8,6.0,58,20681939.0,23893.0,16,8.31
21,353,0.8,6.0,59,45754449.0,76358.0,16,8.38
21,353,0.8,6.0,60,8062901.0,12250.0,16,7.71
21,353,0.8,6.0,61,24132677.0,32873.0,16,8.31
21,353,0.8,6.0,62,45714691.0,75399.0,16,8.12
21,353,0.8,6.0,63,24478511.0,16245.0,16,7.55
21,353,0.8,6.0,64,4753833.0,5809.0,16,7.39
21,353,0.8,6.0,65,18418260.0,27009.0,16,7.96
21,353,0.8,6.0,66,40752284.0,44646.0,16,7.95
21,353,0.8,6.0,67,11960131.0,11864.0,16,8.15
21,353,0.8,6.0,68,11586599.0,8588.0,16,8.05
21,353,0.8,6.0,69,20376905.0,38954.0,16,7.66
21,353,0.8,6.0,70,19447589.0,23734.0,16,8.07
21,353,0.8,6.0,71,25805749.0,40361.0,16,7.59
21,353,0.8,6.0,72,4116148.0,4196.0,16,7.33
21,353,0.8,6.0,73,11917052.0,25298.0,16,7.82
21,353,0.8,6.0,74,19503971.0,22989.0,16,7.69
21,353,0.8,6.0,75,26868465.0,41280.0,16,7.78
21,353,0.8,6.0,76,16957148.0,19567.0,16,7.98
21,353,0.8,6.0,77,25858579.0,27907.0,16,7.82
21,353,0.8,6.0,78,5566512.0,2200.0,16,8.85
21,353,0.8,6.0,79,8729399.0,3894.0,16,8.41
21,353,0.8,6.0,80,7517215.0,3903.0,16,6.9
21,353,0.8,6.0,81,9572718.0,12921.0,16,7.6
21,353,0.8,6.0,82,22135896.0,32120.0,16,8.25
21,353,0.8,6.0,83,3880085.0,268.0,16,6.34
21,353,0.8,6.0,84,35198025.0,73966.0,16,7.5
21,353,0.8,6.0,85,12304429.0,8830.0,16,6.85
21,353,0.8,6.0,86,17126753.0,4666.0,16,7.61
21,353,0.8,6.0,87,36963306.0,48579.0,16,7.75
21,353,0.8,6.0,88,5400092.0,4223.0,16,7.56
21,353,0.8,6.0,89,34051123.0,69460.0,16,7.9
21,353,0.8,6.0,90,20488743.0,21342.0,16,7.36
21,353,0.8,6.0,91,7654340.0,16966.0,16,7.95
21,353,0.8,6.0,92,23948455.0,35008.0,16,7.52
21,353,0.8,6.0,93,42383512.0,56994.0,16,7.67
21,353,0.8,6.0,94,16429671.0,34604.0,16,8.44
21,353,0.8,6.0,95,4211168.0,1195.0,16,7.74
21,353,0.8,6.0,96,25706763.0,28194.0,16,8.02
21,353,0.8,6.0,97,63774679.0,150277.0,16,8.82
21,353,0.8,6.0,98,11545247.0,2878.0,16,7.5
21,353,0.8,6.0,99,20931857.0,20122.0,16,7.76
21,353,0.8,6.0,100,49661289.0,73661.0,16,7.62
21,353,0.8,6.0,101,16974406.0,11892.0,16,7.43
21,353,0.8,6.0,102,4194391.0,1165.0,16,6.82
21,353,0.8,6.0,103,10593873.0,16450.0,16,8.13
21,353,0.8,6.0,104,27782755.0,29911.0,16,7.41
21,353,0.8,6.0,105,16172251.0,12256.0,16,8.28
21,353,0.8,6.0,106,21776226.0,24440.0,16,8.04
21,353,0.8,6.0,107,6210017.0,2236.0,16,6.81
21,353,0.8,6.0,108,21396062.0,42836.0,16,7.69
