L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,4.0,0,1155168.0,1350.0,31,31.44
21,353,0.8,4.0,1,6441.0,14.0,32,28.37
21,353,0.8,4.0,2,22585.0,44.0,32,30.27
21,353,0.8,4.0,3,3435079.0,718.0,30,30.43
21,353,0.8,4.0,4,459769.0,857.0,31,27.52
21,353,0.8,4.0,5,14039635.0,10640.0,30,29.41
21,353,0.8,4.0,6,276723.0,265.0,31,28.44
21,353,0.8,4.0,7,159510.0,304.0,31,31.62
21,353,0.8,4.0,8,13555.0,28.0,32,31.9
21,353,0.8,4.0,9,2089751.0,2821.0,31,30.99
21,353,0.8,4.0,10,1851908.0,607.0,31,33.49
21,353,0.8,4.0,11,117421.0,16.0,31,27.4
21,353,0.8,4.0,12,1390623.0,2919.0,31,31.71
21,353,0.8,4.0,13,83474.0,2.0,31,30.03
21,353,0.8,4.0,14,18969.0,53.0,32,27.21
21,353,0.8,4.0,15,874983.0,112.0,31,33.35
21,353,0.8,4.0,16,6482.0,9.0,32,29.76
21,353,0.8,4.0,17,3255797.0,757.0,31,30.58
21,353,0.8,4.0,18,610381.0,2178.0,31,30.82
21,353,0.8,4.0,19,532522.0,226.0,31,33.9
21,353,0.8,4.0,20,3199775.0,3785.0,31,34.92
21,353,0.8,4.0,21,242159.0,56.0,31,29.85
21,353,0.8,4.0,22,62293492.0,41871.0,30,24.95
21,353,0.8,4.0,23,316428.0,121.0,31,28.36
21,353,0.8,4.0,24,5681.0,13.0,32,28.62
21,353,0.8,4.0,25,875535.0,1230.0,31,28.31
21,353,0.8,4.0,26,1021064.0,2346.0,31,26.36
21,353,0.8,4.0,27,419167.0,248.0,31,27.72
21,353,0.8,4.0,28,30394.0,78.0,32,31.12
21,353,0.8,4.0,29,929469.0,1113.0,31,33.55
21,353,0.8,4.0,30,1183719.0,2892.0,31,27.05
21,353,0.8,4.0,31,3098.0,4.0,32,27.3
21,353,0.8,4.0,32,12690.0,24.0,32,26.79
21,353,0.8,4.0,33,2932092.0,7293.0,31,29.81
21,353,0.8,4.0,34,76695162.0,125985.0,30,30.1
21,353,0.8,4.0,35,6361.0,12.0,32,29.61
21,353,0.8,4.0,36,16308.0,1.0,32,32.34
21,353,0.8,4.0,37,31903.0,92.0,32,27.86
21,353,0.8,4.0,38,10423.0,11.0,32,28.2
21,353,0.8,4.0,39,777498.0,1043.0,31,29.44
21,353,0.8,4.0,40,162100.0,107.0,31,29.56
21,353,0.8,4.0,41,246848.0,7.0,31,31.15
21,353,0.8,4.0,42,702220.0,201.0,31,29.62
21,353,0.8,4.0,43,9385.0,10.0,31,29.05
21,353,0.8,4.0,44,3947439.0,11547.0,31,29.49
21,353,0.8,4.0,45,34483.0,123.0,32,29.29
21,353,0.8,4.0,46,3364967.0,5488.0,31,28.25
21,353,0.8,4.0,47,533615.0,426.0,31,27.56
21,353,0.8,4.0,48,591.0,2.0,33,28.31
21,353,0.8,4.0,49,423099.0,752.0,31,25.55
21,353,0.8,4.0,50,338591.0,280.0,31,32.45
21,353,0.8,4.0,51,3288379.0,10336.0,31,30.06
21,353,0.8,4.0,52,222679.0,96.0,31,34.72
21,353,0.8,4.0,53,1718894.0,4743.0,31,27.33
21,353,0.8,4.0,54,330288.0,260.0,31,31.29
21,353,0.8,4.0,55,131445538.0,174072.0,30,27.98
21,353,0.8,4.0,56,2005893.0,1778.0,31,28.47
21,353,0.8,4.0,57,5755.0,4.0,32,33.21
21,353,0.8,4.0,58,4848285.0,14093.0,31,31.51
21,353,0.8,4.0,59,1581414.0,4593.0,31,30.01
