L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,2.237,0,1990504.0,976.0,58,11.19
21,353,0.8,2.237,1,1108300.0,524.0,57,10.77
21,353,0.8,2.237,2,75618781.0,104797.0,57,10.95
21,353,0.8,2.237,3,199030.0,48.0,58,11.06
21,353,0.8,2.237,4,7400663.0,2976.0,57,10.41
21,353,0.8,2.237,5,107649758.0,165479.0,57,11.75
21,353,0.8,2.237,6,358065.0,114.0,58,11.22
21,353,0.8,2.237,7,190488255.0,104818.0,56,12.47
21,353,0.8,2.237,8,13136647.0,2428.0,57,11.48
21,353,0.8,2.237,9,20515599.0,6044.0,57,11.91
21,353,0.8,2.237,10,23840479.0,12782.0,57,12.44
21,353,0.8,2.237,11,106052315.0,86471.0,57,11.09
21,353,0.8,2.237,12,693405.0,332.0,58,11.65
21,353,0.8,2.237,13,667658888.0,507784.0,57,11.16
21,353,0.8,2.237,14,383597095.0,215492.0,57,10.91
21,353,0.8,2.237,15,1248478727.0,441268.0,56,12.71
21,353,0.8,2.237,16,11330985.0,939.0,57,10.82
21,353,0.8,2.237,17,357053.0,96.0,58,11.05
21,353,0.8,2.237,18,6040098.0,314.0,57,11.62
21,353,0.8,2.237,19,58010132.0,20130.0,57,11.65
21,353,0.8,2.237,20,15614863540.0,12065926.0,56,11.9
21,353,0.8,2.237,21,5474893.0,6270.0,57,10.79
21,353,0.8,2.237,22,381341903.0,210510.0,57,10.52
21,353,0.8,2.237,23,221747404.0,430852.0,57,10.88
21,353,0.8,2.237,24,61017686.0,10886.0,57,11.29
21,353,0.8,2.237,25,195834163.0,172852.0,57,10.83
21,353,0.8,2.237,26,32199167.0,324.0,57,10.25
21,353,0.8,2.237,27,901442476.0,392643.0,56,11.12
21,353,0.8,2.237,28,1164615.0,256.0,57,11.69
21,353,0.8,2.237,29,7046914.0,3510.0,57,11.66
21,353,0.8,2.237,30,1611236.0,304.0,57,11.09
21,353,0.8,2.237,31,1702797614.0,631145.0,56,10.7
21,353,0.8,2.237,32,34884092.0,7544.0,57,10.84
21,353,0.8,2.237,33,2663890.0,715.0,57,11.43
21,353,0.8,2.237,34,5335032.0,334.0,57,11.34
21,353,0.8,2.237,35,19374550.0,5400.0,57,10.87
21,353,0.8,2.237,36,155252001.0,65531.0,57,11.65
21,353,0.8,2.237,37,23678434.0,5616.0,58,10.8
21,353,0.8,2.237,38,288903404.0,92977.0,57,10.06
21,353,0.8,2.237,39,4097693.0,3085.0,57,11.63
21,353,0.8,2.237,40,23052073.0,10922.0,57,11.78
21,353,0.8,2.237,41,61966362.0,12659.0,57,11.27
21,353,0.8,2.237,42,17263136.0,4979.0,57,11.2
21,353,0.8,2.237,43,718730.0,392.0,58,11.06
21,353,0.8,2.237,44,11839918.0,608.0,57,11.66
21,353,0.8,2.237,45,175722561.0,198138.0,57,11.34
21,353,0.8,2.237,46,72303458.0,20861.0,56,10.61
21,353,0.8,2.237,47,7430728.0,1029.0,57,10.55
21,353,0.8,2.237,48,14362645.0,496.0,57,11.82
21,353,0.8,2.237,49,2351869.0,1424.0,57,10.31
21,353,0.8,2.237,50,1986090.0,1432.0,58,11.32
21,353,0.8,2.237,51,13372451.0,1588.0,57,11.17
21,353,0.8,2.237,52,217178623.0,205556.0,57,13.98
21,353,0.8,2.237,53,2674227.0,224.0,57,10.78
21,353,0.8,2.237,54,683203.0,335.0,58,11.46
21,353,0.8,2.237,55,161036494.0,102266.0,57,10.27
21,353,0.8,2.237,56,2092320.0,128.0,57,11.98
21,353,0.8,2.237,57,38062705.0,14984.0,57,11.11
21,353,0.8,2.237,58,294622141.0,44124.0,56,12.34
21,353,0.8,2.237,59,99078068.0,50784.0,57,11.69
21,353,0.8,2.237,60,22004645.0,11393.0,57,12.04
21,353,0.8,2.237,61,18661111.0,416.0,57,12.43
21,353,0.8,2.237,62,69701386.0,3950.0,57,11.03
21,353,0.8,2.237,63,88152717.0,24461.0,57,10.5
21,353,0.8,2.237,64,1683160341.0,1106578.0,56,11.87
21,353,0.8,2.237,65,10322656.0,1274.0,57,12.62
21,353,0.8,2.237,66,137366305.0,20726.0,57,10.87
21,353,0.8,2.237,67,224955147.0,154560.0,57,10.9
21,353,0.8,2.237,68,8332597.0,1008.0,57,12.48
21,353,0.8,2.237,69,1374074545.0,1082411.0,56,12.17
21,353,0.8,2.237,70,72441.0,8.0,58,12.43
21,353,0.8,2.237,71,15316007.0,924.0,57,11.73
21,353,0.8,2.237,72,723585.0,16.0,57,11.02
21,353,0.8,2.237,73,7021516.0,2587.0,57,11.44
21,353,0.8,2.237,74,59376108.0,37301.0,57,11.47
21,353,0.8,2.237,75,20222777.0,15824.0,57,11.24
21,353,0.8,2.237,76,46770541.0,8853.0,57,11.96
21,353,0.8,2.237,77,41205698.0,34186.0,57,12.06
21,353,0.8,2.237,78,17663084.0,1140.0,57,12.64
21,353,0.8,2.237,79,2061750.0,948.0,57,11.69
21,353,0.8,2.237,80,10142205.0,490.0,57,11.45
21,353,0.8,2.237,81,3782179341.0,6969197.0,56,12.11
21,353,0.8,2.237,82,20274546.0,2766.0,57,11.37
21,353,0.8,2.237,83,57021179.0,6712.0,56,12.62
21,353,0.8,2.237,84,2633383.0,592.0,58,11.64
21,353,0.8,2.237,85,1625959.0,256.0,57,10.75
21,353,0.8,2.237,86,1593354.0,162.0,57,11.83
21,353,0.8,2.237,87,559261204.0,193746.0,56,11.28
21,353,0.8,2.237,88,1986970.0,640.0,57,10.8
21,353,0.8,2.237,89,97782659.0,92458.0,57,12.25
21,353,0.8,2.237,90,370102156.0,147003.0,57,11.06
21,353,0.8,2.237,91,46917074.0,54859.0,57,11.76
21,353,0.8,2.237,92,34614840.0,29420.0,57,11.48
21,353,0.8,2.237,93,13912837.0,1892.0,57,11.02
21,353,0.8,2.237,94,45913179.0,14792.0,57,11.84
21,353,0.8,2.237,95,10381019.0,2032.0,57,11.7
21,353,0.8,2.237,96,2703430.0,1335.0,58,11.45
21,353,0.8,2.237,97,47355395.0,37830.0,57,11.91
21,353,0.8,2.237,98,3828959.0,264.0,57,11.45
21,353,0.8,2.237,99,808071.0,80.0,58,11.7
21,353,0.8,2.237,100,513831.0,48.0,58,10.43
21,353,0.8,2.237,101,3891975.0,2516.0,57,11.16
21,353,0.8,2.237,102,13445923.0,1032.0,57,10.93
21,353,0.8,2.237,103,8691933.0,6416.0,57,11.86
21,353,0.8,2.237,104,3344280830.0,864307.0,56,12.37
21,353,0.8,2.237,105,317438534.0,187971.0,57,11.51
21,353,0.8,2.237,106,10571654.0,7454.0,57,10.72
21,353,0.8,2.237,107,3352692.0,380.0,58,10.58
21,353,0.8,2.237,108,4349455342.0,3092285.0,56,10.47
21,353,0.8,2.237,109,78594000.0,81794.0,57,11.32
21,353,0.8,2.237,110,27886207.0,40186.0,57,10.75
21,353,0.8,2.237,111,4187541464.0,4202841.0,56,11.78
21,353,0.8,2.237,112,237842905.0,176483.0,57,12.07
21,353,0.8,2.237,113,6063926.0,1344.0,57,10.6
21,353,0.8,2.237,114,396881.0,8.0,58,10.86
21,353,0.8,2.237,115,13290060.0,1170.0,57,10.68
21,353,0.8,2.237,116,35067624.0,13810.0,57,10.95
21,353,0.8,2.237,117,11784372.0,1804.0,57,11.96
21,353,0.8,2.237,118,4786544.0,760.0,57,10.95
21,353,0.8,2.237,119,44906036.0,7168.0,57,11.33
21,353,0.8,2.237,120,24073507.0,8288.0,57,10.97
21,353,0.8,2.237,121,14233810.0,1320.0,57,11.86
21,353,0.8,2.237,122,54498125.0,7972.0,57,11.77
21,353,0.8,2.237,123,264317392.0,135729.0,57,10.79
21,353,0.8,2.237,124,258450149.0,293626.0,57,11.31
21,353,0.8,2.237,125,39541357.0,7134.0,57,11.12
21,353,0.8,2.237,126,79847801.0,47062.0,57,11.12
21,353,0.8,2.237,127,275341263.0,344899.0,57,10.7
21,353,0.8,2.237,128,10212897.0,11820.0,57,10.59
21,353,0.8,2.237,129,1986055597.0,1562700.0,56,11.82
21,353,0.8,2.237,130,1606720696.0,539036.0,56,11.36
21,353,0.8,2.237,131,1217651.0,86.0,57,11.66
21,353,0.8,2.237,132,509642397.0,763530.0,57,10.97
21,353,0.8,2.237,133,261584508.0,56136.0,57,10.93
21,353,0.8,2.237,134,169566138.0,232562.0,57,15.0
21,353,0.8,2.237,135,6401919.0,30.0,57,12.87
21,353,0.8,2.237,136,7363332.0,1826.0,57,11.38
21,353,0.8,2.237,137,1088124.0,204.0,58,12.54
21,353,0.8,2.237,138,323095457.0,235040.0,56,12.87
21,353,0.8,2.237,139,2973671907.0,2134531.0,56,10.49
21,353,0.8,2.237,140,182716386.0,46426.0,57,11.12
21,353,0.8,2.237,141,3964464790.0,2976692.0,56,11.34
21,353,0.8,2.237,142,41943118.0,10588.0,57,11.28
21,353,0.8,2.237,143,12836904.0,9326.0,58,11.98
21,353,0.8,2.237,144,9754624.0,823.0,57,11.06
21,353,0.8,2.237,145,6380497.0,786.0,57,10.88
21,353,0.8,2.237,146,17603376.0,17840.0,57,10.13
21,353,0.8,2.237,147,11337756.0,5160.0,57,11.03
21,353,0.8,2.237,148,7403140.0,1907.0,57,12.35
21,353,0.8,2.237,149,10534778.0,4644.0,57,12.18
21,353,0.8,2.237,150,5725703.0,6233.0,58,11.2
21,353,0.8,2.237,151,71742850.0,62766.0,57,11.16
21,353,0.8,2.237,152,15209461.0,28542.0,58,11.96
21,353,0.8,2.237,153,219522.0,69.0,57,11.9
21,353,0.8,2.237,154,228118546.0,54440.0,57,11.37
21,353,0.8,2.237,155,187172991.0,120050.0,57,10.76
21,353,0.8,2.237,156,45757055.0,36316.0,57,11.2
21,353,0.8,2.237,157,359976724.0,347784.0,56,12.42
21,353,0.8,2.237,158,105304983.0,96830.0,57,11.09
21,353,0.8,2.237,159,33629863.0,54552.0,57,11.5
21,353,0.8,2.237,160,256362.0,72.0,57,11.89
21,353,0.8,2.237,161,155711025.0,94404.0,57,11.52
21,353,0.8,2.237,162,20134968.0,1961.0,57,12.34
21,353,0.8,2.237,163,10154849.0,577.0,57,10.86
21,353,0.8,2.237,164,3579097.0,208.0,57,10.64
21,353,0.8,2.237,165,755622507.0,227740.0,56,11.82
21,353,0.8,2.237,166,1173532227.0,316689.0,56,11.16
21,353,0.8,2.237,167,559554.0,478.0,58,10.69
21,353,0.8,2.237,168,205371141.0,78560.0,56,11.85
21,353,0.8,2.237,169,456877751.0,537746.0,56,11.6
21,353,0.8,2.237,170,1465422695.0,1103276.0,56,12.54
21,353,0.8,2.237,171,226470091.0,94918.0,57,13.96
21,353,0.8,2.237,172,211597273.0,36580.0,57,12.26
21,353,0.8,2.237,173,859416.0,3.0,57,10.64
21,353,0.8,2.237,174,100250933.0,115453.0,57,11.7
21,353,0.8,2.237,175,14815718.0,3029.0,56,14.0
21,353,0.8,2.237,176,7321355.0,5276.0,57,10.84
21,353,0.8,2.237,177,18662717.0,936.0,57,11.51
21,353,0.8,2.237,178,221248343.0,192296.0,57,11.49
21,353,0.8,2.237,179,1358708824.0,669634.0,56,11.99
21,353,0.8,2.237,180,16828952.0,1050.0,57,12.35
21,353,0.8,2.237,181,939173687.0,440986.0,56,11.07
21,353,0.8,2.237,182,1662225.0,192.0,57,12.36
21,353,0.8,2.237,183,141807253.0,53579.0,57,11.52
21,353,0.8,2.237,184,8713986.0,1332.0,57,12.57
21,353,0.8,2.237,185,45095198.0,12296.0,57,10.84
21,353,0.8,2.237,186,29602266.0,6972.0,57,10.55
21,353,0.8,2.237,187,51160.0,48.0,58,11.65
21,353,0.8,2.237,188,15838335.0,6714.0,58,10.53
21,353,0.8,2.237,189,296645877.0,84062.0,57,11.62
21,353,0.8,2.237,190,2522717.0,456.0,57,11.27
21,353,0.8,2.237,191,25318552.0,18390.0,57,11.13
21,353,0.8,2.237,192,35612220.0,38898.0,57,12.06
21,353,0.8,2.237,193,7574294.0,6740.0,57,12.76
21,353,0.8,2.237,194,2374787659.0,1225876.0,56,12.9
21,353,0.8,2.237,195,2942221.0,104.0,57,11.78
21,353,0.8,2.237,196,880322.0,12.0,58,12.98
21,353,0.8,2.237,197,27151755.0,8532.0,57,11.73
21,353,0.8,2.237,198,1061363.0,228.0,57,12.38
21,353,0.8,2.237,199,1258922256.0,871324.0,56,11.43
21,353,0.8,2.237,200,8772775.0,11604.0,58,11.44
21,353,0.8,2.237,201,599148968.0,743045.0,57,11.29
21,353,0.8,2.237,202,402794.0,186.0,57,11.9
21,353,0.8,2.237,203,57383825.0,3656.0,56,11.64
21,353,0.8,2.237,204,464275.0,376.0,58,13.24
21,353,0.8,2.237,205,634109656.0,627787.0,57,13.42
21,353,0.8,2.237,206,55792514.0,6126.0,57,10.12
21,353,0.8,2.237,207,5673695.0,1472.0,57,10.91
21,353,0.8,2.237,208,3033842.0,1564.0,58,12.43
21,353,0.8,2.237,209,2871549.0,192.0,57,11.24
21,353,0.8,2.237,210,245757597.0,99727.0,57,10.92
21,353,0.8,2.237,211,241359992.0,160499.0,57,11.59
21,353,0.8,2.237,212,2021889185.0,1430803.0,56,11.18
21,353,0.8,2.237,213,132011524.0,40320.0,56,12.1
21,353,0.8,2.237,214,6490730.0,2303.0,57,11.33
