L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,5.831,0,5731315437.0,59338028.0,16,3.98
21,353,0.8,5.831,1,3803452885.0,33643029.0,16,3.94
21,353,0.8,5.831,2,5413385632.0,67148190.0,16,3.95
21,353,0.8,5.831,3,8784214094.0,118737846.0,16,3.86
21,353,0.8,5.831,4,10450116995.0,136319442.0,16,3.79
21,353,0.8,5.831,5,5347226897.0,61868800.0,16,3.67
21,353,0.8,5.831,6,2814635585.0,20930431.0,16,3.71
21,353,0.8,5.831,7,1632329877.0,10977075.0,16,3.82
21,353,0.8,5.831,8,4517253834.0,51569585.0,16,3.95
21,353,0.8,5.831,9,12817743209.0,168269535.0,16,3.72
21,353,0.8,5.831,10,3646927723.0,34580242.0,16,4.43
21,353,0.8,5.831,11,6034228319.0,69521711.0,16,3.55
21,353,0.8,5.831,12,3161630916.0,33088998.0,16,4.78
21,353,0.8,5.831,13,3108871044.0,26774645.0,16,3.73
21,353,0.8,5.831,14,2660601707.0,22583590.0,16,3.74
21,353,0.8,5.831,15,7386231051.0,98039325.0,16,4.21
21,353,0.8,5.831,16,8120682077.0,98439267.0,16,4.01
21,353,0.8,5.831,17,12305736003.0,159638119.0,16,3.9
21,353,0.8,5.831,18,1443159313.0,12117447.0,16,3.9
21,353,0.8,5.831,19,11175412952.0,148081775.0,16,4.27
21,353,0.8,5.831,20,7693804831.0,103102117.0,16,3.6
21,353,0.8,5.831,21,3059134137.0,19812191.0,16,3.76
21,353,0.8,5.831,22,20201304210.0,329554057.0,16,3.58
21,353,0.8,5.831,23,5065857439.0,33905549.0,16,3.76
21,353,0.8,5.831,24,3052303465.0,25415549.0,16,3.78
21,353,0.8,5.831,25,9703932414.0,123792457.0,16,3.85
21,353,0.8,5.831,26,9516481736.0,126580284.0,16,3.72
21,353,0.8,5.831,27,4158881423.0,40656487.0,16,3.75
21,353,0.8,5.831,28,14159675768.0,203334142.0,16,3.87
21,353,0.8,5.831,29,3440922174.0,21688104.0,16,4.2
21,353,0.8,5.831,30,16874447531.0,318124931.0,16,3.56
21,353,0.8,5.831,31,2659140971.0,18433589.0,16,3.64
21,353,0.8,5.831,32,11084185992.0,154602925.0,16,3.33
21,353,0.8,5.831,33,9126483100.0,130745515.0,16,3.75
21,353,0.8,5.831,34,1606714783.0,8394949.0,16,4.04
21,353,0.8,5.831,35,5182006625.0,57546094.0,16,3.57
21,353,0.8,5.831,36,3753095933.0,40123007.0,16,3.94
21,353,0.8,5.831,37,17282515225.0,264813989.0,16,3.75
21,353,0.8,5.831,38,6072718083.0,61337409.0,16,3.82
21,353,0.8,5.831,39,7646822113.0,97828860.0,16,3.83
21,353,0.8,5.831,40,3740583495.0,27878703.0,16,4.21
21,353,0.8,5.831,41,4753526600.0,36806592.0,16,4.06
21,353,0.8,5.831,42,3823794862.0,28601264.0,16,3.97
21,353,0.8,5.831,43,4989301612.0,50175650.0,16,3.78
21,353,0.8,5.831,44,13604348001.0,219218478.0,16,3.87
21,353,0.8,5.831,45,1221556399.0,5264167.0,16,3.65
21,353,0.8,5.831,46,1733832725.0,9466153.0,16,3.71
21,353,0.8,5.831,47,2627146611.0,24851349.0,16,3.87
21,353,0.8,5.831,48,15862903482.0,233720880.0,16,3.8
21,353,0.8,5.831,49,7356708543.0,82575733.0,16,3.45
21,353,0.8,5.831,50,8624872730.0,107968758.0,16,3.81
21,353,0.8,5.831,51,5332436626.0,56836905.0,16,3.9
21,353,0.8,5.831,52,6064885115.0,72522394.0,16,4.52
21,353,0.8,5.831,53,3335980187.0,33259624.0,16,3.67
21,353,0.8,5.831,54,1732402427.0,11971226.0,16,3.99
21,353,0.8,5.831,55,4658998134.0,50669344.0,16,3.64
21,353,0.8,5.831,56,4698975822.0,50131702.0,16,3.84
21,353,0.8,5.831,57,15896951709.0,235965527.0,16,3.93
21,353,0.8,5.831,58,4694579540.0,47720995.0,16,4.3
21,353,0.8,5.831,59,7621872302.0,67503365.0,16,4.29
21,353,0.8,5.831,60,1945094218.0,15461712.0,16,3.76
21,353,0.8,5.831,61,8490122521.0,114621493.0,16,3.85
21,353,0.8,5.831,62,10228547380.0,124693942.0,16,3.94
21,353,0.8,5.831,63,4928238295.0,36048702.0,16,3.62
21,353,0.8,5.831,64,2302018337.0,22409348.0,16,3.6
21,353,0.8,5.831,65,2571687051.0,18098757.0,16,3.86
21,353,0.8,5.831,66,8972994952.0,85259506.0,16,3.7
