L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,4.243,0,172697180.0,199768.0,25,19.03
21,353,0.8,4.243,1,86544467.0,27866.0,25,18.13
21,353,0.8,4.243,2,104419760.0,45568.0,25,17.33
21,353,0.8,4.243,3,167379480.0,125604.0,25,17.76
21,353,0.8,4.243,4,113002939.0,44608.0,25,17.17
21,353,0.8,4.243,5,39679385.0,18512.0,25,16.27
21,353,0.8,4.243,6,137555.0,90.0,26,10.8
21,353,0.8,4.243,7,17115917.0,7724.0,25,11.27
21,353,0.8,4.243,8,82828370.0,37431.0,25,11.87
21,353,0.8,4.243,9,362467.0,10.0,26,11.18
21,353,0.8,4.243,10,45394152.0,26242.0,25,18.42
21,353,0.8,4.243,11,235354763.0,99218.0,25,16.08
21,353,0.8,4.243,12,1551.0,3.0,27,19.28
21,353,0.8,4.243,13,113572238.0,61850.0,25,17.28
21,353,0.8,4.243,14,612190.0,125.0,26,16.04
21,353,0.8,4.243,15,67602817.0,19209.0,25,20.3
21,353,0.8,4.243,16,1606108.0,907.0,26,18.11
21,353,0.8,4.243,17,593965.0,81.0,26,14.03
21,353,0.8,4.243,18,17563452.0,4335.0,25,11.71
21,353,0.8,4.243,19,290001.0,328.0,26,12.25
21,353,0.8,4.243,20,162800700.0,194291.0,25,10.55
21,353,0.8,4.243,21,86943104.0,39848.0,25,10.97
21,353,0.8,4.243,22,578747.0,142.0,26,9.86
21,353,0.8,4.243,23,181914.0,81.0,26,11.07
21,353,0.8,4.243,24,154511.0,35.0,26,10.94
21,353,0.8,4.243,25,163417.0,76.0,26,10.36
21,353,0.8,4.243,26,283003934.0,104617.0,25,9.87
21,353,0.8,4.243,27,142000.0,12.0,26,10.95
21,353,0.8,4.243,28,8603.0,24.0,27,11.36
21,353,0.8,4.243,29,990700.0,1269.0,26,11.61
21,353,0.8,4.243,30,189466889.0,145386.0,25,10.06
21,353,0.8,4.243,31,117425007.0,58761.0,25,11.0
21,353,0.8,4.243,32,287806.0,218.0,26,10.0
21,353,0.8,4.243,33,122085836.0,31030.0,25,10.91
21,353,0.8,4.243,34,143918.0,27.0,26,11.16
21,353,0.8,4.243,35,577196908.0,421276.0,25,10.82
21,353,0.8,4.243,36,636159.0,364.0,26,12.34
21,353,0.8,4.243,37,3772.0,4.0,27,10.31
21,353,0.8,4.243,38,687199.0,54.0,26,10.94
21,353,0.8,4.243,39,12142682.0,2055.0,25,10.97
21,353,0.8,4.243,40,71424031.0,53509.0,25,11.13
21,353,0.8,4.243,41,4521.0,12.0,27,11.52
21,353,0.8,4.243,42,186198.0,72.0,26,11.25
21,353,0.8,4.243,43,169861.0,120.0,26,10.89
21,353,0.8,4.243,44,1534935.0,3353.0,26,10.88
21,353,0.8,4.243,45,7903.0,10.0,27,10.49
