L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,4.124,0,153564.0,39.0,28,28.13
21,353,0.8,4.124,1,49633436.0,68903.0,27,28.17
21,353,0.8,4.124,2,45823.0,6.0,28,28.06
21,353,0.8,4.124,3,136376.0,319.0,28,25.06
21,353,0.8,4.124,4,409688.0,518.0,28,26.87
21,353,0.8,4.124,5,379490.0,293.0,28,22.48
21,353,0.8,4.124,6,1214492.0,3983.0,28,17.4
21,353,0.8,4.124,7,13479033.0,22731.0,27,24.67
21,353,0.8,4.124,8,79705.0,48.0,28,22.08
21,353,0.8,4.124,9,506223.0,797.0,28,25.63
21,353,0.8,4.124,10,41287298.0,25123.0,27,23.99
21,353,0.8,4.124,11,108565362.0,68989.0,27,16.37
21,353,0.8,4.124,12,67374124.0,118058.0,27,27.69
21,353,0.8,4.124,13,90677.0,36.0,28,27.65
21,353,0.8,4.124,14,93709922.0,80702.0,27,24.11
21,353,0.8,4.124,15,162384.0,9.0,28,30.74
21,353,0.8,4.124,16,172598.0,50.0,28,23.27
21,353,0.8,4.124,17,180810306.0,114545.0,27,28.57
21,353,0.8,4.124,18,39540.0,84.0,28,18.4
21,353,0.8,4.124,19,452184.0,197.0,28,29.1
21,353,0.8,4.124,20,836625.0,2483.0,28,26.97
21,353,0.8,4.124,21,102241.0,152.0,28,23.5
21,353,0.8,4.124,22,530852.0,173.0,28,20.13
21,353,0.8,4.124,23,121104319.0,211722.0,27,24.74
21,353,0.8,4.124,24,49387.0,2.0,28,24.38
21,353,0.8,4.124,25,828105.0,1940.0,28,26.2
21,353,0.8,4.124,26,860978.0,775.0,28,22.75
21,353,0.8,4.124,27,101140.0,22.0,28,22.23
21,353,0.8,4.124,28,145513247.0,143551.0,27,30.32
21,353,0.8,4.124,29,669970.0,1175.0,28,30.49
21,353,0.8,4.124,30,213133.0,16.0,28,19.89
21,353,0.8,4.124,31,32939765.0,21557.0,27,22.61
21,353,0.8,4.124,32,133686.0,42.0,28,20.94
21,353,0.8,4.124,33,21947749.0,26320.0,27,21.99
21,353,0.8,4.124,34,58517859.0,119521.0,27,21.39
21,353,0.8,4.124,35,180720.0,176.0,28,22.13
21,353,0.8,4.124,36,55222505.0,67380.0,27,24.52
