L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,5.657,0,135867190.0,18854.0,17,5.07
21,353,0.8,5.657,1,65774138.0,3146.0,17,4.7
21,353,0.8,5.657,2,42089.0,44.0,18,4.79
21,353,0.8,5.657,3,255523395.0,37542.0,17,4.87
21,353,0.8,5.657,4,25640.0,4.0,18,5.0
21,353,0.8,5.657,5,110810.0,379.0,18,4.65
21,353,0.8,5.657,6,11183.0,12.0,18,4.46
21,353,0.8,5.657,7,23718816.0,7897.0,17,5.14
21,353,0.8,5.657,8,93896370.0,1945.0,17,5.19
21,353,0.8,5.657,9,142535.0,135.0,18,4.68
21,353,0.8,5.657,10,77343047.0,4542.0,17,5.6
21,353,0.8,5.657,11,69711.0,166.0,18,4.72
21,353,0.8,5.657,12,64268161.0,7924.0,17,5.11
21,353,0.8,5.657,13,42209.0,170.0,18,4.31
21,353,0.8,5.657,14,18945.0,8.0,18,4.5
21,353,0.8,5.657,15,103765.0,399.0,18,5.53
21,353,0.8,5.657,16,108808.0,148.0,18,5.01
21,353,0.8,5.657,17,426179.0,1358.0,18,4.92
21,353,0.8,5.657,18,19850545.0,269.0,17,4.94
21,353,0.8,5.657,19,168866.0,52.0,18,5.46
21,353,0.8,5.657,20,23186.0,40.0,18,4.77
21,353,0.8,5.657,21,50453672.0,7070.0,17,4.77
21,353,0.8,5.657,22,187515.0,201.0,18,4.33
21,353,0.8,5.657,23,70841654.0,1744.0,17,4.64
21,353,0.8,5.657,24,61550270.0,5230.0,17,4.61
21,353,0.8,5.657,25,212308638.0,11915.0,17,4.85
21,353,0.8,5.657,26,193202466.0,2320.0,17,4.73
21,353,0.8,5.657,27,130265126.0,27342.0,17,4.66
21,353,0.8,5.657,28,406535008.0,84379.0,17,5.01
21,353,0.8,5.657,29,50480197.0,9434.0,17,5.13
21,353,0.8,5.657,30,442761504.0,23380.0,17,4.74
21,353,0.8,5.657,31,43216265.0,3904.0,17,4.61
21,353,0.8,5.657,32,283581055.0,27920.0,17,4.42
21,353,0.8,5.657,33,72266.0,88.0,18,4.76
21,353,0.8,5.657,34,17830153.0,870.0,17,5.06
21,353,0.8,5.657,35,57986.0,18.0,18,4.74
21,353,0.8,5.657,36,84883.0,194.0,18,5.37
21,353,0.8,5.657,37,518474.0,1767.0,18,4.74
21,353,0.8,5.657,38,167574.0,347.0,18,4.58
21,353,0.8,5.657,39,185431977.0,32775.0,17,4.78
21,353,0.8,5.657,40,56333921.0,2581.0,17,5.03
21,353,0.8,5.657,41,123389.0,102.0,18,4.83
21,353,0.8,5.657,42,64837990.0,8153.0,17,5.15
21,353,0.8,5.657,43,26387.0,6.0,18,4.69
21,353,0.8,5.657,44,41007.0,4.0,18,5.1
21,353,0.8,5.657,45,12478.0,2.0,18,4.64
21,353,0.8,5.657,46,28557205.0,14002.0,17,4.47
21,353,0.8,5.657,47,32191.0,63.0,18,4.75
21,353,0.8,5.657,48,125395.0,24.0,18,5.07
21,353,0.8,5.657,49,22597.0,24.0,18,4.57
21,353,0.8,5.657,50,288332.0,752.0,18,4.84
21,353,0.8,5.657,51,15956.0,6.0,18,4.95
21,353,0.8,5.657,52,173557.0,292.0,18,5.7
21,353,0.8,5.657,53,59558676.0,400.0,17,4.65
21,353,0.8,5.657,54,53476815.0,25214.0,17,4.88
21,353,0.8,5.657,55,121450037.0,22350.0,17,4.53
21,353,0.8,5.657,56,193855.0,482.0,18,4.86
21,353,0.8,5.657,57,506594794.0,126886.0,17,4.92
21,353,0.8,5.657,58,91748090.0,7769.0,17,5.22
21,353,0.8,5.657,59,82793.0,468.0,18,5.18
21,353,0.8,5.657,60,41961063.0,18834.0,17,4.81
21,353,0.8,5.657,61,60225.0,146.0,18,4.95
21,353,0.8,5.657,62,91452.0,87.0,18,4.74
21,353,0.8,5.657,63,34784.0,3.0,18,4.78
21,353,0.8,5.657,64,54825384.0,7645.0,17,4.79
21,353,0.8,5.657,65,14048.0,40.0,18,4.87
21,353,0.8,5.657,66,91221.0,184.0,18,4.83
21,353,0.8,5.657,67,41904.0,284.0,18,5.19
21,353,0.8,5.657,68,88017967.0,1095.0,17,4.61
21,353,0.8,5.657,69,105620970.0,27769.0,17,4.9
