L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,3.606,0,1019705.0,792.0,34,9.04
21,353,0.8,3.606,1,59830903.0,55082.0,33,8.81
21,353,0.8,3.606,2,110990030.0,180745.0,33,8.5
21,353,0.8,3.606,3,296777933.0,171569.0,32,8.84
21,353,0.8,3.606,4,6987114.0,7316.0,33,8.53
21,353,0.8,3.606,5,2711456.0,1214.0,33,8.9
21,353,0.8,3.606,6,14492597.0,4065.0,33,8.54
21,353,0.8,3.606,7,131046160.0,86918.0,32,9.73
21,353,0.8,3.606,8,35135570.0,30548.0,33,9.48
21,353,0.8,3.606,9,388852340.0,575392.0,33,9.14
21,353,0.8,3.606,10,167342.0,162.0,34,9.79
21,353,0.8,3.606,11,1030464485.0,383109.0,32,8.58
21,353,0.8,3.606,12,277126.0,30.0,34,9.44
21,353,0.8,3.606,13,4112621.0,1316.0,33,8.74
21,353,0.8,3.606,14,918171.0,24.0,34,8.11
21,353,0.8,3.606,15,66688082.0,40182.0,33,9.44
21,353,0.8,3.606,16,32571780.0,14492.0,33,8.66
21,353,0.8,3.606,17,748330.0,342.0,34,8.75
21,353,0.8,3.606,18,1597288.0,400.0,33,9.11
21,353,0.8,3.606,19,102117905.0,144158.0,33,9.69
21,353,0.8,3.606,20,4776050.0,520.0,33,8.96
21,353,0.8,3.606,21,1528809516.0,1005645.0,32,9.4
21,353,0.8,3.606,22,4386576433.0,5813795.0,32,8.02
21,353,0.8,3.606,23,982298.0,882.0,34,8.53
21,353,0.8,3.606,24,5284655.0,8652.0,34,8.44
21,353,0.8,3.606,25,480580.0,192.0,33,8.11
21,353,0.8,3.606,26,47154309.0,70505.0,33,7.78
21,353,0.8,3.606,27,7260354.0,11184.0,34,8.79
21,353,0.8,3.606,28,2599926.0,564.0,34,9.55
21,353,0.8,3.606,29,106678050.0,134628.0,33,9.67
21,353,0.8,3.606,30,2364208.0,72.0,33,8.62
21,353,0.8,3.606,31,563544395.0,444418.0,32,8.39
