L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,4.473,0,7253037.0,172.0,23,7.25
21,353,0.8,4.473,1,17134523.0,4320.0,23,7.18
21,353,0.8,4.473,2,30704869.0,23380.0,23,6.98
21,353,0.8,4.473,3,75727880.0,27939.0,23,7.46
21,353,0.8,4.473,4,12989444.0,2480.0,23,6.78
21,353,0.8,4.473,5,32908182.0,27022.0,23,7.04
21,353,0.8,4.473,6,23747328.0,4084.0,23,6.71
21,353,0.8,4.473,7,1598567.0,116.0,23,7.27
21,353,0.8,4.473,8,8304180.0,640.0,23,7.13
21,353,0.8,4.473,9,364464.0,124.0,24,7.06
21,353,0.8,4.473,10,3818607.0,10.0,23,8.44
21,353,0.8,4.473,11,145728309.0,153908.0,23,6.51
21,353,0.8,4.473,12,52488035.0,18505.0,23,7.47
21,353,0.8,4.473,13,38457.0,3.0,24,6.7
21,353,0.8,4.473,14,183396280.0,161842.0,23,6.76
21,353,0.8,4.473,15,13720564.0,2172.0,23,7.61
21,353,0.8,4.473,16,2027402.0,1401.0,24,7.02
21,353,0.8,4.473,17,218483.0,50.0,24,7.12
21,353,0.8,4.473,18,974540.0,170.0,23,7.12
21,353,0.8,4.473,19,138977180.0,68050.0,23,7.92
21,353,0.8,4.473,20,22409016.0,4521.0,23,7.09
21,353,0.8,4.473,21,57686762.0,34471.0,23,7.11
21,353,0.8,4.473,22,69185278.0,32303.0,23,6.2
21,353,0.8,4.473,23,19538001.0,5865.0,23,6.75
21,353,0.8,4.473,24,2346166863.0,1194619.0,22,6.79
21,353,0.8,4.473,25,2184653730.0,731895.0,22,6.68
21,353,0.8,4.473,26,45774022.0,18396.0,23,6.49
21,353,0.8,4.473,27,45979056.0,10602.0,23,7.05
21,353,0.8,4.473,28,50122102.0,29015.0,23,7.47
21,353,0.8,4.473,29,55559116.0,16227.0,23,7.93
21,353,0.8,4.473,30,4687634353.0,2659673.0,22,7.02
21,353,0.8,4.473,31,15698613.0,1795.0,23,6.99
21,353,0.8,4.473,32,40848034.0,5314.0,23,6.37
21,353,0.8,4.473,33,35504594.0,14221.0,23,7.35
21,353,0.8,4.473,34,1224124.0,149.0,23,7.14
21,353,0.8,4.473,35,610788.0,387.0,24,6.92
21,353,0.8,4.473,36,48393583.0,22984.0,23,8.09
21,353,0.8,4.473,37,119982964.0,51654.0,23,8.38
21,353,0.8,4.473,38,315940.0,123.0,24,6.94
21,353,0.8,4.473,39,6230702.0,1252.0,23,7.1
21,353,0.8,4.473,40,15800320.0,9922.0,23,9.04
21,353,0.8,4.473,41,354572.0,176.0,24,8.5
21,353,0.8,4.473,42,21310084.0,5923.0,23,7.28
21,353,0.8,4.473,43,2332689885.0,1155546.0,22,6.91
21,353,0.8,4.473,44,19860935.0,5620.0,23,7.37
21,353,0.8,4.473,45,83577493.0,64888.0,23,7.35
21,353,0.8,4.473,46,11358642.0,4247.0,23,6.62
21,353,0.8,4.473,47,70066513.0,27383.0,23,7.04
21,353,0.8,4.473,48,68751248.0,15675.0,23,7.37
21,353,0.8,4.473,49,8457728.0,479.0,23,6.25
21,353,0.8,4.473,50,176314484.0,101542.0,23,7.8
21,353,0.8,4.473,51,1361437.0,832.0,24,7.33
21,353,0.8,4.473,52,449714.0,250.0,24,8.72
21,353,0.8,4.473,53,8700694.0,2234.0,23,7.62
21,353,0.8,4.473,54,102134265.0,69652.0,23,7.63
21,353,0.8,4.473,55,131434263.0,47271.0,23,6.68
21,353,0.8,4.473,56,706373.0,230.0,24,6.71
21,353,0.8,4.473,57,157331367.0,68516.0,23,7.59
21,353,0.8,4.473,58,44079469.0,9356.0,23,7.64
21,353,0.8,4.473,59,20090498.0,7361.0,23,7.37
21,353,0.8,4.473,60,159207.0,122.0,24,7.53
21,353,0.8,4.473,61,15379135.0,3586.0,23,7.14
21,353,0.8,4.473,62,35252179.0,12644.0,23,7.37
21,353,0.8,4.473,63,26806163.0,17435.0,23,6.8
21,353,0.8,4.473,64,3439139.0,15.0,23,9.69
21,353,0.8,4.473,65,136263.0,12.0,24,7.47
21,353,0.8,4.473,66,130023970.0,92843.0,23,7.23
21,353,0.8,4.473,67,32107284.0,11413.0,23,7.26
21,353,0.8,4.473,68,1657596.0,280.0,23,7.0
21,353,0.8,4.473,69,11596750.0,926.0,23,7.15
21,353,0.8,4.473,70,215549.0,98.0,24,7.94
21,353,0.8,4.473,71,7197641.0,138.0,23,7.15
21,353,0.8,4.473,72,1251661.0,12.0,23,6.71
21,353,0.8,4.473,73,22726628.0,6669.0,23,7.6
21,353,0.8,4.473,74,209379.0,9.0,24,7.04
21,353,0.8,4.473,75,13666278.0,3265.0,23,7.16
21,353,0.8,4.473,76,61040704.0,55478.0,23,7.13
21,353,0.8,4.473,77,3800820929.0,1616021.0,22,7.45
21,353,0.8,4.473,78,1076852579.0,625059.0,22,8.3
21,353,0.8,4.473,79,8926825.0,3681.0,23,7.43
21,353,0.8,4.473,80,59224036.0,30055.0,23,6.73
21,353,0.8,4.473,81,10507731.0,173.0,23,7.17
21,353,0.8,4.473,82,845457.0,394.0,24,7.5
21,353,0.8,4.473,83,5096866.0,1112.0,23,6.39
21,353,0.8,4.473,84,42077686.0,5978.0,23,7.05
21,353,0.8,4.473,85,1740955.0,496.0,23,6.9
21,353,0.8,4.473,86,30127561.0,16216.0,23,6.83
21,353,0.8,4.473,87,67851858.0,26474.0,23,7.11
