L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,2.829,0,4.234631755050784e+17,3548239924738666.0,49,11.41
21,353,0.8,2.829,1,1860804026273407.2,9410603533371.0,49,10.7
21,353,0.8,2.829,2,6.068881201711739e+16,319320438582651.0,49,11.33
21,353,0.8,2.829,3,3.39927595307391e+17,2502202023332155.0,49,11.29
21,353,0.8,2.829,4,1.4041914888177672e+17,1149362595370037.0,49,10.18
21,353,0.8,2.829,5,1.8874830568952474e+17,1495684459485570.0,49,11.22
21,353,0.8,2.829,6,1.3578539290928216e+17,966665006203073.0,49,11.38
21,353,0.8,2.829,7,3791818382919305.5,19677942870928.0,49,11.96
21,353,0.8,2.829,8,1.3243226033979446e+17,910479572252337.0,49,11.33
21,353,0.8,2.829,9,1.136563593918652e+18,9289025699796838.0,49,12.36
21,353,0.8,2.829,10,3.941483737678176e+16,229197988950811.0,49,12.58
21,353,0.8,2.829,11,5.16570108024986e+17,4622862454743880.0,49,11.48
21,353,0.8,2.829,12,2.425761870720544e+17,1896624104856243.2,49,12.0
21,353,0.8,2.829,13,5.571584222081772e+17,4610397347013868.0,49,11.37
21,353,0.8,2.829,14,1.5696142129603057e+18,1.497640284660906e+16,49,11.01
21,353,0.8,2.829,15,1.1315544446055262e+17,794334975357640.0,49,12.33
21,353,0.8,2.829,16,7.435069489938724e+17,5503168760149526.0,49,11.48
21,353,0.8,2.829,17,7.77119584024095e+17,6195115041841766.0,49,10.97
21,353,0.8,2.829,18,2.154154502482972e+16,89803361682926.0,49,12.18
21,353,0.8,2.829,19,1.1007043663729935e+18,9347472979380552.0,49,11.87
21,353,0.8,2.829,20,1.8817651858180912e+17,1364170045658522.0,49,12.02
21,353,0.8,2.829,21,3.924705167302927e+16,198535268183268.0,49,11.34
21,353,0.8,2.829,22,5.0470786961024544e+17,573728120158645.0,49,10.56
21,353,0.8,2.829,23,3.0065701077258694e+17,1880264341971322.0,49,11.09
21,353,0.8,2.829,24,1.9021057773993283e+17,1332716485725865.0,49,11.21
21,353,0.8,2.829,25,2.861852139430217e+17,2310859870920519.0,49,10.4
21,353,0.8,2.829,26,2.1813772651396296e+18,1.8044870835663308e+16,49,10.12
21,353,0.8,2.829,27,1.6302701417452272e+16,69886207610918.0,49,10.29
21,353,0.8,2.829,28,1.7014165378096336e+16,56706123205220.0,49,12.15
21,353,0.8,2.829,29,8.68751715324365e+16,566509703803509.0,49,12.52
21,353,0.8,2.829,30,1.9038452116004656e+16,61787468986312.0,49,10.73
21,353,0.8,2.829,31,5.771883628951145e+16,346954012193398.0,49,10.27
21,353,0.8,2.829,32,7.966824429117642e+17,7370787187849773.0,49,10.42
21,353,0.8,2.829,33,4.148416551169601e+16,254287571484867.0,49,11.16
21,353,0.8,2.829,34,6.3090885657203704e+16,303167177002011.0,49,11.39
21,353,0.8,2.829,35,2.5480299040945876e+16,140746729654258.0,49,10.36
21,353,0.8,2.829,36,1.366755623986004e+17,959720481494250.0,49,11.76
21,353,0.8,2.829,37,1.3655547470370122e+18,1.1073133824557992e+16,49,10.87
21,353,0.8,2.829,38,5.417136605407932e+17,4287271459303051.0,49,10.15
21,353,0.8,2.829,39,7091503649382470.0,23334168154811.0,49,12.23
21,353,0.8,2.829,40,1.6298087745657712e+16,45888447492707.0,49,11.25
21,353,0.8,2.829,41,4.390004018147696e+18,3.93229943112576e+16,49,11.49
21,353,0.8,2.829,42,6.845738424202392e+16,470742710398543.0,49,10.57
21,353,0.8,2.829,43,4638985486553007.0,20947958400464.0,49,11.52
21,353,0.8,2.829,44,2.998612391168159e+17,2145676022965458.0,49,11.6
21,353,0.8,2.829,45,2.356821262726293e+16,123299593616685.0,49,11.4
21,353,0.8,2.829,46,2.0653990386811692e+16,130353707554877.0,49,10.89
21,353,0.8,2.829,47,6.185958200929344e+16,388352436084092.0,49,10.81
21,353,0.8,2.829,48,3.0491787505305306e+17,2120965277030632.0,49,11.32
21,353,0.8,2.829,49,1266580040136017.0,4003453402061.0,49,10.43
21,353,0.8,2.829,50,6.209239115508759e+17,4949306471307187.0,49,11.97
21,353,0.8,2.829,51,2.6453308047154163e+17,2004267758469816.8,49,11.42
21,353,0.8,2.829,52,4.500827269764733e+17,3538741870237050.0,49,14.05
21,353,0.8,2.829,53,7.77992696364992e+16,470158752543952.0,49,10.56
21,353,0.8,2.829,54,8.83191119309041e+16,407031445946101.0,49,11.64
21,353,0.8,2.829,55,2.8261755947791808e+17,2068424654071239.2,49,10.24
21,353,0.8,2.829,56,6.99062657082162e+17,5637770371640261.0,49,12.08
21,353,0.8,2.829,57,2.1800778513821645e+18,1.4640132835253242e+16,49,11.48
21,353,0.8,2.829,58,1.4959527966910416e+17,1189859544538281.0,49,12.18
21,353,0.8,2.829,59,4.98796792966932e+16,218882537954955.0,49,11.17
