L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,1.415,0,539707989623720.0,1676963616565.0,108,3.73
21,353,0.8,1.415,1,289454823992.0,753307008.0,109,3.26
21,353,0.8,1.415,2,79382733020828.0,182580955248.0,107,2.94
21,353,0.8,1.415,3,50696010915584.0,66201753600.0,106,3.55
21,353,0.8,1.415,4,1851018016832.0,1100580864.0,107,3.14
21,353,0.8,1.415,5,75056456912.0,143782560.0,109,3.55
21,353,0.8,1.415,6,973704504598.0,2606094776.0,109,3.64
21,353,0.8,1.415,7,827545400664.0,586268208.0,106,3.99
21,353,0.8,1.415,8,190413093759024.0,317971657280.0,104,3.32
21,353,0.8,1.415,9,1.1730882884151464e+16,31598233558848.0,106,3.58
21,353,0.8,1.415,10,269356667294564.0,960748327200.0,107,3.76
21,353,0.8,1.415,11,211078543134840.0,469517790144.0,105,3.28
21,353,0.8,1.415,12,422188160.0,983808.0,113,3.27
21,353,0.8,1.415,13,11419654775616.0,233822160.0,106,3.48
21,353,0.8,1.415,14,513374176558.0,892072320.0,107,3.14
21,353,0.8,1.415,15,3697541070080.0,8615974272.0,107,3.17
21,353,0.8,1.415,16,3135908311999816.0,3939310809408.0,105,3.53
21,353,0.8,1.415,17,3100516858620.0,7470232128.0,108,3.24
21,353,0.8,1.415,18,72419664496.0,142875648.0,109,3.56
21,353,0.8,1.415,19,105264622263952.0,226152637440.0,106,3.7
21,353,0.8,1.415,20,15674945602784.0,1500049152.0,107,3.61
21,353,0.8,1.415,21,3.9041940340542456e+16,104921434580457.0,105,3.23
21,353,0.8,1.415,22,7.878793787686586e+17,1615055821130742.0,105,3.43
21,353,0.8,1.415,23,193524626231312.0,473678009856.0,107,3.96
21,353,0.8,1.415,24,2044894273408.0,5471192064.0,107,3.51
21,353,0.8,1.415,25,87587811360.0,148490496.0,108,2.99
21,353,0.8,1.415,26,476072155684.0,488238296.0,106,3.17
21,353,0.8,1.415,27,46482529836.0,125144784.0,109,3.39
21,353,0.8,1.415,28,121833234590.0,365846349.0,110,3.38
21,353,0.8,1.415,29,1310734322299872.0,3842230487040.0,108,3.8
21,353,0.8,1.415,30,88079021016329.0,245080991708.0,107,3.01
21,353,0.8,1.415,31,4266078089544.0,9969725952.0,107,3.28
21,353,0.8,1.415,32,29179045984220.0,50704746000.0,108,3.4
21,353,0.8,1.415,33,5640890640.0,3832290.0,108,3.55
21,353,0.8,1.415,34,2552346509412744.0,6334038309168.0,107,3.83
21,353,0.8,1.415,35,153271711872.0,348292224.0,109,3.03
21,353,0.8,1.415,36,474491785896.0,390230784.0,109,3.79
21,353,0.8,1.415,37,40993171989632.0,54073585728.0,107,3.51
21,353,0.8,1.415,38,180803116145742.0,159957344520.0,107,3.21
21,353,0.8,1.415,39,1905178200.0,780480.0,108,3.38
21,353,0.8,1.415,40,213605956539.0,352004400.0,108,3.29
21,353,0.8,1.415,41,2056927483972.0,2190559264.0,107,3.47
21,353,0.8,1.415,42,606160531464.0,698845536.0,107,3.12
21,353,0.8,1.415,43,3548681344.0,5717760.0,110,3.46
21,353,0.8,1.415,44,4984594943904.0,13625826816.0,107,3.32
21,353,0.8,1.415,45,5952195744.0,2073600.0,110,3.31
21,353,0.8,1.415,46,161486335344.0,427795776.0,108,2.86
21,353,0.8,1.415,47,729058097323484.0,2223314873100.0,106,3.21
21,353,0.8,1.415,48,2792700925680.0,4566021840.0,108,3.43
21,353,0.8,1.415,49,755730981450.0,1308738816.0,108,3.09
21,353,0.8,1.415,50,351081690544.0,671339520.0,108,3.55
21,353,0.8,1.415,51,2289982686352.0,4353523200.0,107,3.2
21,353,0.8,1.415,52,3532687689796.0,6241255200.0,107,3.76
21,353,0.8,1.415,53,10258285035314.0,16182162696.0,108,3.32
21,353,0.8,1.415,54,2400514476624.0,2724919488.0,108,3.31
21,353,0.8,1.415,55,668484416946.0,1428276762.0,109,2.88
21,353,0.8,1.415,56,342377262328416.0,509487616512.0,106,3.5
21,353,0.8,1.415,57,64437065480022.0,201973248632.0,108,3.08
21,353,0.8,1.415,58,16006627656.0,20901888.0,110,3.42
21,353,0.8,1.415,59,359898572804.0,669140768.0,109,3.93
21,353,0.8,1.415,60,25883735200.0,20102016.0,109,3.24
21,353,0.8,1.415,61,9880422147758576.0,4711941893760.0,104,4.22
21,353,0.8,1.415,62,9230521728.0,8110080.0,107,3.29
21,353,0.8,1.415,63,350860558972.0,284125440.0,108,3.38
21,353,0.8,1.415,64,4672520364352.0,10193972544.0,108,3.64
21,353,0.8,1.415,65,34068519281268.0,85750153272.0,107,3.72
21,353,0.8,1.415,66,4924346129748.0,8162452464.0,108,3.46
21,353,0.8,1.415,67,459781992370.0,76563000.0,107,3.34
21,353,0.8,1.415,68,37961839520.0,66714624.0,107,3.65
21,353,0.8,1.415,69,1012753446783792.0,70453045296.0,104,3.53
21,353,0.8,1.415,70,925590917886.0,1232311320.0,108,3.78
21,353,0.8,1.415,71,11441798345808.0,30089574144.0,108,3.2
21,353,0.8,1.415,72,3675242240.0,398880.0,106,3.07
21,353,0.8,1.415,73,725497820208.0,1455083136.0,109,3.37
21,353,0.8,1.415,74,203595330560.0,485315712.0,108,3.24
21,353,0.8,1.415,75,3566488537856.0,4941786112.0,108,2.96
21,353,0.8,1.415,76,25957832017518.0,31278723080.0,107,4.11
21,353,0.8,1.415,77,736337146288.0,407973888.0,106,3.69
21,353,0.8,1.415,78,2897613042560.0,5410828800.0,107,4.15
21,353,0.8,1.415,79,5425488424.0,165432.0,107,3.46
21,353,0.8,1.415,80,50047792299672.0,124421658560.0,106,3.23
21,353,0.8,1.415,81,18440693468155.0,1845261.0,107,3.73
21,353,0.8,1.415,82,280579306244.0,694097040.0,109,3.4
21,353,0.8,1.415,83,2544040733476.0,2580503904.0,106,4.14
21,353,0.8,1.415,84,1008068179819488.0,3659402699196.0,107,3.56
21,353,0.8,1.415,85,118553713920.0,191759616.0,109,2.92
21,353,0.8,1.415,86,3518637880.0,4671360.0,110,3.57
21,353,0.8,1.415,87,21092816235362.0,3617123408.0,106,3.47
21,353,0.8,1.415,88,9669648874464.0,19622768640.0,107,3.39
21,353,0.8,1.415,89,55016333180.0,125971956.0,109,3.49
21,353,0.8,1.415,90,12421415880.0,25041600.0,110,3.21
21,353,0.8,1.415,91,840104064.0,622080.0,110,3.28
21,353,0.8,1.415,92,479634907668.0,1321604352.0,108,3.14
21,353,0.8,1.415,93,50707226628418.0,109023794776.0,107,3.5
21,353,0.8,1.415,94,21545227248756.0,56863063088.0,108,3.51
21,353,0.8,1.415,95,416356664309500.0,1119643549544.0,107,3.37
21,353,0.8,1.415,96,5434693811988.0,3399527760.0,108,3.2
21,353,0.8,1.415,97,861292369184.0,637429632.0,107,3.68
21,353,0.8,1.415,98,50352949824.0,1244160.0,109,3.24
21,353,0.8,1.415,99,79104949960800.0,141222499072.0,108,4.28
21,353,0.8,1.415,100,7029670152.0,3828672.0,109,2.79
21,353,0.8,1.415,101,9285263191078.0,22534240064.0,107,3.42
21,353,0.8,1.415,102,5865098535387.0,4298488320.0,106,3.39
21,353,0.8,1.415,103,3067317880420.0,9071435904.0,108,3.27
21,353,0.8,1.415,104,1078852868784.0,562546944.0,107,3.67
21,353,0.8,1.415,105,438316535072.0,103150080.0,108,3.58
21,353,0.8,1.415,106,22937613199.0,8554608.0,108,3.23
21,353,0.8,1.415,107,56116361968632.0,47814944736.0,105,3.31
21,353,0.8,1.415,108,610262900480160.0,367106903040.0,104,3.13
21,353,0.8,1.415,109,16287337468.0,39992160.0,109,3.34
21,353,0.8,1.415,110,1961232875742.0,4630554848.0,108,3.32
21,353,0.8,1.415,111,1234670336636.0,3454891330.0,109,3.16
21,353,0.8,1.415,112,417432653692128.0,56298078720.0,106,3.66
21,353,0.8,1.415,113,2974833792.0,4914684.0,108,3.0
21,353,0.8,1.415,114,398106867456.0,145981440.0,108,3.71
21,353,0.8,1.415,115,17437440875080.0,23385206424.0,108,3.28
21,353,0.8,1.415,116,1061530597320.0,1225848024.0,108,4.23
21,353,0.8,1.415,117,3053313206648.0,9037320096.0,107,3.89
21,353,0.8,1.415,118,318268967976.0,261192960.0,109,3.24
21,353,0.8,1.415,119,3593440864560.0,8204395680.0,108,3.33
21,353,0.8,1.415,120,1.8699932644227584e+16,58637654133120.0,106,3.31
21,353,0.8,1.415,121,308238370405629.0,801527457342.0,106,3.61
21,353,0.8,1.415,122,6387948088.0,884016.0,108,3.87
21,353,0.8,1.415,123,36338551939548.0,89271918144.0,108,3.42
21,353,0.8,1.415,124,476837810892.0,43837560.0,107,3.21
21,353,0.8,1.415,125,971971448.0,2262064.0,112,2.86
21,353,0.8,1.415,126,878680649088.0,43748640.0,109,3.39
21,353,0.8,1.415,127,11060225916.0,20828160.0,109,3.25
21,353,0.8,1.415,128,7060759236.0,2400840.0,108,3.37
21,353,0.8,1.415,129,61739982053344.0,223817052864.0,109,3.17
21,353,0.8,1.415,130,2.1754650763781296e+16,60456355922688.0,105,3.78
21,353,0.8,1.415,131,695089732.0,1556160.0,110,3.15
21,353,0.8,1.415,132,22634335560.0,27122688.0,109,3.34
21,353,0.8,1.415,133,369364608.0,392016.0,110,3.24
21,353,0.8,1.415,134,149920943836.0,297468792.0,107,3.27
21,353,0.8,1.415,135,405981301430098.0,1122653094600.0,108,3.63
21,353,0.8,1.415,136,2698368576443.0,7051870674.0,108,3.37
21,353,0.8,1.415,137,15361540010880.0,20792070144.0,107,4.18
21,353,0.8,1.415,138,7637377152.0,17057792.0,106,3.49
21,353,0.8,1.415,139,13580980196086.0,38883726264.0,108,3.06
21,353,0.8,1.415,140,44886347658093.0,95079822720.0,107,3.2
21,353,0.8,1.415,141,68843104524.0,182250000.0,109,3.39
21,353,0.8,1.415,142,130649939280.0,138827520.0,108,2.91
21,353,0.8,1.415,143,199316784432.0,128173248.0,108,3.25
21,353,0.8,1.415,144,92613038416.0,87285120.0,107,3.02
21,353,0.8,1.415,145,7176951410371.0,13216615830.0,107,3.12
21,353,0.8,1.415,146,93578271852528.0,220287619008.0,108,3.2
21,353,0.8,1.415,147,71813342079354.0,59770757952.0,107,3.3
21,353,0.8,1.415,148,50854224816.0,40219416.0,107,3.56
21,353,0.8,1.415,149,1558151928244.0,251767152.0,108,3.71
21,353,0.8,1.415,150,29548835951024.0,61360919616.0,108,3.28
21,353,0.8,1.415,151,809016308.0,748544.0,109,3.26
21,353,0.8,1.415,152,69581178000.0,22568256.0,109,3.42
21,353,0.8,1.415,153,16808110224.0,5339520.0,108,3.77
21,353,0.8,1.415,154,43796452930720.0,32650011888.0,106,3.39
21,353,0.8,1.415,155,1362126288672.0,1123813440.0,107,3.46
21,353,0.8,1.415,156,6504859667454.0,17539347000.0,107,3.38
21,353,0.8,1.415,157,14545696896.0,1520640.0,107,3.68
21,353,0.8,1.415,158,183425910.0,308700.0,111,3.45
21,353,0.8,1.415,159,1241948310112.0,2254058880.0,106,3.75
21,353,0.8,1.415,160,178165986810582.0,469121914128.0,106,3.06
21,353,0.8,1.415,161,451658705400.0,1109892000.0,108,3.68
21,353,0.8,1.415,162,44650313080.0,38107200.0,110,3.44
21,353,0.8,1.415,163,3472251299724.0,9007424952.0,107,3.25
21,353,0.8,1.415,164,60498205311084.0,2245173112.0,105,3.38
21,353,0.8,1.415,165,57682548048.0,9188112.0,109,3.13
21,353,0.8,1.415,166,108978107148.0,154046880.0,108,3.14
21,353,0.8,1.415,167,229575561188712.0,685871064000.0,108,3.34
21,353,0.8,1.415,168,10225130094.0,7077864.0,108,3.78
21,353,0.8,1.415,169,5591565902824.0,17397257472.0,109,3.17
