L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,5.1,0,3601007.0,2306.0,19,11.17
21,353,0.8,5.1,1,1288020.0,248.0,19,13.57
21,353,0.8,5.1,2,1651164.0,648.0,19,13.79
21,353,0.8,5.1,3,4378130.0,447.0,19,13.62
21,353,0.8,5.1,4,4235694.0,579.0,19,12.22
21,353,0.8,5.1,5,5512301.0,1793.0,19,12.36
21,353,0.8,5.1,6,2185886.0,765.0,19,11.73
21,353,0.8,5.1,7,188374.0,6.0,19,12.01
21,353,0.8,5.1,8,1278183.0,12.0,19,9.94
21,353,0.8,5.1,9,13617156.0,2441.0,19,8.79
21,353,0.8,5.1,10,1770269.0,190.0,19,15.26
21,353,0.8,5.1,11,2286785.0,142.0,19,12.45
21,353,0.8,5.1,12,1517660.0,208.0,19,13.19
21,353,0.8,5.1,13,4449242.0,286.0,19,10.88
21,353,0.8,5.1,14,6062650.0,584.0,19,9.71
21,353,0.8,5.1,15,1425268.0,545.0,19,9.4
21,353,0.8,5.1,16,15558118.0,2812.0,19,8.2
21,353,0.8,5.1,17,16174505.0,5176.0,19,11.68
21,353,0.8,5.1,18,337767.0,10.0,19,13.16
21,353,0.8,5.1,19,11079919.0,572.0,19,13.44
21,353,0.8,5.1,20,2355880.0,186.0,19,13.16
21,353,0.8,5.1,21,1051877.0,18.0,19,9.47
21,353,0.8,5.1,22,6494779.0,515.0,19,11.48
21,353,0.8,5.1,23,1871246.0,98.0,19,11.83
21,353,0.8,5.1,24,944370.0,76.0,19,8.36
21,353,0.8,5.1,25,1384981.0,104.0,19,10.1
21,353,0.8,5.1,26,2766669.0,616.0,19,9.12
21,353,0.8,5.1,27,4283688.0,725.0,19,13.03
21,353,0.8,5.1,28,8331555.0,712.0,19,13.79
21,353,0.8,5.1,29,1745871.0,203.0,19,10.31
21,353,0.8,5.1,30,2361943.0,605.0,19,12.54
21,353,0.8,5.1,31,712925.0,70.0,19,11.29
21,353,0.8,5.1,32,3685654.0,244.0,19,9.61
21,353,0.8,5.1,33,1399542271.0,3016924.0,18,13.96
21,353,0.8,5.1,34,142768.0,12.0,19,8.57
21,353,0.8,5.1,35,4837836.0,312.0,19,12.37
21,353,0.8,5.1,36,4178431.0,637.0,19,12.04
21,353,0.8,5.1,37,9185.0,1.0,20,10.4
21,353,0.8,5.1,38,4809576.0,1076.0,19,12.93
21,353,0.8,5.1,39,1519560.0,16.0,19,13.58
21,353,0.8,5.1,40,946635.0,132.0,19,14.26
21,353,0.8,5.1,41,5384144.0,319.0,19,13.26
21,353,0.8,5.1,42,1727736.0,404.0,19,14.16
21,353,0.8,5.1,43,1333112.0,70.0,19,10.53
21,353,0.8,5.1,44,824519.0,40.0,19,13.31
21,353,0.8,5.1,45,3006325.0,574.0,19,11.71
21,353,0.8,5.1,46,517843.0,40.0,19,8.51
21,353,0.8,5.1,47,965223.0,46.0,19,10.59
21,353,0.8,5.1,48,4724575.0,1166.0,19,8.49
21,353,0.8,5.1,49,2595786.0,258.0,19,12.26
21,353,0.8,5.1,50,12719581.0,3047.0,19,13.67
21,353,0.8,5.1,51,6850711.0,1603.0,19,11.14
21,353,0.8,5.1,52,2000794.0,47.0,19,15.0
21,353,0.8,5.1,53,410090.0,46.0,19,10.13
21,353,0.8,5.1,54,912591.0,114.0,19,10.5
21,353,0.8,5.1,55,3171142.0,186.0,19,11.84
21,353,0.8,5.1,56,12293934.0,1734.0,19,13.22
21,353,0.8,5.1,57,9945034.0,3577.0,19,14.07
21,353,0.8,5.1,58,1304619.0,9.0,19,10.61
21,353,0.8,5.1,59,4067415.0,299.0,19,14.12
21,353,0.8,5.1,60,1717085.0,24.0,19,13.7
21,353,0.8,5.1,61,2467469.0,100.0,19,13.89
21,353,0.8,5.1,62,1753628042.0,2587677.0,18,9.88
21,353,0.8,5.1,63,4842997.0,449.0,19,8.3
21,353,0.8,5.1,64,344945.0,79.0,19,13.12
21,353,0.8,5.1,65,3360339.0,441.0,19,11.54
21,353,0.8,5.1,66,8223427.0,621.0,19,13.02
21,353,0.8,5.1,67,3440513.0,1858.0,19,8.76
21,353,0.8,5.1,68,651653.0,96.0,19,10.18
21,353,0.8,5.1,69,1326506.0,304.0,19,7.91
21,353,0.8,5.1,70,5026251.0,3539.0,19,12.58
21,353,0.8,5.1,71,1521576.0,48.0,19,8.66
21,353,0.8,5.1,72,432690.0,48.0,19,7.5
21,353,0.8,5.1,73,1611345.0,360.0,19,11.55
21,353,0.8,5.1,74,7734282.0,957.0,19,10.76
21,353,0.8,5.1,75,898611.0,56.0,19,7.76
21,353,0.8,5.1,76,1520703.0,74.0,19,10.13
21,353,0.8,5.1,77,3180757.0,82.0,19,11.8
21,353,0.8,5.1,78,432047645.0,352437.0,18,9.53
21,353,0.8,5.1,79,305108.0,5.0,19,12.07
21,353,0.8,5.1,80,637087.0,8.0,19,12.17
21,353,0.8,5.1,81,740210.0,30.0,19,8.73
21,353,0.8,5.1,82,2363439.0,405.0,19,8.51
21,353,0.8,5.1,83,585919.0,114.0,19,7.02
21,353,0.8,5.1,84,6775171.0,1551.0,19,9.43
21,353,0.8,5.1,85,324416607.0,278477.0,18,11.21
21,353,0.8,5.1,86,1272948.0,304.0,19,12.2
21,353,0.8,5.1,87,1713602056.0,2980419.0,18,12.75
21,353,0.8,5.1,88,140506.0,48.0,19,13.08
21,353,0.8,5.1,89,7561267.0,436.0,19,10.88
21,353,0.8,5.1,90,5886603.0,2160.0,19,8.22
21,353,0.8,5.1,91,506558.0,70.0,19,9.55
21,353,0.8,5.1,92,2707.0,1.0,20,9.0
21,353,0.8,5.1,93,3070740.0,244.0,19,12.84
21,353,0.8,5.1,94,3801175.0,1137.0,19,12.33
21,353,0.8,5.1,95,1124601.0,66.0,19,13.67
21,353,0.8,5.1,96,1203394.0,207.0,19,12.05
21,353,0.8,5.1,97,4139322.0,1422.0,19,12.11
21,353,0.8,5.1,98,1372685.0,42.0,19,8.08
21,353,0.8,5.1,99,4990278.0,363.0,19,12.29
21,353,0.8,5.1,100,8818250.0,1330.0,19,12.61
21,353,0.8,5.1,101,774109.0,35.0,19,13.24
21,353,0.8,5.1,102,1014126.0,18.0,19,10.73
21,353,0.8,5.1,103,1405145.0,372.0,19,8.54
21,353,0.8,5.1,104,6219081.0,1180.0,19,8.1
21,353,0.8,5.1,105,3917056.0,187.0,19,14.23
21,353,0.8,5.1,106,3844110.0,1082.0,19,13.68
21,353,0.8,5.1,107,2624674.0,217.0,19,9.25
