L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,3.0,0,84570.0,1.0,45,44.56
21,353,0.8,3.0,1,4207599.0,323.0,44,41.06
21,353,0.8,3.0,2,86001029.0,23730.0,44,41.74
21,353,0.8,3.0,3,5343576.0,547.0,44,41.14
21,353,0.8,3.0,4,814891.0,144.0,45,38.77
21,353,0.8,3.0,5,154328.0,2.0,45,42.68
21,353,0.8,3.0,6,543511.0,8.0,45,42.07
21,353,0.8,3.0,7,10467468.0,5867.0,44,46.13
21,353,0.8,3.0,8,68039.0,15.0,45,44.23
21,353,0.8,3.0,9,1569117.0,152.0,45,42.41
21,353,0.8,3.0,10,180917975.0,30758.0,44,47.75
21,353,0.8,3.0,11,423197.0,1.0,45,40.29
21,353,0.8,3.0,12,402983.0,3.0,45,47.17
21,353,0.8,3.0,13,352885.0,43.0,45,42.38
21,353,0.8,3.0,14,134098.0,3.0,45,39.82
21,353,0.8,3.0,15,111299588.0,20567.0,44,47.56
21,353,0.8,3.0,16,974877.0,183.0,45,39.56
21,353,0.8,3.0,17,1005475.0,11.0,45,41.75
21,353,0.8,3.0,18,8065954.0,1349.0,44,47.45
21,353,0.8,3.0,19,282824.0,20.0,45,47.36
21,353,0.8,3.0,20,67048.0,8.0,45,42.14
21,353,0.8,3.0,21,174766.0,6.0,45,42.65
21,353,0.8,3.0,22,392483391.0,129644.0,44,37.55
21,353,0.8,3.0,23,277848.0,6.0,45,39.22
21,353,0.8,3.0,24,113086.0,4.0,45,39.95
21,353,0.8,3.0,25,65363008.0,29795.0,44,38.41
21,353,0.8,3.0,26,186399.0,14.0,45,38.94
21,353,0.8,3.0,27,250562.0,15.0,45,44.56
21,353,0.8,3.0,28,2432769.0,301.0,45,44.79
21,353,0.8,3.0,29,38673225.0,15761.0,44,44.83
21,353,0.8,3.0,30,209000.0,33.0,45,38.96
21,353,0.8,3.0,31,13592064.0,479.0,44,40.03
21,353,0.8,3.0,32,252933176.0,73583.0,44,39.65
21,353,0.8,3.0,33,135014945.0,14885.0,44,43.19
21,353,0.8,3.0,34,31496513.0,2017.0,44,42.86
21,353,0.8,3.0,35,211348061.0,212314.0,44,38.87
21,353,0.8,3.0,36,250213034.0,165881.0,44,45.06
21,353,0.8,3.0,37,2765635.0,871.0,45,40.32
21,353,0.8,3.0,38,164166.0,1.0,45,40.18
21,353,0.8,3.0,39,204389.0,36.0,45,43.32
21,353,0.8,3.0,40,28241660.0,6006.0,44,43.0
21,353,0.8,3.0,41,130987218.0,22877.0,44,43.63
21,353,0.8,3.0,42,15698793.0,2714.0,44,40.78
21,353,0.8,3.0,43,163551969.0,70874.0,44,40.94
21,353,0.8,3.0,44,2025921.0,225.0,45,44.38
21,353,0.8,3.0,45,95866420.0,14343.0,44,41.2
21,353,0.8,3.0,46,4422244.0,318.0,44,40.81
21,353,0.8,3.0,47,197490591.0,107027.0,44,41.09
21,353,0.8,3.0,48,78500.0,2.0,45,40.7
21,353,0.8,3.0,49,79479628.0,33505.0,44,38.97
21,353,0.8,3.0,50,89571127.0,21130.0,44,42.94
21,353,0.8,3.0,51,88322.0,8.0,45,43.8
21,353,0.8,3.0,52,140158.0,12.0,45,50.05
21,353,0.8,3.0,53,80994708.0,25009.0,44,41.76
21,353,0.8,3.0,54,376847194.0,107786.0,44,41.74
21,353,0.8,3.0,55,240628951.0,98450.0,44,40.5
21,353,0.8,3.0,56,183232.0,7.0,45,43.61
21,353,0.8,3.0,57,2123100.0,588.0,45,40.32
21,353,0.8,3.0,58,782617.0,210.0,45,46.08
21,353,0.8,3.0,59,161646.0,2.0,45,44.13
21,353,0.8,3.0,60,44822.0,1.0,45,45.14
21,353,0.8,3.0,61,1137612.0,654.0,45,43.95
21,353,0.8,3.0,62,77582.0,12.0,45,41.07
21,353,0.8,3.0,63,1000969.0,459.0,45,38.69
21,353,0.8,3.0,64,105428055.0,110043.0,44,43.14
21,353,0.8,3.0,65,341064964.0,141975.0,44,50.11
21,353,0.8,3.0,66,178890211.0,18831.0,44,41.42
21,353,0.8,3.0,67,61237.0,6.0,45,39.64
21,353,0.8,3.0,68,44174046.0,14234.0,44,44.44
21,353,0.8,3.0,69,200283773.0,126364.0,44,43.3
21,353,0.8,3.0,70,335697.0,16.0,45,46.67
21,353,0.8,3.0,71,103008923.0,15483.0,44,43.32
