L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,2,1.415,20,55.195347,424.565977,55.197349,19.3593,145.238146,19.361156,142
21,0.8,3,1.415,1,0.351612,0.453033,0.353627,0.153283,0.269805,0.155155,111
21,0.8,3,1.415,2,0.043364,0.106392,0.045331,0.044203,0.104468,0.046036,117
21,0.8,3,1.415,3,0.050299,0.139716,0.052251,0.053021,0.177564,0.054828,124
21,0.8,3,1.415,4,0.186115,0.551653,0.188084,0.159395,0.467415,0.161202,123
21,0.8,3,1.415,5,0.231231,0.661585,0.23316,0.181252,0.632674,0.18303,129
21,0.8,3,1.415,6,0.700087,2.096997,0.702206,0.383482,1.595182,0.386788,130
21,0.8,3,1.415,7,0.966199,4.65351,0.968146,0.632979,3.520604,0.634967,133
21,0.8,3,1.415,8,2.143973,12.346301,2.146759,1.858717,11.277983,1.861465,135
21,0.8,3,1.415,9,0.928014,4.296087,0.929962,0.573355,3.014702,0.575122,139
21,0.8,3,1.415,10,2.377175,16.44822,2.379088,0.499249,3.269749,0.501105,139
21,0.8,3,1.415,11,2.625801,17.09801,2.627754,2.395759,17.066371,2.397557,141
21,0.8,3,1.415,12,10.770507,78.62245,10.772446,3.27944,22.510652,3.281219,141
21,0.8,3,1.415,13,4.384399,30.877795,4.386312,2.861289,19.600921,2.863253,142
21,0.8,3,1.415,14,25.364081,187.763328,25.366101,54.738208,418.115003,54.740644,140
21,0.8,3,1.415,15,41.854252,314.187691,41.85885,14.387503,106.874603,14.389374,139
21,0.8,3,1.415,16,51.319422,389.558453,51.32232,16.405743,120.336487,16.407623,141
21,0.8,3,1.415,17,20.181331,152.388716,20.18329,10.351669,75.295256,10.353511,142
21,0.8,3,1.415,18,20.185723,150.798254,20.187609,13.69346,100.69474,13.695278,143
21,0.8,3,1.415,19,18.5561,138.261519,18.558029,15.438723,113.485759,15.440619,143
21,0.8,3,1.415,20,23.814029,177.003121,23.816055,22.363558,168.675176,22.365479,141
21,0.8,4,1.415,1,0.013386,0.022853,0.015326,0.012716,0.021912,0.014505,113
21,0.8,4,1.415,2,0.018773,0.032785,0.020974,0.021007,0.030093,0.022907,119
21,0.8,4,1.415,3,0.079201,0.189945,0.081185,0.079423,0.199902,0.081264,122
21,0.8,4,1.415,4,0.246262,0.471738,0.249001,0.215747,0.435781,0.217485,125
21,0.8,4,1.415,5,0.289926,0.962515,0.292331,0.291746,0.900762,0.29597,127
21,0.8,4,1.415,6,0.279582,1.496429,0.281765,0.39102,1.551512,0.392947,129
21,0.8,4,1.415,7,2.046654,9.84709,2.048637,0.535502,3.587938,0.537297,133
21,0.8,4,1.415,8,1.770956,9.96077,1.773663,0.202845,1.290669,0.204631,136
21,0.8,4,1.415,9,1.611019,9.328158,1.61297,1.3525,8.824289,1.354431,140
21,0.8,4,1.415,10,1.996255,12.118641,1.998184,0.264718,1.55894,0.26649,141
21,0.8,4,1.415,11,1.498883,7.859903,1.501384,0.567999,3.845924,0.569754,144
21,0.8,4,1.415,12,7.065535,48.499732,7.067477,2.239354,14.130389,2.241206,141
21,0.8,4,1.415,13,3.656919,24.618493,3.658934,3.344876,23.1257,3.346659,143
21,0.8,4,1.415,14,15.260717,110.532047,15.262658,12.328615,89.730609,12.330399,142
21,0.8,4,1.415,15,6.931274,50.363769,6.933191,1.643558,10.735938,1.645331,143
21,0.8,4,1.415,16,17.464125,130.362802,17.466071,13.080591,96.476616,13.082428,142
21,0.8,4,1.415,17,27.63907,208.573981,27.641025,15.795283,116.906175,15.79708,141
21,0.8,4,1.415,18,34.600379,263.490316,34.602377,10.436583,74.744593,10.438426,140
21,0.8,4,1.415,19,25.814599,160.611447,25.81653,5.262944,33.530179,5.264689,141
21,0.8,4,1.415,20,7.210662,43.694599,7.212591,15.588407,98.21565,15.590227,144
21,0.8,5,1.415,1,0.019585,0.033177,0.021456,0.019507,0.032179,0.021219,115
21,0.8,5,1.415,2,0.029584,0.04993,0.03154,0.026029,0.045223,0.027727,121
21,0.8,5,1.415,3,0.132161,0.410921,0.134338,0.169643,0.538052,0.171793,121
21,0.8,5,1.415,4,0.186639,0.617337,0.188542,0.193895,0.687697,0.195697,126
21,0.8,5,1.415,5,0.374372,1.571079,0.376339,0.357415,1.578773,0.359268,129
21,0.8,5,1.415,6,0.780086,3.572344,0.783111,0.682844,3.614542,0.685537,132
21,0.8,5,1.415,7,1.505892,8.796917,1.507842,1.057966,6.965278,1.059769,134
21,0.8,5,1.415,8,10.254423,75.102726,10.256457,0.972843,6.358465,0.974833,133
21,0.8,5,1.415,9,12.358654,91.432449,12.360731,11.090023,82.768499,11.091885,135
21,0.8,5,1.415,10,16.462015,117.469913,16.464128,15.267416,114.190844,15.269211,137
21,0.8,5,1.415,11,10.898194,81.234889,10.900175,2.823507,20.313841,2.825337,138
21,0.8,5,1.415,12,34.222663,215.004655,34.224713,8.977398,57.452373,8.979425,138
21,0.8,5,1.415,13,24.631889,155.965386,24.633868,4.467238,28.031101,4.46931,140
21,0.8,5,1.415,14,24.687665,155.695192,24.689627,31.233043,198.93793,31.234861,140
21,0.8,5,1.415,15,16.750642,102.935705,16.752632,10.143778,64.13102,10.145617,143
21,0.8,5,1.415,16,22.543591,144.194593,22.545724,3.822594,23.520451,3.824742,142
21,0.8,5,1.415,17,24.645841,180.809755,24.647799,20.151226,150.483661,20.153032,143
21,0.8,5,1.415,18,5.667498,34.864579,5.669555,2.882863,18.08748,2.884744,145
21,0.8,5,1.415,19,67.136659,419.876449,67.139212,6.888484,44.023308,6.890753,141
21,0.8,5,1.415,20,28.366123,179.393666,28.368083,21.827225,138.237696,21.829146,142
21,0.8,6,1.415,1,0.108274,0.233325,0.110176,0.108405,0.208025,0.110165,113
21,0.8,6,1.415,2,0.06083,0.159744,0.062891,0.057003,0.154154,0.058935,118
21,0.8,6,1.415,3,0.18435,0.481655,0.186736,0.179494,0.565272,0.181357,121
21,0.8,6,1.415,4,0.291096,1.09622,0.293738,0.276522,0.989156,0.278877,125
21,0.8,6,1.415,5,0.350546,1.539274,0.353289,0.335027,1.4923,0.336895,127
21,0.8,6,1.415,6,0.334277,1.448412,0.336977,0.354141,1.467176,0.356827,130
21,0.8,6,1.415,7,0.660591,3.389599,0.663048,0.654019,3.523672,0.655785,131
21,0.8,6,1.415,8,3.131354,17.932692,3.133347,0.680902,4.108163,0.68269,133
21,0.8,6,1.415,9,2.236003,13.586991,2.23799,0.512762,3.329141,0.514583,137
21,0.8,6,1.415,10,9.12661,57.158237,9.129102,7.021052,45.32543,7.022813,138
21,0.8,6,1.415,11,34.175064,212.799085,34.177623,49.11962,310.79264,49.1217,137
21,0.8,6,1.415,12,38.474946,288.281306,38.477127,13.028075,92.677771,13.029961,139
21,0.8,6,1.415,13,67.605881,507.589664,67.607818,27.340521,200.540168,27.342445,139
21,0.8,6,1.415,14,43.717231,321.667542,43.719236,36.678388,270.171915,36.680245,141
21,0.8,6,1.415,15,18.230113,132.215071,18.23212,2.059052,14.235786,2.060868,143
21,0.8,6,1.415,16,23.179455,169.588579,23.181412,23.101981,170.44318,23.104056,143
21,0.8,6,1.415,17,31.219871,235.669924,31.221769,29.370653,221.185113,29.372441,142
21,0.8,6,1.415,18,78.22383,605.227585,78.225784,76.815023,582.944708,76.816823,142
21,0.8,6,1.415,19,81.778105,631.345669,81.780079,23.522302,175.999185,23.524354,142
21,0.8,6,1.415,20,70.595313,541.626268,70.598512,28.241112,212.256217,28.242885,142
21,0.8,7,1.415,1,0.094415,0.217001,0.096342,0.141726,0.221719,0.144271,112
21,0.8,7,1.415,2,0.025603,0.037972,0.027645,0.023124,0.037918,0.02504,115
21,0.8,7,1.415,3,0.160648,0.364247,0.162588,0.151405,0.350951,0.153238,119
21,0.8,7,1.415,4,0.209148,0.911567,0.211144,0.242617,0.976172,0.244408,123
21,0.8,7,1.415,5,1.075621,6.054084,1.077606,1.006851,5.915848,1.008816,127
21,0.8,7,1.415,6,1.844696,11.623834,1.846798,1.510583,10.209978,1.512377,128
21,0.8,7,1.415,7,2.372753,16.070251,2.374667,2.111399,14.860802,2.113184,131
21,0.8,7,1.415,8,13.040072,91.858661,13.04273,0.922495,6.175996,0.924344,132
21,0.8,7,1.415,9,4.928325,32.843164,4.930279,2.851249,18.367753,2.853187,135
21,0.8,7,1.415,10,28.966048,217.756623,28.96797,15.515772,114.794476,15.517578,135
21,0.8,7,1.415,11,79.712374,607.598885,79.716425,21.107541,156.789614,21.109465,135
21,0.8,7,1.415,12,52.287505,399.211064,52.289464,53.414391,407.537561,53.416236,137
21,0.8,7,1.415,13,37.921748,288.979535,37.923686,8.509812,61.762195,8.51166,139
21,0.8,7,1.415,14,56.050977,428.312576,56.052986,50.197087,380.511806,50.199674,137
21,0.8,7,1.415,15,14.341807,104.387581,14.343749,4.675036,33.028256,4.676868,140
21,0.8,7,1.415,16,32.159048,242.518497,32.161025,26.570804,195.009388,26.572639,140
21,0.8,7,1.415,17,150.238383,1150.978777,150.240384,41.978526,303.873584,41.980688,138
21,0.8,7,1.415,18,79.437699,608.855928,79.439718,37.933104,286.505114,37.934914,139
21,0.8,7,1.415,19,31.155401,233.448702,31.15735,25.61922,192.84887,25.621212,141
21,0.8,7,1.415,20,24.85482,188.138767,24.856789,2.507096,15.903828,2.508882,141
21,0.8,8,1.415,1,0.057534,0.113605,0.059491,0.079341,0.129452,0.081161,112
21,0.8,8,1.415,2,0.1254,0.306141,0.12738,0.093455,0.237453,0.095199,116
21,0.8,8,1.415,3,0.200244,0.334084,0.204988,0.139852,0.260195,0.143217,121
21,0.8,8,1.415,4,0.179378,0.320148,0.18131,0.16952,0.29842,0.171781,127
21,0.8,8,1.415,5,0.355466,0.972248,0.357599,0.428246,1.070107,0.43003,130
21,0.8,8,1.415,6,0.394305,1.047604,0.396675,0.332124,0.922844,0.33529,135
21,0.8,8,1.415,7,1.198668,5.74173,1.200619,0.749546,4.794974,0.751559,136
21,0.8,8,1.415,8,1.275118,7.06041,1.27991,0.710748,4.637182,0.71297,137
21,0.8,8,1.415,9,1.776037,9.821418,1.778008,1.093641,6.991104,1.095438,138
21,0.8,8,1.415,10,2.173406,14.530951,2.175525,0.46204,3.079096,0.463825,140
21,0.8,8,1.415,11,3.988839,27.841556,3.990936,1.445102,9.19617,1.44702,142
21,0.8,8,1.415,12,9.686447,70.414348,9.689305,1.320311,8.604312,1.322183,141
21,0.8,8,1.415,13,10.590686,74.641132,10.592632,9.828803,69.296213,9.830627,144
21,0.8,8,1.415,14,5.701621,39.58519,5.703814,5.216056,37.838977,5.218075,145
21,0.8,8,1.415,15,3.477212,22.117077,3.479277,2.571695,16.717961,2.573618,146
21,0.8,8,1.415,16,4.627304,31.153986,4.629441,0.90165,5.870936,0.903704,146
21,0.8,8,1.415,17,28.045185,207.900284,28.047159,21.335254,156.820222,21.337125,141
21,0.8,8,1.415,18,48.672672,362.449951,48.674699,33.202684,246.870276,33.204495,140
21,0.8,8,1.415,19,98.627252,739.642028,98.629144,26.756832,194.886001,26.758919,139
21,0.8,8,1.415,20,152.495998,1149.19574,152.497988,3.567539,24.876863,3.56944,139
21,0.8,9,1.415,1,0.097141,0.184596,0.099181,0.091886,0.172634,0.093717,113
21,0.8,9,1.415,2,0.040988,0.104065,0.042905,0.043004,0.104825,0.044767,119
21,0.8,9,1.415,3,0.207673,0.427226,0.210178,0.186096,0.416084,0.188255,122
21,0.8,9,1.415,4,0.247718,0.911954,0.249753,0.231841,0.84896,0.233629,124
21,0.8,9,1.415,5,0.526837,2.074345,0.528733,0.357846,1.855272,0.359805,126
21,0.8,9,1.415,6,1.130785,6.18892,1.132687,0.92971,5.828085,0.931469,130
21,0.8,9,1.415,7,1.614504,10.236574,1.616399,0.582991,3.898972,0.584812,130
21,0.8,9,1.415,8,2.106216,12.045145,2.108131,1.507147,10.092522,1.508956,134
21,0.8,9,1.415,9,8.772965,61.11465,8.774911,8.079493,58.686722,8.081252,136
21,0.8,9,1.415,10,9.157418,67.306987,9.159343,9.265546,67.457018,9.267341,139
21,0.8,9,1.415,11,4.893548,33.898764,4.895475,1.377249,8.991069,1.378997,140
21,0.8,9,1.415,12,20.825074,159.333954,20.827026,16.409952,123.032515,16.411796,140
21,0.8,9,1.415,13,19.364612,145.89664,19.366508,1.082017,7.026505,1.083776,141
21,0.8,9,1.415,14,21.831882,162.840818,21.833823,14.156116,102.679691,14.158101,142
21,0.8,9,1.415,15,15.578424,115.306546,15.580411,17.351772,129.468409,17.353599,145
21,0.8,9,1.415,16,22.389852,168.069607,22.392069,11.02875,79.713132,11.030567,144
21,0.8,9,1.415,17,48.698974,369.560118,48.700943,26.313874,197.832338,26.315685,142
21,0.8,9,1.415,18,98.866374,759.219825,98.868351,3.472143,23.225176,3.473917,140
21,0.8,9,1.415,19,25.163605,188.608523,25.165512,1.660281,11.096932,1.662229,143
21,0.8,9,1.415,20,19.884383,146.173354,19.886539,3.762813,25.454146,3.764559,144
21,0.8,10,1.415,1,0.031112,0.079275,0.03303,0.036301,0.079178,0.038126,112
21,0.8,10,1.415,2,0.053394,0.149794,0.055358,0.050019,0.120057,0.051955,115
21,0.8,10,1.415,3,0.116584,0.549481,0.118607,0.234957,0.846985,0.236771,118
21,0.8,10,1.415,4,0.19955,0.758695,0.201554,0.20807,0.772213,0.20978,122
21,0.8,10,1.415,5,0.228545,1.147441,0.23051,0.234565,1.139455,0.23638,126
