L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,62,1.0,0.016825,0.02122,0.01878,0.014407,0.019645,0.01607,182
21,0.8,63,1.0,0.01436,0.021383,0.015979,0.016519,0.020956,0.018235,180
21,0.8,64,1.0,0.017122,0.023666,0.018952,0.017073,0.022994,0.019083,180
21,0.8,65,1.0,0.011155,0.018236,0.012851,0.010364,0.016372,0.011893,185
21,0.8,66,1.0,0.01432,0.021252,0.015968,0.023211,0.030582,0.02546,178
21,0.8,67,1.0,0.012975,0.021041,0.014602,0.013361,0.020594,0.014895,179
21,0.8,68,1.0,0.014062,0.020824,0.016171,0.012869,0.018355,0.014521,184
21,0.8,69,1.0,0.02713,0.030068,0.028767,0.024563,0.030651,0.026146,185
21,0.8,70,1.0,0.01383,0.020652,0.015448,0.01144,0.018789,0.012937,181
21,0.8,71,1.0,0.015842,0.0213,0.017649,0.020129,0.029268,0.021953,185
21,0.8,72,1.0,0.012985,0.018015,0.014688,0.013186,0.017956,0.014789,184
21,0.8,73,1.0,0.016703,0.023188,0.018671,0.012853,0.019782,0.014371,183
21,0.8,74,1.0,0.014329,0.019161,0.015985,0.013736,0.018649,0.015313,183
21,0.8,75,1.0,0.012479,0.018094,0.014126,0.013433,0.018438,0.015047,189
21,0.8,76,1.0,0.018755,0.024463,0.020393,0.025399,0.033517,0.026951,180
21,0.8,77,1.0,0.017914,0.020356,0.019691,0.012101,0.020064,0.013723,182
21,0.8,78,1.0,0.012402,0.020918,0.01402,0.012166,0.020334,0.013767,182
21,0.8,79,1.0,0.021982,0.028252,0.023587,0.01942,0.027767,0.02105,182
21,0.8,80,1.0,0.017663,0.026117,0.020261,0.015622,0.022373,0.020267,183
21,0.8,81,1.0,0.022245,0.023214,0.024027,0.017329,0.025036,0.018829,180
21,0.8,82,1.0,0.013179,0.020631,0.014825,0.012359,0.018581,0.013907,179
21,0.8,83,1.0,0.01241,0.020007,0.014124,0.012015,0.018675,0.013553,184
21,0.8,84,1.0,0.014542,0.01939,0.016271,0.014094,0.020479,0.015623,183
21,0.8,85,1.0,0.017428,0.021374,0.019039,0.016227,0.022911,0.017727,183
21,0.8,86,1.0,0.016626,0.022982,0.018326,0.015999,0.022397,0.017628,183
21,0.8,87,1.0,0.01374,0.019442,0.015349,0.012171,0.018554,0.013672,180
21,0.8,88,1.0,0.01207,0.017,0.013667,0.022424,0.016499,0.023978,186
21,0.8,89,1.0,0.016344,0.019703,0.018122,0.015334,0.020764,0.016915,181
21,0.8,90,1.0,0.022107,0.023215,0.024263,0.013844,0.021264,0.015419,185
21,0.8,91,1.0,0.016323,0.021341,0.018012,0.014139,0.022526,0.015708,182
21,0.8,92,1.0,0.029699,0.035109,0.032048,0.01564,0.023795,0.017492,177
21,0.8,93,1.0,0.01609,0.021263,0.017883,0.014599,0.020454,0.0165,182
21,0.8,94,1.0,0.01467,0.02062,0.016936,0.016226,0.020166,0.018124,183
21,0.8,95,1.0,0.014151,0.021253,0.015848,0.015252,0.021027,0.016974,180
21,0.8,96,1.0,0.020568,0.025569,0.022512,0.014076,0.019266,0.01648,186
21,0.8,97,1.0,0.014715,0.022068,0.01634,0.017701,0.021441,0.019264,183
21,0.8,98,1.0,0.015063,0.023332,0.016746,0.01409,0.022336,0.015744,178
21,0.8,99,1.0,0.016844,0.022074,0.018947,0.022723,0.023148,0.024847,182
21,0.8,0,1.415,0.022469,0.030044,0.024369,0.023251,0.028533,0.025023,108
21,0.8,1,1.415,0.026142,0.032609,0.027992,0.032368,0.043712,0.03418,109
21,0.8,2,1.415,0.026113,0.028213,0.028203,0.027062,0.036212,0.029329,107
21,0.8,3,1.415,0.025157,0.024912,0.027364,0.028941,0.027195,0.031809,106
21,0.8,4,1.415,0.0216,0.026727,0.023569,0.031885,0.030614,0.033969,107
21,0.8,5,1.415,0.017406,0.022073,0.019282,0.016538,0.02132,0.018271,109
21,0.8,6,1.415,0.071181,0.1184,0.074553,0.061683,0.11241,0.063454,109
21,0.8,7,1.415,0.051034,0.112012,0.052983,0.031902,0.071305,0.033702,106
21,0.8,8,1.415,0.051052,0.099921,0.053158,0.052434,0.112213,0.054395,104
21,0.8,9,1.415,0.021901,0.026299,0.023941,0.024142,0.02671,0.026572,106
21,0.8,10,1.415,0.023356,0.030187,0.02551,0.03026,0.034385,0.032109,107
21,0.8,11,1.415,0.031511,0.072921,0.033379,0.040704,0.090175,0.042415,105
21,0.8,12,1.415,0.021786,0.025823,0.023622,0.029435,0.028446,0.031629,113
21,0.8,13,1.415,0.035623,0.071306,0.037505,0.035129,0.067203,0.036875,106
21,0.8,14,1.415,0.015639,0.022782,0.01752,0.015285,0.022005,0.016977,107
21,0.8,15,1.415,0.090806,0.124463,0.093314,0.077806,0.113206,0.079656,107
21,0.8,16,1.415,0.01845,0.026161,0.020303,0.020281,0.026877,0.022088,105
21,0.8,17,1.415,0.022727,0.027601,0.024941,0.021848,0.027866,0.023631,108
21,0.8,18,1.415,0.018651,0.023683,0.020664,0.016591,0.022402,0.018314,109
21,0.8,19,1.415,0.069455,0.11959,0.071377,0.081026,0.124044,0.082776,106
21,0.8,20,1.415,0.017955,0.022506,0.020005,0.02027,0.020801,0.022044,107
21,0.8,21,1.415,0.020004,0.027109,0.021901,0.037531,0.045325,0.040422,105
21,0.8,22,1.415,0.023087,0.031465,0.025005,0.024426,0.034318,0.026178,105
21,0.8,23,1.415,0.023797,0.031644,0.026057,0.026154,0.039083,0.028185,107
21,0.8,24,1.415,0.052846,0.04164,0.059057,0.034909,0.037651,0.037126,107
21,0.8,25,1.415,0.016925,0.024071,0.019008,0.0195,0.024873,0.021924,108
21,0.8,26,1.415,0.021751,0.028518,0.023929,0.031934,0.037729,0.033956,106
21,0.8,27,1.415,0.016921,0.022811,0.018815,0.019549,0.025891,0.021255,109
21,0.8,28,1.415,0.039466,0.033901,0.041483,0.022744,0.027095,0.024507,110
21,0.8,29,1.415,0.020622,0.02498,0.02416,0.020232,0.029083,0.021975,108
21,0.8,30,1.415,0.047957,0.074413,0.051109,0.040283,0.062049,0.043064,107
21,0.8,31,1.415,0.050475,0.067623,0.052637,0.049754,0.061237,0.053092,107
21,0.8,32,1.415,0.015962,0.018914,0.018195,0.015005,0.017496,0.01686,108
21,0.8,33,1.415,0.016729,0.021391,0.018619,0.01533,0.020251,0.017066,108
21,0.8,34,1.415,0.031025,0.04639,0.033186,0.038588,0.049802,0.042123,107
21,0.8,35,1.415,0.026997,0.02851,0.029388,0.028752,0.032286,0.030845,109
21,0.8,36,1.415,0.017342,0.022143,0.019534,0.02456,0.02262,0.026391,109
21,0.8,37,1.415,0.015471,0.019626,0.017284,0.014203,0.018731,0.015893,107
21,0.8,38,1.415,0.024398,0.02826,0.026867,0.021968,0.025927,0.024379,107
21,0.8,39,1.415,0.021133,0.025643,0.025801,0.030365,0.029727,0.035874,108
21,0.8,40,1.415,0.023063,0.027746,0.024985,0.025542,0.034662,0.02741,108
21,0.8,41,1.415,0.050303,0.101727,0.052345,0.046301,0.106268,0.048485,107
21,0.8,42,1.415,0.019954,0.023592,0.021899,0.018722,0.022727,0.020811,107
21,0.8,43,1.415,0.030574,0.03017,0.033062,0.031247,0.026086,0.034857,110
21,0.8,44,1.415,0.016124,0.024241,0.018123,0.015703,0.023864,0.017596,107
21,0.8,45,1.415,0.022842,0.026684,0.025225,0.021692,0.027703,0.023597,110
21,0.8,46,1.415,0.02308,0.029602,0.025242,0.024101,0.032927,0.026095,108
21,0.8,47,1.415,0.052623,0.128714,0.054713,0.053203,0.106428,0.05513,106
21,0.8,48,1.415,0.026863,0.030155,0.029261,0.027694,0.030022,0.029725,108
21,0.8,49,1.415,0.021838,0.029029,0.023734,0.021208,0.028427,0.022932,108
21,0.8,50,1.415,0.020889,0.031204,0.022732,0.029649,0.042399,0.0322,108
21,0.8,51,1.415,0.024413,0.030235,0.026465,0.025645,0.038049,0.027678,107
21,0.8,52,1.415,0.021803,0.027125,0.024662,0.017885,0.02429,0.019609,107
21,0.8,53,1.415,0.021304,0.028793,0.023138,0.024682,0.034023,0.026376,108
21,0.8,54,1.415,0.01754,0.023704,0.019399,0.024991,0.037772,0.026813,108
21,0.8,55,1.415,0.0255,0.032271,0.027389,0.022089,0.029663,0.023872,109
21,0.8,56,1.415,0.016478,0.021506,0.018374,0.016536,0.021672,0.018255,106
21,0.8,57,1.415,0.019586,0.024058,0.021397,0.023185,0.029953,0.024961,108
21,0.8,58,1.415,0.014831,0.02042,0.016672,0.018564,0.020743,0.020437,110
21,0.8,59,1.415,0.019049,0.025986,0.020992,0.018121,0.024588,0.019793,109
21,0.8,60,1.415,0.022451,0.024299,0.024625,0.016938,0.02173,0.018992,109
21,0.8,61,1.415,0.018057,0.028104,0.019912,0.026742,0.02709,0.028494,104
21,0.8,62,1.415,0.01352,0.018465,0.015375,0.013574,0.018133,0.015247,107
21,0.8,63,1.415,0.019159,0.024859,0.021676,0.018293,0.025082,0.020017,108
21,0.8,64,1.415,0.017984,0.024505,0.019848,0.018194,0.023339,0.019929,108
21,0.8,65,1.415,0.020396,0.027194,0.022241,0.02346,0.030419,0.025194,107
21,0.8,66,1.415,0.030306,0.032393,0.032128,0.023465,0.030257,0.025159,108
21,0.8,67,1.415,0.020484,0.030729,0.022376,0.020768,0.029821,0.0225,107
21,0.8,68,1.415,0.022767,0.029737,0.024765,0.020727,0.030307,0.022691,107
21,0.8,69,1.415,0.016914,0.024677,0.019002,0.016663,0.02345,0.018392,104
21,0.8,70,1.415,0.028138,0.043215,0.030056,0.019825,0.029705,0.021531,108
21,0.8,71,1.415,0.022728,0.028286,0.024603,0.036435,0.037664,0.038653,108
21,0.8,72,1.415,0.041413,0.123182,0.043398,0.033078,0.069676,0.034829,106
21,0.8,73,1.415,0.017998,0.02175,0.019845,0.019293,0.022658,0.021214,109
21,0.8,74,1.415,0.023332,0.027178,0.025187,0.036257,0.032575,0.037985,108
21,0.8,75,1.415,0.01923,0.026551,0.021325,0.026228,0.029575,0.028039,108
21,0.8,76,1.415,0.02053,0.021905,0.022652,0.021557,0.021507,0.024077,107
21,0.8,77,1.415,0.017888,0.023571,0.01995,0.019198,0.024075,0.021121,106
21,0.8,78,1.415,0.020911,0.022036,0.022724,0.016069,0.020365,0.017817,107
21,0.8,79,1.415,0.016131,0.024633,0.018251,0.014291,0.021298,0.01601,107
21,0.8,80,1.415,0.019251,0.025918,0.02114,0.019157,0.025161,0.021998,106
21,0.8,81,1.415,0.024003,0.02496,0.026282,0.02197,0.023635,0.024323,107
21,0.8,82,1.415,0.02107,0.027988,0.022998,0.021914,0.026848,0.023641,109
21,0.8,83,1.415,0.017406,0.020407,0.019293,0.016945,0.019761,0.018749,106
21,0.8,84,1.415,0.021553,0.022947,0.023439,0.019797,0.028301,0.021554,107
21,0.8,85,1.415,0.019387,0.025555,0.021308,0.022749,0.032284,0.024482,109
21,0.8,86,1.415,0.018868,0.026279,0.020794,0.019291,0.022547,0.021007,110
21,0.8,87,1.415,0.038239,0.084699,0.040142,0.038403,0.095424,0.040112,106
21,0.8,88,1.415,0.055899,0.107568,0.057853,0.040113,0.07761,0.041932,107
21,0.8,89,1.415,0.01923,0.021618,0.021094,0.014148,0.019925,0.01584,109
21,0.8,90,1.415,0.017567,0.022043,0.019494,0.020313,0.025619,0.022026,110
21,0.8,91,1.415,0.028133,0.030782,0.030362,0.025723,0.03535,0.028509,110
21,0.8,92,1.415,0.024168,0.028246,0.026023,0.033733,0.035007,0.036,108
21,0.8,93,1.415,0.023583,0.030845,0.025491,0.021208,0.027234,0.022964,107
21,0.8,94,1.415,0.022128,0.027234,0.024068,0.025312,0.032652,0.027178,108
21,0.8,95,1.415,0.017391,0.022779,0.019282,0.017107,0.0225,0.018816,107
21,0.8,96,1.415,0.016056,0.021613,0.017957,0.020757,0.021531,0.022527,108
21,0.8,97,1.415,0.014973,0.020927,0.016862,0.015239,0.020772,0.017009,107
21,0.8,98,1.415,0.036301,0.037068,0.038512,0.022963,0.027412,0.024792,109
21,0.8,99,1.415,0.021548,0.029027,0.023381,0.027311,0.036793,0.029011,108
