L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
9,0.8,30,3.0,0.010699,0.014923,0.015282,0.014654,0.023573,0.016132,9
9,0.8,31,3.0,0.015981,0.019968,0.0174,0.012548,0.020856,0.014008,9
9,0.8,32,3.0,0.010563,0.01459,0.012091,0.013244,0.022167,0.014642,9
9,0.8,33,3.0,0.010995,0.013998,0.012535,0.01079,0.013428,0.01235,9
9,0.8,34,3.0,0.014747,0.018544,0.01643,0.014478,0.020371,0.016214,9
9,0.8,35,3.0,0.01052,0.014509,0.012388,0.01558,0.020887,0.017146,9
9,0.8,36,3.0,0.019969,0.029258,0.021439,0.014608,0.023267,0.016181,9
9,0.8,37,3.0,0.018044,0.016436,0.019794,0.01402,0.021709,0.015403,9
9,0.8,38,3.0,0.020085,0.018532,0.022059,0.016153,0.02493,0.017484,9
9,0.8,39,3.0,0.020013,0.06308,0.021412,0.00987,0.014143,0.011221,9
9,0.8,40,3.0,0.010344,0.013939,0.012023,0.01328,0.020555,0.014782,9
11,0.8,0,3.0,0.093232,0.392901,0.095152,0.017517,0.020588,0.019708,13
11,0.8,1,3.0,0.118542,0.432563,0.121707,0.015598,0.024357,0.017261,13
11,0.8,2,3.0,0.062828,0.257008,0.064739,0.014006,0.019566,0.015638,13
11,0.8,3,3.0,0.102503,0.493401,0.104083,0.013297,0.019153,0.014872,13
11,0.8,4,3.0,0.183886,0.424561,0.185496,0.012282,0.019016,0.013941,13
11,0.8,5,3.0,0.137002,0.401325,0.13882,0.139056,0.497906,0.140703,14
11,0.8,6,3.0,0.253635,0.601893,0.255375,0.18532,0.593813,0.18678,14
11,0.8,7,3.0,0.175469,0.558446,0.179255,0.011763,0.01869,0.013196,13
11,0.8,8,3.0,0.215309,0.633516,0.21721,0.013948,0.02056,0.016613,13
11,0.8,9,3.0,0.138749,0.185388,0.140386,0.152743,0.328194,0.154204,14
11,0.8,10,3.0,0.05505,0.242642,0.05695,0.054882,0.215069,0.056476,14
